"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_hvi","ui","str","rd","b","mic_hvi"
93,11,"PLA",12,"Lubbock, TX",578,1,132,1.05,0.54,217,9.8,4.4,11,81.2,30.1,81.6,8,4.4
93,11,"PLA",12,"Lubbock, TX",578,2,134,1.06,0.54,220,9.3,4.5,11,82.1,30.6,81.9,8,4.5
93,11,"PLA",12,"Lubbock, TX",649,1,140,1.11,0.53,243,8,4,10,80.6,32.5,78.4,8.6,4
93,11,"PLA",12,"Lubbock, TX",649,2,147,1.12,0.53,247,7.8,4,10,81.8,33.4,81.4,8.4,4
93,11,"PLA",12,"Lubbock, TX",689,1,118,1.11,0.52,194,9.8,4.4,10,82.1,25.6,83,8.1,4.3
93,11,"PLA",12,"Lubbock, TX",689,2,123,1.1,0.53,200,9,4.3,11,81.9,27.2,82.6,8.1,4.3
93,11,"PLA",12,"Lubbock, TX",731,1,158,1.17,0.55,237,7,3.7,10,82.1,31.5,81.5,8.4,3.7
93,11,"PLA",12,"Lubbock, TX",731,2,145,1.17,0.55,243,7,3.8,10,82.5,30.9,81.3,8.6,4.1
93,11,"PLA",12,"Lubbock, TX",812,1,132,1.09,0.53,220,7,4,9.8,81.4,27.9,81.9,7.7,4
93,11,"PLA",12,"Lubbock, TX",812,2,136,1.09,0.53,208,7,4.1,9.7,81.3,27.6,82.1,8,4
93,11,"PLA",12,"Lubbock, TX",813,1,119,1.04,0.51,189,7.5,3.9,10,80.2,26.2,82.2,8.1,4
93,11,"PLA",12,"Lubbock, TX",813,2,117,1.03,0.5,183,7.8,3.6,10,80.1,25.6,82.6,7.9,3.7
93,11,"PLA",12,"Lubbock, TX",902,1,118,1.06,0.53,190,8.3,4.2,10,80.6,28.1,82.2,8,4.3
93,11,"PLA",12,"Lubbock, TX",902,2,124,1.09,0.53,191,8.3,3.8,10,81.4,26.4,82.7,7.8,3.8
