"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","28",0,11,"PLA",163,"Lamesa, TX(dry)",773,"acala maxxa",2,"1","81.8","30","9","5.4","75","9.5","3.8","6.5","22.8","0.48","1","123"
"60","47",0,11,"PLA",163,"Lamesa, TX(dry)",906,"southland 400",1,"1.1000000000000001","79.5","30","7.5","5.0999999999999996","77","8.1999999999999993","4","6.5","19.100000000000001","0.46","1","109"
"60","48",0,11,"PLA",163,"Lamesa, TX(dry)",906,"southland 400",2,"1","77.099999999999994","26","7.1","4.3","67","11","4.0999999999999996","6","19.7","0.47","1","112"
"60","49",0,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",1,"1","79.599999999999994","23","6.9","4.3","63","11","4","5.8","16.2","0.47","1.01","106"
"60","50",0,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",2,"1","79.8","23","7.2","4.4000000000000004","63","12","4.2","6.3","16.5","0.46","0.99","105"
"60","31",0,11,"PLA",163,"Lamesa, TX(dry)",1009,"nu 33b",1,"1","79.400000000000006","25","7.9","4.2","68","11","4","8","18","0.47","1.04","85"
"60","32",0,11,"PLA",163,"Lamesa, TX(dry)",1009,"nu 33b",2,"1","79","26","8.6999999999999993","4.0999999999999996","68","11","4","6.8","19.899999999999999","0.46","1.03","98"
"60","51",0,11,"PLA",163,"Lamesa, TX(dry)",1018,"tamcot sphinx",1,"1","77.3","24","7.1","4.0999999999999996","64","11","4.0999999999999996","7","20.100000000000001","0.46","0.99","111"
"60","52",0,11,"PLA",163,"Lamesa, TX(dry)",1018,"tamcot sphinx",2,"1","78.5","26","7.5","4.3","66","11","4.3","8","17.899999999999999","0.47","1","113"
"60","29",0,11,"PLA",163,"Lamesa, TX(dry)",1019,"all tex atlas",1,"0.9","77.400000000000006","27","8.6999999999999993","4","66","11","3.9","8.5","19.7","0.44","0.95","94"
"60","30",0,11,"PLA",163,"Lamesa, TX(dry)",1019,"all tex atlas",2,"1.1000000000000001","81.599999999999994","29","8.6999999999999993","4.4000000000000004","73","9.6","3.8","8.5","19.3","0.45","0.95","99"
"60","33",0,11,"PLA",163,"Lamesa, TX(dry)",1104,"sg 747",1,"1","79.7","25","8.6999999999999993","4.5999999999999996","63","10","4.4000000000000004","8.8000000000000007","16.7","0.44","0.96","70"
"60","34",0,11,"PLA",163,"Lamesa, TX(dry)",1104,"sg 747",2,"1","79.5","24","8.6999999999999993","4.7","65","11","4.5","8.8000000000000007","16.399999999999999","0.46","0.96","77"
"60","35",0,11,"PLA",163,"Lamesa, TX(dry)",1131,"all tex excess",1,"1","78.599999999999994","24","7.3","4.5","60","9.3000000000000007","4.2","6.8","18.100000000000001","0.46","0.96","92"
"60","36",0,11,"PLA",163,"Lamesa, TX(dry)",1131,"all tex excess",2,"0.9","77.7","25","6.9","4.4000000000000004","64","12","4.0999999999999996","7","19.899999999999999","0.45","0.95","88"
"60","37",0,11,"PLA",163,"Lamesa, TX(dry)",1132,"dp 2156",1,"0.9","76.8","20","5.4","4.3","59","12","4.3","7.5","13.6","0.42","0.95","78"
"60","38",0,11,"PLA",163,"Lamesa, TX(dry)",1132,"dp 2156",2,"0.9","78.8","24","7.2","4.5999999999999996","61","10","4.3","6.5","16.5","0.45","0.95","83"
"60","39",0,11,"PLA",163,"Lamesa, TX(dry)",1133,"pm 330",1,"0.9","78.400000000000006","28","8.6999999999999993","4.4000000000000004","65","11","4.3","7","19.5","0.42","0.95","85"
"60","40",0,11,"PLA",163,"Lamesa, TX(dry)",1133,"pm 330",2,"0.9","78.8","27","8.1","4.3","67","11","4.0999999999999996","7","19.5","0.42","0.93","91"
"60","41",0,11,"PLA",163,"Lamesa, TX(dry)",1134,"pm 2154rr",1,"0.9","76.5","21","6.1","4.2","62","10","4.2","7","16.399999999999999","0.41","0.88","72"
"60","42",0,11,"PLA",163,"Lamesa, TX(dry)",1134,"pm 2154rr",2,"0.9","78.599999999999994","24","7.2","4.3","68","11","4.2","6.3","17.399999999999999","0.45","0.91","76"
"60","43",0,11,"PLA",163,"Lamesa, TX(dry)",1135,"pm 2326rr",1,"1","79.8","27","7.5","4.4000000000000004","67","11","4.2","6.3","19.8","0.46","1","110"
"60","44",0,11,"PLA",163,"Lamesa, TX(dry)",1135,"pm 2326rr",2,"1","79.5","28","8.5","4.4000000000000004","62","9.6","4.3","6.8","18.7","0.46","0.98","109"
"60","45",0,11,"PLA",163,"Lamesa, TX(dry)",1136,"pm tejas",1,"1","78.599999999999994","30","8.6","4.7","67","11","4.5","5.8","22.1","0.47","0.99","107"
"60","46",0,11,"PLA",163,"Lamesa, TX(dry)",1136,"pm tejas",2,"1","78.3","29","8.6999999999999993","4.4000000000000004","67","11","4.3","7.5","20.9","0.44","0.99","108"
"34","1",0,12,"PLA",16,"Altus, OK(irri)",773,"acala maxxa",1,"1.2","83.7","40","8.5","4.0999999999999996","67","6.9","4.0999999999999996","6","28.6","0.55000000000000004","1.1499999999999999","155"
"34","2",0,12,"PLA",16,"Altus, OK(irri)",773,"acala maxxa",2,"1.1000000000000001","82.3","35","8.3000000000000007","4.4000000000000004","67","7.6","4.2","6","26.3","0.56999999999999995","1.1499999999999999","160"
".",".",0,12,"PLA",16,"Altus, OK(irri)",773,"acala maxxa",3,".",".",".",".",".",".",".",".",".",".",".",".","."
".",".",0,12,"PLA",16,"Altus, OK(irri)",773,"acala maxxa",4,".",".",".",".",".",".",".",".",".",".",".",".","."
".",".",0,12,"PLA",16,"Altus, OK(irri)",773,"acala maxxa",5,".",".",".",".",".",".",".",".",".",".",".",".","."
"34","21",0,12,"PLA",16,"Altus, OK(irri)",906,"southland 400",1,"1.1000000000000001","83.1","34","8.9","5.0999999999999996","71","8.5","4.8","6.5","21.3","0.54","1.1100000000000001","122"
"34","22",0,12,"PLA",16,"Altus, OK(irri)",906,"southland 400",2,"1.1000000000000001","81.2","30","8.3000000000000007","5.2","66","7.1","5.0999999999999996","5.5","20.3","0.5","1.1000000000000001","126"
"34","23",0,12,"PLA",16,"Altus, OK(irri)",971,"stv 474",1,"1","81.2","29","8.3000000000000007","5.8","70","9.6999999999999993","5.0999999999999996","5.5","19.899999999999999","0.53","1.06","120"
"34","24",0,12,"PLA",16,"Altus, OK(irri)",971,"stv 474",2,"1","82.1","32","8.4","5.0999999999999996","69","8.4","5","5.8","19.8","0.54","1.07","119"
"34","5",0,12,"PLA",16,"Altus, OK(irri)",1009,"nu 33b",1,"1.1000000000000001","83.4","31","9.1999999999999993","4.5","66","6.9","4.5","8","21.7","0.5","1.1100000000000001","109"
"34","6",0,12,"PLA",16,"Altus, OK(irri)",1009,"nu 33b",2,"1.1000000000000001","84.2","31","8.5","4.5999999999999996","68","7.3","4.5999999999999996","6.5","20.100000000000001","0.52","1.1100000000000001","121"
"34","25",0,12,"PLA",16,"Altus, OK(irri)",1018,"tamcot sphinx",1,"1","80.599999999999994","31","8.3000000000000007","5.6","70","9","5.3","5.3","22.6","0.49","1","135"
"34","26",0,12,"PLA",16,"Altus, OK(irri)",1018,"tamcot sphinx",2,"1","82.1","32","8.6999999999999993","5.4","64","7.8","5.0999999999999996","6.5","23.3","0.53","1.07","136"
"34","3",0,12,"PLA",16,"Altus, OK(irri)",1019,"all tex atlas",1,"1.1000000000000001","82.3","33","9","5","70","8.1","4.8","7.3","24.5","0.54","1.0900000000000001","132"
"34","4",0,12,"PLA",16,"Altus, OK(irri)",1019,"all tex atlas",2,"1.1000000000000001","82.3","32","8.9","4.9000000000000004","70","8","4.7","7.5","24.9","0.54","1.0900000000000001","129"
"34","7",0,12,"PLA",16,"Altus, OK(irri)",1104,"sg 747",1,"1.1000000000000001","82","27","8.8000000000000007","5.4","67","8.6","5","8","18.2","0.5","1.0900000000000001","98"
"34","8",0,12,"PLA",16,"Altus, OK(irri)",1104,"sg 747",2,"1","83.8","27","8.9","5.5","68","9.1","5.0999999999999996","8","17.399999999999999","0.52","1.0900000000000001","101"
"34","9",0,12,"PLA",16,"Altus, OK(irri)",1131,"all tex excess",1,"1","80.599999999999994","34","8.4","5","67","8.1","5","6","22.7","0.51","1.07","124"
"34","10",0,12,"PLA",16,"Altus, OK(irri)",1131,"all tex excess",2,"1","82.1","33","8.4","5","68","7.2","4.7","6.8","22.4","0.52","1.07","129"
"34","11",0,12,"PLA",16,"Altus, OK(irri)",1132,"dp 2156",1,"1","81.099999999999994","30","8.3000000000000007","5.9","67","8.8000000000000007","5.6","5.3","19.600000000000001","0.49","1.02","108"
"34","12",0,12,"PLA",16,"Altus, OK(irri)",1132,"dp 2156",2,"1","80.3","31","8.6","5.6","70","9","5.4","5.5","19.399999999999999","0.5","1.01","115"
"34","13",0,12,"PLA",16,"Altus, OK(irri)",1133,"pm 330",1,"1","81.8","35","9","5","65","7.4","5","7.8","22.4","0.53","1.07","129"
"34","14",0,12,"PLA",16,"Altus, OK(irri)",1133,"pm 330",2,"1","81.599999999999994","35","9.6999999999999993","5.2","70","8","5","8","23.3","0.53","1.07","124"
"34","15",0,12,"PLA",16,"Altus, OK(irri)",1134,"pm 2154rr",1,"1","81.599999999999994","33","8.5","5.0999999999999996","66","7.7","4.9000000000000004","6.3","23.4","0.5","1.03","128"
"34","16",0,12,"PLA",16,"Altus, OK(irri)",1134,"pm 2154rr",2,"1","79.5","27","8.5","5.9","67","7.9","5","6.5","19.899999999999999","0.52","1.02","116"
"34","17",0,12,"PLA",16,"Altus, OK(irri)",1135,"pm 2326rr",1,"1","82.1","34","8.6","5.0999999999999996","64","7.3","5.0999999999999996","7.3","24","0.53","1.0900000000000001","125"
"34","18",0,12,"PLA",16,"Altus, OK(irri)",1135,"pm 2326rr",2,"1","82.4","35","9","5.2","61","5.7","5","7.3","22","0.54","1.0900000000000001","131"
"34","19",0,12,"PLA",16,"Altus, OK(irri)",1136,"pm tejas",1,"1.1000000000000001","81.8","34","8.9","5.3","62","6.6","5.2","7.5","23.1","0.52","1.0900000000000001","129"
"34","20",0,12,"PLA",16,"Altus, OK(irri)",1136,"pm tejas",2,"1","82.2","35","9.8000000000000007","5.5","69","8.6","5.3","7.8","22.7","0.5","1.07","122"
"34","53",0,12,"PLA",38,"Chickasha, OK(dry)",773,"acala maxxa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","54",0,12,"PLA",38,"Chickasha, OK(dry)",773,"acala maxxa",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",773,"acala maxxa",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",773,"acala maxxa",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",773,"acala maxxa",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","73",0,12,"PLA",38,"Chickasha, OK(dry)",906,"southland 400",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","74",0,12,"PLA",38,"Chickasha, OK(dry)",906,"southland 400",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",906,"southland 400",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",906,"southland 400",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",906,"southland 400",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","75",0,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","76",0,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","57",0,12,"PLA",38,"Chickasha, OK(dry)",1009,"nu 33b",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","58",0,12,"PLA",38,"Chickasha, OK(dry)",1009,"nu 33b",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1009,"nu 33b",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1009,"nu 33b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1009,"nu 33b",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","77",0,12,"PLA",38,"Chickasha, OK(dry)",1018,"tamcot sphinx",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","78",0,12,"PLA",38,"Chickasha, OK(dry)",1018,"tamcot sphinx",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1018,"tamcot sphinx",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1018,"tamcot sphinx",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1018,"tamcot sphinx",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","55",0,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","56",0,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
