"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
60,"23",4,11,"PLA",12,"Lubbock",971,"stv 474",1,1.1,82.2,28,8.3,4.9,71,8.9,5,9,19.3,0.51,1.05,124
60,"24",4,11,"PLA",12,"Lubbock",971,"stv 474",3,1.1,82.8,27,8.1,5.1,73,9.1,5.1,9,20,0.51,1.04,122
60,"7",4,11,"PLA",12,"Lubbock",1019,"all tex atlas",1,1.1,82.8,28,8.3,4.4,70,8.1,4.4,9,20.3,0.54,1.09,136
60,"8",4,11,"PLA",12,"Lubbock",1019,"all tex atlas",3,1.1,82.5,28,8.3,4.3,67,7.6,4.3,9.5,21.2,0.54,1.07,128
60,"1",4,11,"PLA",12,"Lubbock",1128,"acala 1517-99",1,1.1,82.5,30,8.3,4.3,72,8.5,4.4,7.5,23.4,0.56,1.14,151
60,"2",4,11,"PLA",12,"Lubbock",1128,"acala 1517-99",3,1.2,83.3,31,7.9,3.9,69,8.2,3.9,7.3,23.1,0.56,1.18,161
60,"19",4,11,"PLA",12,"Lubbock",1135,"pm 2326 rr",1,1.1,83.4,28,8.1,4.2,68,8.2,4.1,9,20.1,0.55,1.08,135
60,"20",4,11,"PLA",12,"Lubbock",1135,"pm 2326 rr",3,1.1,82.3,30,8.3,4.7,68,8.5,4.8,9.3,21.1,0.54,1.04,137
60,"3",4,11,"PLA",12,"Lubbock",1152,"dpl 458br",1,1.1,82.6,30,8.5,4.5,75,8.3,4.4,8.8,19.8,0.52,1.09,135
60,"4",4,11,"PLA",12,"Lubbock",1152,"dpl 458br",3,1.1,82.4,30,8.5,4.2,75,8.3,4.1,8.5,20.5,0.53,1.1,133
60,"11",4,11,"PLA",12,"Lubbock",1169,"fm 958",1,1.2,82.6,30,7.5,4.2,74,7.8,4.4,7.3,21.3,0.54,1.14,142
60,"12",4,11,"PLA",12,"Lubbock",1169,"fm 958",3,1.1,82,29,7.2,4.2,72,7.6,4.3,6.8,22,0.52,1.12,136
60,"5",4,11,"PLA",12,"Lubbock",1196,"stv 4892br",1,1,82.1,29,8.3,4.9,71,9,4.9,9,18.9,0.52,1.03,120
60,"6",4,11,"PLA",12,"Lubbock",1196,"stv 4892br",3,1.1,82.5,28,8.3,4.5,71,9.4,4.6,8,19.2,0.53,1.09,124
60,"9",4,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",1,1.1,82,28,7.9,4.3,71,8.8,4.4,9.8,19.4,0.53,1.08,129
60,"10",4,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",3,1,81.8,30,8.3,4.1,69,8.2,3.9,8.8,19.3,0.51,1.05,119
60,"13",4,11,"PLA",12,"Lubbock",1213,"fm 5013",1,1.1,82.3,30,8.3,4.3,69,8.2,4.3,9,20.2,0.52,1.06,134
60,"14",4,11,"PLA",12,"Lubbock",1213,"fm 5013",3,1.1,82.2,28,8.3,4.8,69,7.7,4.8,9,19.9,0.52,1.05,128
60,"15",4,11,"PLA",12,"Lubbock",1214,"pm 2167rr",1,1.1,82.3,29,8.3,4.4,69,8.2,4.5,7.5,20.3,0.55,1.06,128
60,"16",4,11,"PLA",12,"Lubbock",1214,"pm 2167rr",3,1,81.8,29,8.3,4.4,68,8.5,4.5,7.5,19,0.53,1.05,127
60,"17",4,11,"PLA",12,"Lubbock",1215,"pm 2266rr",1,1.1,82.7,28,7.5,3.9,67,8,4,9.3,20.6,0.54,1.08,129
60,"18",4,11,"PLA",12,"Lubbock",1215,"pm 2266rr",3,1.1,83,29,7.9,4.3,71,8,4.5,9.3,20.2,0.55,1.11,129
60,"21",4,11,"PLA",12,"Lubbock",1216,"stv 2454rr",1,1.1,82.8,27,8.3,4.8,72,9.1,4.7,8.8,18.9,0.54,1.05,121
60,"22",4,11,"PLA",12,"Lubbock",1216,"stv 2454rr",3,1.1,82.6,27,8.3,4.5,74,8.6,4.5,9.5,18.3,0.53,1.04,117
60,"25",4,11,"PLA",12,"Lubbock",1217,"tamcot luxor",1,1.1,82,28,7.5,4.1,68,8.3,4,8,20.2,0.53,1.11,130
60,"26",4,11,"PLA",12,"Lubbock",1217,"tamcot luxor",3,1.1,82.5,28,8.1,4.1,69,8.9,4,8,20.7,0.53,1.08,139
60,"49",4,11,"PLA",163,"Lamesa, TX",971,"stv 474",1,1,82.6,27,9.2,4.8,70,10,4.9,11,18.1,0.54,1.01,119
60,"50",4,11,"PLA",163,"Lamesa, TX",971,"stv 474",3,1,82.7,26,8.7,4.4,72,10,4.5,11,17.9,0.54,1.05,128
60,"33",4,11,"PLA",163,"Lamesa, TX",1019,"all tex atlas",1,1.1,82.9,33,9.4,5,73,8.7,5,11,21.3,0.54,1.06,144
60,"34",4,11,"PLA",163,"Lamesa, TX",1019,"all tex atlas",3,1,83.1,31,8.9,4.8,71,8.1,4.8,11,21.1,0.55,1.07,146
60,"27",4,11,"PLA",163,"Lamesa, TX",1128,"acala 1517-99",1,1.2,83.6,34,9,4.5,73,9.3,4.5,10,23.8,0.55,1.14,154
60,"28",4,11,"PLA",163,"Lamesa, TX",1128,"acala 1517-99",3,1.1,83.1,32,8.7,4.3,74,8.2,4.3,9.3,23.4,0.59,1.16,147
60,"45",4,11,"PLA",163,"Lamesa, TX",1135,"pm 2326 rr",1,1,83.3,33,8.9,5.1,71,8.6,5.1,9.8,22.9,0.54,1.03,146
60,"46",4,11,"PLA",163,"Lamesa, TX",1135,"pm 2326 rr",3,1.1,83.4,31,8.7,4.9,73,8.2,4.9,9.3,22.7,0.53,1.05,138
60,"29",4,11,"PLA",163,"Lamesa, TX",1152,"dpl 458br",1,1,82.5,29,9,4.7,74,9.2,4.7,11,19.1,0.5,1,130
60,"30",4,11,"PLA",163,"Lamesa, TX",1152,"dpl 458br",3,1,82.1,26,8.5,4.2,76,9.4,4.1,10,18.4,0.51,1.02,121
60,"37",4,11,"PLA",163,"Lamesa, TX",1169,"fm 958",1,1.1,83,31,7.9,4.6,73,9.2,4.5,7.8,20.4,0.53,1.1,139
60,"38",4,11,"PLA",163,"Lamesa, TX",1169,"fm 958",3,1.1,83.2,30,7.7,4.6,74,8.3,4.7,7.5,21.2,0.53,1.1,139
60,"31",4,11,"PLA",163,"Lamesa, TX",1196,"stv 4892br",1,1,82.6,31,9,5.2,72,10,5.1,10,19.4,0.51,1.02,130
60,"32",4,11,"PLA",163,"Lamesa, TX",1196,"stv 4892br",3,1,82.6,29,9.6,5.2,72,10,5.2,10,19.1,0.52,1.01,123
