"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","17",5,11,"PLA",12,"Lubbock",1135,"pm 2326rr",1,1.1,81.8,27,9,4.9,76,9.3,4.6,8.5,19.2,0.54,1.07,122
"60","18",5,11,"PLA",12,"Lubbock",1135,"pm 2326rr",2,1.1,82.4,27,8.7,4.8,78,9.3,4.6,8.5,19.8,0.54,1.08,113
"60","1",5,11,"PLA",12,"Lubbock",1166,"phy 72",1,1.2,82.2,31,8.9,4.4,76,9.1,4.1,8.8,21.7,0.55,1.16,129
"60","2",5,11,"PLA",12,"Lubbock",1166,"phy 72",2,1.2,81.7,29,9,4.5,78,8.7,4.3,8.8,21,0.54,1.16,129
"60","13",5,11,"PLA",12,"Lubbock",1169,"fm 958",1,1.2,82.2,29,7.9,4.3,78,8.1,4,5.8,20.3,0.52,1.13,121
"60","14",5,11,"PLA",12,"Lubbock",1169,"fm 958",2,1.2,80.8,29,7.9,4.2,78,8.2,4,6.3,19.9,0.53,1.16,124
"60","5",5,11,"PLA",12,"Lubbock",1196,"stv 4892br",1,1.1,81.1,27,8.9,4.6,73,9,4.4,8.5,19.2,0.51,1.06,106
"60","6",5,11,"PLA",12,"Lubbock",1196,"stv 4892br",2,1.1,81.9,28,8.9,4.5,76,9.6,4.4,8.5,18.6,0.52,1.07,110
"60","11",5,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",1,1.1,81.9,28,8.9,4.6,75,9.1,4.5,8.5,18.8,0.53,1.04,109
"60","12",5,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",2,1.1,82.7,28,8.9,4.7,79,9,4.6,9.5,19.5,0.53,1.05,114
"60","3",5,11,"PLA",12,"Lubbock",1214,"pm 2167rr",1,1,81.1,26,8.3,4.6,77,9.3,4.6,7,17.8,0.52,0.99,99
"60","4",5,11,"PLA",12,"Lubbock",1214,"pm 2167rr",2,1,81.1,26,9,4.7,78,8.8,4.5,7.3,17.5,0.52,1.02,107
"60","15",5,11,"PLA",12,"Lubbock",1215,"pm 2266rr",1,1.1,82.4,28,9.2,4.5,78,8.8,4.3,9.8,19.5,0.52,1.06,118
"60","16",5,11,"PLA",12,"Lubbock",1215,"pm 2266rr",2,1.1,82.1,26,8.9,4.6,78,8.9,4.4,9.5,19.6,0.52,1.06,113
"60","7",5,11,"PLA",12,"Lubbock",1224,"dp 555rr",1,1.1,79,25,7.5,4.5,79,8.4,4.2,7.5,18.4,0.48,1.04,108
"60","8",5,11,"PLA",12,"Lubbock",1224,"dp 555rr",2,1,79.6,25,7.5,4,80,8.4,3.9,7,18.4,0.5,1.06,101
"60","9",5,11,"PLA",12,"Lubbock",1255,"fm 960b2r",1,1.1,80.1,28,7.9,4.1,80,8.5,3.8,5.5,20.9,0.51,1.13,114
"60","10",5,11,"PLA",12,"Lubbock",1255,"fm 960b2r",2,1.1,80.4,28,7.7,3.8,79,8.2,3.5,5.5,20.5,0.5,1.13,122
"60","19",5,11,"PLA",12,"Lubbock",1266,"stv ng 2448r",1,1.1,81.4,29,9.4,4.4,79,9.4,4.2,9.5,20.2,0.54,1.11,117
"60","20",5,11,"PLA",12,"Lubbock",1266,"stv ng 2448r",2,1.1,82.8,28,8.9,4.2,78,9.1,4,8.8,20.6,0.55,1.13,124
"60","21",5,11,"PLA",12,"Lubbock",1268,"fm 5044rr",1,1.1,79.8,28,9,3.8,79,9.7,3.7,12,18.4,0.51,1.08,112
"60","22",5,11,"PLA",12,"Lubbock",1268,"fm 5044rr",2,1.1,81,26,9.4,3.9,81,9,3.7,11,18.1,0.52,1.1,107
"60","23",5,11,"PLA",12,"Lubbock",1274,"afd 3511rr",1,1.1,80.3,28,8.5,4.6,77,9.5,4.4,8.5,19.5,0.53,1.09,115
"60","24",5,11,"PLA",12,"Lubbock",1274,"afd 3511rr",2,1.1,81.5,28,8.5,4.3,76,9.3,4.2,8.5,19.4,0.54,1.12,107
"60","25",5,11,"PLA",12,"Lubbock",1275,"bcg 24r",1,1.1,81.9,29,9.2,4.5,79,8.8,4.4,9.3,20.2,0.51,1.06,113
"60","26",5,11,"PLA",12,"Lubbock",1275,"bcg 24r",2,1.1,80.9,28,9.8,4.5,80,8.4,4.3,8.5,19.8,0.51,1.06,115
"60","27",5,11,"PLA",12,"Lubbock",1276,"all tex excess rr",1,1.1,81.4,30,9.2,4.2,79,9.1,4.1,9,20.6,0.52,1.09,121
"60","28",5,11,"PLA",12,"Lubbock",1276,"all tex excess rr",2,1.1,81.9,30,9.2,4.2,77,8.5,3.9,9.3,20.9,0.52,1.1,124
"60","45",5,11,"PLA",63,"knoxville ???",1135,"pm 2326rr",1,1,81.6,27,8.3,4.4,79,8.6,4.3,7.3,19.3,0.5,1.02,102
"60","46",5,11,"PLA",63,NA,1135,"pm 2326rr",2,1,81.9,27,8.5,4.6,77,8.4,4.4,8.8,19.6,0.5,1,109
"60","29",5,11,"PLA",63,NA,1166,"phy 72",1,1.1,81.2,30,8.7,4,80,8.4,3.9,9,22.7,0.54,1.13,136
"60","30",5,11,"PLA",63,NA,1166,"phy 72",2,1.1,81,28,8.1,4.2,77,8.6,4,8.8,21.7,0.5,1.08,123
"60","41",5,11,"PLA",63,NA,1169,"fm 958",1,1.1,80.8,26,7.2,4.5,81,8.2,4.3,5,19.1,0.51,1.08,112
"60","42",5,11,"PLA",63,NA,1169,"fm 958",2,1.1,79.4,25,7.2,4.6,80,8.1,4.5,5,18.5,0.49,1.07,100
"60","33",5,11,"PLA",63,NA,1196,"stv 4892br",1,1,81,26,7.9,4.3,77,8.9,4.1,6.5,18.4,0.51,1.03,106
"60","34",5,11,"PLA",63,NA,1196,"stv 4892br",2,1,81.5,27,8.1,4.6,76,9.2,4.4,6,18.1,0.5,1.01,10
"60","39",5,11,"PLA",63,NA,1212,"all tex atlas rr",1,1,81.3,27,7.9,4.5,78,8.9,4.3,7,17.7,0.5,1.01,105
"60","40",5,11,"PLA",63,NA,1212,"all tex atlas rr",2,1,79.8,26,8.1,4.2,76,9.1,4.2,6.8,18.4,0.49,0.99,98
"60","31",5,11,"PLA",63,NA,1214,"pm 2167rr",1,1,80,25,8.1,5.1,77,9.2,4.9,6.8,16.8,0.51,1,106
"60","32",5,11,"PLA",63,NA,1214,"pm 2167rr",2,1,81.1,26,8.3,5.1,77,8.7,4.8,7,17,0.48,0.95,95
"60","43",5,11,"PLA",63,NA,1215,"pm 2266rr",1,1.1,81.2,29,8.7,4.2,78,9.5,4.2,7,18.6,0.52,1.05,116
"60","44",5,11,"PLA",63,NA,1215,"pm 2266rr",2,1,81.2,27,8.5,4,78,9,3.8,7,17.8,0.51,1.04,113
"60","35",5,11,"PLA",63,NA,1224,"dp 555rr",1,1,79.1,23,7.2,4.3,81,7.3,4,6.3,17,0.48,1.02,79
"60","36",5,11,"PLA",63,NA,1224,"dp 555rr",2,1,79.4,24,7.2,4.3,81,7.5,4.3,6,17.9,0.49,1.03,72
"60","37",5,11,"PLA",63,NA,1255,"fm 960b2r",1,1.1,79.5,26,7,4,82,7.7,3.8,6.5,17.3,0.5,1.07,108
"60","38",5,11,"PLA",63,NA,1255,"fm 960b2r",2,1,78.8,25,6.8,3.9,83,7.2,3.8,5.5,18,0.48,1.06,100
"60","47",5,11,"PLA",63,NA,1266,"stv ng 2448r",1,1.1,80.7,29,8.7,4.5,79,9.3,4.3,8,19.7,0.53,1.1,115
"60","48",5,11,"PLA",63,NA,1266,"stv ng 2448r",2,1,80.8,30,9,4,79,9.2,3.9,8,19.8,0.52,1.1,109
"60","49",5,11,"PLA",63,NA,1268,"fm 5044rr",1,1.1,81.4,26,9,3.7,78,8.9,3.5,9.5,19.6,0.53,1.1,109
"60","50",5,11,"PLA",63,NA,1268,"fm 5044rr",2,1.1,81.2,26,8.7,3.9,78,8.6,3.6,8.8,18.7,0.52,1.06,114
"60","51",5,11,"PLA",63,NA,1274,"afd 3511rr",1,1.1,81.6,28,8.3,4.5,79,8.9,4.3,6.8,18.1,0.5,1.03,109
"60","52",5,11,"PLA",63,NA,1274,"afd 3511rr",2,1,80.8,26,8.3,4.4,78,9.2,4.3,7.3,18.7,0.5,1.01,98
"60","53",5,11,"PLA",63,NA,1275,"bcg 24r",1,1.1,81.2,26,8.7,4.6,80,8.5,4.5,8.3,17.8,0.51,1.07,112
"60","54",5,11,"PLA",63,NA,1275,"bcg 24r",2,1,79.8,25,8.1,4.3,80,8.3,4.1,8,19.4,0.49,1.02,99
"60","55",5,11,"PLA",63,NA,1276,"all tex excess rr",1,1.1,82.2,28,8.3,4.4,74,8,4.3,7.8,19.9,0.54,1.07,114
"60","56",5,11,"PLA",63,NA,1276,"all tex excess rr",2,1,80.2,27,8.3,4.2,77,8.3,4,8.5,19,0.5,1.02,110
"34","17",5,12,"PLA",16,"Altus, OK",1135,"pm 2326rr",1,1.1,84.1,30,9,5.4,74,6.3,5.4,7.8,22.2,0.57,1.12,122
"34","18",5,12,"PLA",16,"Altus, OK",1135,"pm 2326rr",2,1.1,84.1,30,9.4,5.8,70,7,5.8,8,22.5,0.57,1.11,113
"34","1",5,12,"PLA",16,"Altus, OK",1166,"phy 72",1,1.2,84,34,9.4,5,76,7.3,5,8.5,25.1,0.61,1.22,141
"34","2",5,12,"PLA",16,"Altus, OK",1166,"phy 72",2,1.3,83.8,35,9.2,4.4,72,7.4,4.5,9.8,25.8,0.62,1.26,151
"34","13",5,12,"PLA",16,"Altus, OK",1169,"fm 958",1,1.2,83.8,32,8.3,5,76,5.7,4.9,5.5,22.3,0.57,1.2,133
"34","14",5,12,"PLA",16,"Altus, OK",1169,"fm 958",2,1.2,83.3,32,8.3,4.9,79,5.7,4.7,4.8,22.1,0.54,1.17,129
"34","5",5,12,"PLA",16,"Altus, OK",1196,"stv 4892br",1,1.1,83.6,27,9.2,5.1,78,7.7,4.9,6.5,18,0.56,1.1,112
"34","6",5,12,"PLA",16,"Altus, OK",1196,"stv 4892br",2,1.1,83.2,29,9,5.3,75,6.7,5.1,7,18.8,0.54,1.13,118
"34","11",5,12,"PLA",16,"Altus, OK",1212,"all tex atlas rr",1,1.1,83.5,30,9.2,5.1,72,8.1,5.1,8.3,21.5,0.54,1.07,118
"34","12",5,12,"PLA",16,"Altus, OK",1212,"all tex atlas rr",2,1.1,82.8,30,9.2,5.3,75,6.6,5.1,7.5,21.4,0.58,1.09,116
"34","3",5,12,"PLA",16,"Altus, OK",1214,"pm 2167rr",1,1.1,83.8,29,9,5,75,6.7,5,7.3,19.5,0.56,1.07,119
"34","4",5,12,"PLA",16,"Altus, OK",1214,"pm 2167rr",2,1,82.5,30,9,5.2,74,6.2,4.9,7.8,19.7,0.57,1.05,120
