"sample_number","test","code","location","loccode","varcode","variety","rep","mic","uhm","ui","str","elo","rd","hunters","cgrd","area_percent","sfc","trash_cnt","leaf_code","maturity"
"60-030","PLAINS","011","LAMESA-D","163","1599","PHY 400W3FE*","2",4.59,1.03,79.1,27.85,6.62608695652174,79.7,9.7,"11-3",0.18,10.7,8,1.5,0.87
"60-031","PLAINS","011","LAMESA-D","163","1593","ST 4550GLTP*","1",5.15,1.04,81.2,31.4,7.30434782608696,77.2,9.7,"22-1",0.27,8.2,8,2,0.88
"60-032","PLAINS","011","LAMESA-D","163","1593","ST 4550GLTP*","2",5.24,1.07,80.9,33.05,7.30434782608696,76.8,9.65,"21-4",0.08,7.1,5,1,0.88
"26-049","PLAINS","012","CHILLOCOTHE","015","1516","DP 1646B2XF*","1",5.14,1.12,80,29.4,7.375,76.65,8.3,"31-2",1.26,8.6,60,7,0.88
"26-050","PLAINS","012","CHILLOCOTHE","015","1516","DP 1646B2XF*","2",4.99,1.15,80.9,30.65,7.7,76.15,8.3,"31-2",0.81,8.5,42,5,0.88
"26-051","PLAINS","012","CHILLOCOTHE","015","1536","PHY 764WRF*","1",3.79,1.17,82.4,37.05,6.2375,71.4,7.75,"51-1",2.86,7.3,102,8,0.86
"26-052","PLAINS","012","CHILLOCOTHE","015","1536","PHY 764WRF*","2",4.14,1.14,82.9,35.4,6.075,71.75,8.15,"41-4",2.38,8.2,121,8,0.86
"26-053","PLAINS","012","CHILLOCOTHE","015","1598","DP 2012B3XF*","1",4.02,1.12,81.3,26.8,5.2625,76.4,8.25,"31-2",1.41,8.8,51,7.5,0.86
"26-054","PLAINS","012","CHILLOCOTHE","015","1598","DP 2012B3XF*","2",4.82,1.2,81.8,30.2,5.2625,75.75,8.85,"31-3",1.3,6.5,69,7.5,0.88
"26-055","PLAINS","012","CHILLOCOTHE","015","1592","DG 3520B3XF*","1",4.57,1.18,84,35.85,8.35,71.45,8.3,"41-4",2.97,5,129,8,0.87
"26-056","PLAINS","012","CHILLOCOTHE","015","1592","DG 3520B3XF*","2",4.26,1.24,83.2,34.8,9.1625,70.85,8.8,"42-2",3.03,4.3,143,8,0.86
"26-057","PLAINS","012","CHILLOCOTHE","015","1503","FM 1830GLT*","1",4.89,1.07,79.4,26.2,4.9375,76.4,8.3,"31-2",0.97,10.2,49,6,0.88
"26-058","PLAINS","012","CHILLOCOTHE","015","1503","FM 1830GLT*","2",4.76,1.14,81.9,31.4,4.775,78,7.7,"31-2",0.6,7.6,45,4.5,0.88
"26-059","PLAINS","012","CHILLOCOTHE","015","1595","NG 4936B3XF*","1",4.95,1.14,81.3,29,7.5375,74.75,8.25,"41-1",1.26,8.1,86,6.5,0.87
"26-060","PLAINS","012","CHILLOCOTHE","015","1595","NG 4936B3XF*","2",4.96,1.19,81.3,29.85,7.05,75.7,8.2,"31-2",1.58,5.9,68,7.5,0.88
"26-061","PLAINS","012","CHILLOCOTHE","015","1599","PHY 400W3FE*","1",5.08,1.07,81.5,30.3,6.5625,76.45,8.65,"31-2",0.81,9.3,40,5,0.88
"26-062","PLAINS","012","CHILLOCOTHE","015","1599","PHY 400W3FE*","2",5.32,1.17,81.3,33.5,6.2375,73.45,9.2,"32-2",1.22,6.7,67,7,0.89
"26-063","PLAINS","012","CHILLOCOTHE","015","1593","ST 4550GLTP*","1",4.7,1.16,82.8,34.45,7.2125,73.05,7.85,"41-2",2.13,6.3,69,8,0.87
"26-064","PLAINS","012","CHILLOCOTHE","015","1593","ST 4550GLTP*","2",4.69,1.07,83,36.1,6.4,71,8.2,"41-4",2.25,8.1,115,8,0.88
