"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","17",6,11,"PLA",12,"Lubbock",1135,"PM 2326rr",1,"1","81.2","31","9.1999999999999993","5.0999999999999996","73","8.5","5","8.5","21.3","0.53","1.05","117"
"60","18",6,11,"PLA",12,"Lubbock",1135,"PM 2326rr",2,"1.1000000000000001","82.4","28","9.4","5","75","8.1999999999999993","5","11","20.2","0.52","1.1000000000000001","121"
"60","1",6,11,"PLA",12,"Lubbock",1166,"phy 72",1,"1.1000000000000001","81.099999999999994","33","9.1999999999999993","4.8","75","8.8000000000000007","4.7","10","24.8","0.54","1.1499999999999999","132"
"60","2",6,11,"PLA",12,"Lubbock",1166,"phy 72",2,"1.2","81.900000000000006","31","9.4","4.5999999999999996","76","8.1","4.5999999999999996","11","23.1","0.56999999999999995","1.21","132"
"60","13",6,11,"PLA",12,"Lubbock",1169,"fm 958",1,"1","80.3","31","7.9","5.0999999999999996","76","7.9","5","6.3","19.899999999999999","0.51","1.06","115"
"60","14",6,11,"PLA",12,"Lubbock",1169,"fm 958",2,"1.1000000000000001","81.099999999999994","31","8.3000000000000007","4.7","77","7.8","4.7","7.8","21.1","0.53","1.17","132"
"60","5",6,11,"PLA",12,"Lubbock",1196,"stv 4892br",1,"1","81","28","8.5","5.5","75","8.6999999999999993","5.4","7.8","18.899999999999999","0.52","1.08","110"
"60","6",6,11,"PLA",12,"Lubbock",1196,"stv 4892br",2,"1.1000000000000001","81.400000000000006","28","9","5.4","74","8.4","5.2","8.8000000000000007","19.100000000000001","0.52","1.1000000000000001","113"
"60","11",6,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",1,"1","80.7","30","9.4","5.0999999999999996","75","8.3000000000000007","4.9000000000000004","11","22.3","0.52","1.05","115"
"60","12",6,11,"PLA",12,"Lubbock",1212,"all tex atlas rr",2,"1.1000000000000001","81.7","30","9.4","5","76","7.7","5","9.3000000000000007","20.5","0.54","1.1000000000000001","116"
"60","3",6,11,"PLA",12,"Lubbock",1214,"pm 2167rr",1,"0.9","80.2","29","8.6999999999999993","5.0999999999999996","74","8","5.0999999999999996","7","18.899999999999999","0.51","0.99","104"
"60","4",6,11,"PLA",12,"Lubbock",1214,"pm 2167rr",2,"1","81.2","29","8.9","5.0999999999999996","75","8.1","5","8","19.399999999999999","0.51","1.02","113"
"60","15",6,11,"PLA",12,"Lubbock",1215,"pm 2266rr",1,"1","80.900000000000006","31","8.9","5.0999999999999996","74","8.5","5.0999999999999996","9","20.7","0.53","1.06","117"
"60","16",6,11,"PLA",12,"Lubbock",1215,"pm 2266rr",2,"1.1000000000000001","82","28","9.4","4.8","76","7.7","4.7","11","20.399999999999999","0.55000000000000004","1.1299999999999999","116"
"60","7",6,11,"PLA",12,"Lubbock",1224,"dp 555rr",1,"1","79.2","28","8.1","5","78","7.7","4.9000000000000004","8","19.8","0.48","1.04","108"
"60","8",6,11,"PLA",12,"Lubbock",1224,"dp 555rr",2,"1","80.099999999999994","28","8.3000000000000007","4.8","78","7.7","4.8","8.3000000000000007","18.600000000000001","0.5","1.07","107"
"60","9",6,11,"PLA",12,"Lubbock",1255,"fm 960b2r",1,"1","78.3","29","7.4","5","76","8.1","5","6.3","20","0.49","1.06","107"
"60","10",6,11,"PLA",12,"Lubbock",1255,"fm 960b2r",2,"1.1000000000000001","80.7","32","7.9","4.5999999999999996","77","7.7","4.5","6.5","21","0.54","1.17","129"
"60","19",6,11,"PLA",12,"Lubbock",1266,"stv ng 2448r",1,"1","80.900000000000006","32","9.1999999999999993","5","76","8.3000000000000007","5","8.3000000000000007","22","0.51","1.07","118"
"60","20",6,11,"PLA",12,"Lubbock",1266,"stv ng 2448r",2,"1.1000000000000001","81","31","9","4.0999999999999996","76","7.6","4.0999999999999996","8.8000000000000007","20.7","0.55000000000000004","1.1499999999999999","131"
"60","21",6,11,"PLA",12,"Lubbock",1268,"fm 5044rr",1,"1","80.099999999999994","29","9.1999999999999993","4.5999999999999996","75","8.4","4.4000000000000004","10","20.100000000000001","0.53","1.0900000000000001","116"
"60","22",6,11,"PLA",12,"Lubbock",1268,"fm 5044rr",2,"1","81.2","28","9","4.3","76","7.7","4.3","11","20.2","0.51","1.08","116"
"60","23",6,11,"PLA",12,"Lubbock",1274,"afd 3511rr",1,"1","81.2","29","8.3000000000000007","5.0999999999999996","75","8.4","4.9000000000000004","8.3000000000000007","20.7","0.5","1.05","111"
"60","24",6,11,"PLA",12,"Lubbock",1274,"afd 3511rr",2,"1","81.3","32","8.9","4.5999999999999996","74","8.1","4.5999999999999996","8.3000000000000007","21.2","0.51","1.07","121"
"60","25",6,11,"PLA",12,"Lubbock",1275,"bcg 24r",1,"1","80.8","29","9.1999999999999993","5.2","77","8.1","5","10","18.399999999999999","0.5","1.05","108"
"60","26",6,11,"PLA",12,"Lubbock",1275,"bcg 24r",2,"1","81","28","9.1999999999999993","4.9000000000000004","78","7.8","4.8","9.3000000000000007","19.7","0.5","1.05","113"
"60","27",6,11,"PLA",12,"Lubbock",1276,"all tex excess rr",1,"1","80.099999999999994","28","8.1","4.9000000000000004","72","8.1","4.7","8","19.7","0.48","1","105"
"60","28",6,11,"PLA",12,"Lubbock",1276,"all tex excess rr",2,"1","80.7","29","8.5","5.0999999999999996","74","7.7","4.9000000000000004","8.3000000000000007","20.5","0.49","1.01","114"
"60","45",6,11,"PLA",163,"Lamesa, TX",1135,"PM 2326rr",1,"1","79.7","30","8.3000000000000007","5","72","9.1999999999999993","4.8","7.5","20","0.49","1","106"
"60","46",6,11,"PLA",163,"Lamesa, TX",1135,"PM 2326rr",2,"1","80.2","30","8.1","5","70","9.1999999999999993","4.8","7","20.399999999999999","0.47","0.98","105"
"60","29",6,11,"PLA",163,"Lamesa, TX",1166,"phy 72",1,"1.1000000000000001","79.599999999999994","32","8.6999999999999993","4.5","72","9.4","4.5","8","22.7","0.49","1.04","130"
"60","30",6,11,"PLA",163,"Lamesa, TX",1166,"phy 72",2,"1.1000000000000001","79.8","32","8.6999999999999993","4.5","71","9.1","4.5999999999999996","8.3000000000000007","24.1","0.49","1.06","132"
"60","41",6,11,"PLA",163,"Lamesa, TX",1169,"fm 958",1,"1.1000000000000001","79.7","32","7.9","5","75","8.6","4.8","6.8","22.4","0.51","1.1000000000000001","120"
"60","42",6,11,"PLA",163,"Lamesa, TX",1169,"fm 958",2,"1","80.099999999999994","31","7.5","5.0999999999999996","73","8.8000000000000007","5.0999999999999996","6","21.1","0.48","1.05","114"
"60","33",6,11,"PLA",163,"Lamesa, TX",1196,"stv 4892br",1,"1","79.5","28","8.1","5.3","72","8.9","5.0999999999999996","7","18.2","0.53","1.08","113"
"60","34",6,11,"PLA",163,"Lamesa, TX",1196,"stv 4892br",2,"1","80.5","29","8.3000000000000007","5.2","72","9.1","5.0999999999999996","8","19.2","0.52","1.08","115"
"60","39",6,11,"PLA",163,"Lamesa, TX",1212,"all tex atlas rr",1,"1","79.8","28","8.3000000000000007","4.8","72","8.9","4.7","8.3000000000000007","19.899999999999999","0.49","1","110"
"60","40",6,11,"PLA",163,"Lamesa, TX",1212,"all tex atlas rr",2,"0.9","79.400000000000006","29","8.1","4.8","73","8.9","4.7","7.5","21.3","0.48","0.99","102"
"60","31",6,11,"PLA",163,"Lamesa, TX",1214,"pm 2167rr",1,"1","79.099999999999994","27","7.9","5.3","72","9.5","5.0999999999999996","6.8","17.8","0.48","0.97","106"
