"breeder","sample","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x21","x50sl","yt"
"60","27",3,11,"PLA",163,"Lamesa, TX(dry)",1128,"acala 1517-99",1,NA,NA,NA,NA,NA,NA,NA,"4","7.8","27.5","26.95","0.56999999999999995","168"
"60","28",3,11,"PLA",163,"Lamesa, TX(dry)",1128,"acala 1517-99",2,NA,NA,NA,NA,NA,NA,NA,"4.0999999999999996","7.8","28.6","27.95","0.57999999999999996","169"
"60","45",3,11,"PLA",163,"Lamesa, TX(dry)",1135,"pm 2326rr",1,NA,NA,NA,NA,NA,NA,NA,"5","8.5","23.1","22.6","0.52","134"
"60","46",3,11,"PLA",163,"Lamesa, TX(dry)",1135,"pm 2326rr",2,NA,NA,NA,NA,NA,NA,NA,"4.7","9.5","24.9","24.4","0.53","139"
"60","31",3,11,"PLA",163,"Lamesa, TX(dry)",1152,"dpl 458br",1,NA,NA,NA,NA,NA,NA,NA,"4.5","9","20.8","20.350000000000001","0.54","132"
"60","32",3,11,"PLA",163,"Lamesa, TX(dry)",1152,"dpl 458br",2,NA,NA,NA,NA,NA,NA,NA,"4.2","8.5","23.6","23.05","0.54","146"
"60","37",3,11,"PLA",163,"Lamesa, TX(dry)",1169,"fm 958",1,NA,NA,NA,NA,NA,NA,NA,"4.7","7.3","22.7","22.25","0.56000000000000005","153"
"60","38",3,11,"PLA",163,"Lamesa, TX(dry)",1169,"fm 958",2,NA,NA,NA,NA,NA,NA,NA,"4.7","7.3","23","22.45","0.56999999999999995","152"
"60","33",3,11,"PLA",163,"Lamesa, TX(dry)",1196,"stv 4892br",1,NA,NA,NA,NA,NA,NA,NA,"4.5","9","21","20.55","0.56999999999999995","135"
"60","34",3,11,"PLA",163,"Lamesa, TX(dry)",1196,"stv 4892br",2,NA,NA,NA,NA,NA,NA,NA,"4.5","8.8000000000000007","21","20.55","0.56999999999999995","130"
"60","35",3,11,"PLA",163,"Lamesa, TX(dry)",1212,"all tex atlas rr",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","8.8000000000000007","20.9","20.45","0.52","128"
"60","36",3,11,"PLA",163,"Lamesa, TX(dry)",1212,"all tex atlas rr",2,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999996","8.5","21.2","20.75","0.5","133"
"60","39",3,11,"PLA",163,"Lamesa, TX(dry)",1213,"fm 5013",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","8.8000000000000007","20.7","20.3","0.52","122"
"60","40",3,11,"PLA",163,"Lamesa, TX(dry)",1213,"fm 5013",2,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999996","9","23.8","23.3","0.52","148"
"60","41",3,11,"PLA",163,"Lamesa, TX(dry)",1214,"pm 2167rr",1,NA,NA,NA,NA,NA,NA,NA,"4.9000000000000004","8.3000000000000007","19.100000000000001","18.649999999999999","0.5","109"
"60","42",3,11,"PLA",163,"Lamesa, TX(dry)",1214,"pm 2167rr",2,NA,NA,NA,NA,NA,NA,NA,"5","8","21.8","21.35","0.5","126"
"60","43",3,11,"PLA",163,"Lamesa, TX(dry)",1215,"pm 2266rr",1,NA,NA,NA,NA,NA,NA,NA,"4.5","9.5","21.3","20.9","0.52","132"
"60","44",3,11,"PLA",163,"Lamesa, TX(dry)",1215,"pm 2266rr",2,NA,NA,NA,NA,NA,NA,NA,"4.4000000000000004","9","22","21.55","0.51","127"
"60","47",3,11,"PLA",163,"Lamesa, TX(dry)",1216,"stv 2454rr",1,NA,NA,NA,NA,NA,NA,NA,"4.8","8.5","21.5","21.1","0.52","123"
"60","48",3,11,"PLA",163,"Lamesa, TX(dry)",1216,"stv 2454rr",2,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999996","9.8000000000000007","21.8","21.4","0.54","131"
"60","51",3,11,"PLA",163,"Lamesa, TX(dry)",1217,"tamcot kuxor",1,NA,NA,NA,NA,NA,NA,NA,"4.5999999999999996","8.5","22.4","21.95","0.53","132"
"60","52",3,11,"PLA",163,"Lamesa, TX(dry)",1217,"tamcot kuxor",2,NA,NA,NA,NA,NA,NA,NA,"4.4000000000000004","9","21.6","21.15","0.51","141"
"34","23",3,12,"PLA",16,"Altus, TX(irri)",971,"stv 474",1,1.1,83.7,28,8.5,4.8,69,8.1,"5.2","8","20.100000000000001","19.649999999999999","0.54","121"
"34","24",3,12,"PLA",16,"Altus, TX(irri)",971,"stv 474",2,1.1,83.2,30,8.9,5,67,8.3,"4.5999999999999996","8.3000000000000007","20.6","20.2","0.54","119"
"34","3",3,12,"PLA",16,"Altus, TX(irri)",1019,"all tex atlas",1,1.1,82.1,32,8.7,5,71,7.5,"4.7","9.3000000000000007","23.5","22.95","0.54","138"
"34","4",3,12,"PLA",16,"Altus, TX(irri)",1019,"all tex atlas",2,1.1,83.4,32,8.9,4.5,71,7.2,"4.5","8.8000000000000007","24.9","24.4","0.56000000000000005","149"
"34","2",3,12,"PLA",16,"Altus, TX(irri)",1128,"acala 1517-99",2,1.2,84.3,35,8.3,4.1,72,8,"4.7","7.5","27.2","26.65","0.59","154"
"34","19",3,12,"PLA",16,"Altus, TX(irri)",1135,"pm 2326rr",1,1.1,83.8,31,8.7,5.2,67,7.8,"5","8.8000000000000007","22.3","21.9","0.53","126"
"34","20",3,12,"PLA",16,"Altus, TX(irri)",1135,"pm 2326rr",2,1.1,82.9,32,8.9,5.2,68,8.1,"5.0999999999999996","8.5","23.7","23.2","0.55000000000000004","129"
"34","5",3,12,"PLA",16,"Altus, TX(irri)",1152,"dpl 458br",1,1.1,82.2,28,8.1,4.3,75,7.8,"5.0999999999999996","9.3000000000000007","20.2","19.75","0.53","115"
"34","6",3,12,"PLA",16,"Altus, TX(irri)",1152,"dpl 458br",2,1.2,83,30,8.5,4.5,71,7.7,"4.8","9","19.2","18.75","0.5","118"
"34","11",3,12,"PLA",16,"Altus, TX(irri)",1169,"fm 958",1,1.2,84.8,33,8.1,4.7,72,6.6,"5","7","21.9","21.4","0.56999999999999995","145"
"34","12",3,12,"PLA",16,"Altus, TX(irri)",1169,"fm 958",2,1.2,84,30,7.5,4.7,73,7.1,"4.7","7","25.1","24.6","0.55000000000000004","147"
"34","7",3,12,"PLA",16,"Altus, TX(irri)",1196,"stv 4892br",1,1.1,83.4,31,8.9,4.3,72,8.7,"5.3","8.5","19.399999999999999","19","0.52","114"
