"sample","test","regcode","location","loccode","varcode","rep","mic","uhm","ui","str","elo","rd","b","cgrd","area_percent","sfc_percent","trash_cnt","leaf_code","maturity"
"26064","PLAINS","012","CHILLOCOTHE","015","1519","2",4.72,1.19,85.1,34.95,5.54954954954955,76.8,6.45,"41-1",1.02,6.9,62,6,0.87
"26065","PLAINS","012","CHILLOCOTHE","015","1533","1",4.04,1.18,84.5,34.2,7.79234234234234,73.75,7.55,"41-1",2.39,7.5,82,8,0.84
"26066","PLAINS","012","CHILLOCOTHE","015","1533","2",4.9,1.18,85,35.05,7.61981981981982,71.55,7.85,"41-2",1.5,6.9,107,6,0.86
"26067","PLAINS","012","CHILLOCOTHE","015","1534","1",4.19,1.15,83.7,33.95,6.75720720720721,75.3,8.6,"31-4",1.37,8.1,97,7.5,0.85
"26068","PLAINS","012","CHILLOCOTHE","015","1534","2",5,1.13,83.7,33.2,6.06711711711712,75.45,8.15,"41-1",1.26,7.7,77,7,0.87
"26059","PLAINS","012","CHILLOCOTHE","015","1535","1",4.51,1.19,85,34.4,5.72207207207207,76.55,8.1,"31-2",1.14,7.3,50,6.5,0.86
"26060","PLAINS","012","CHILLOCOTHE","015","1535","2",4.95,1.15,84.7,33.9,5.20450450450451,76.8,8,"31-2",1.03,7.4,67,6,0.87
"26061","PLAINS","012","CHILLOCOTHE","015","1536","1",3.6,1.23,85.1,42.2,6.41216216216216,75.3,7.55,"41-1",1.4,6.9,86,7,0.84
"26062","PLAINS","012","CHILLOCOTHE","015","1536","2",3.82,1.28,87.6,39.55,6.58468468468469,73.75,7.45,"41-2",1.64,5.7,115,7.5,0.85
"58001","EAST","020","FLORENCE","036","1404","1",4.9,1.12,85.4,30.7,8.82747747747748,64.45,8,"62-1",2.99,7.2,187,8,0.86
"58002","EAST","020","FLORENCE","036","1404","2",5.04,1.13,85.1,32.4,8.65495495495496,67.15,7.65,"51-4",2.95,6.8,178,8,0.86
"58003","EAST","020","FLORENCE","036","1516","1",5.12,1.17,83,30.45,8.65495495495496,68.95,7,"51-1",2.78,7.3,189,8,0.87
