"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mpt","rd_mot","b_mot","mic_mot"
"85",11,"PLA",163,"Lamesa, TX(dry)","693",2,135,1.01,0.48,47,19.9,5.7,4.8,1.04,81,30,71,9.4,4.7
"85",11,"PLA",163,"Lamesa, TX(dry)","694",1,127,1.01,0.48,47,19.8,6.2,4.2,1.03,81,25,72.5,9.4,4.2
"85",11,"PLA",163,"Lamesa, TX(dry)","694",2,134,1.01,0.48,46,18.7,6,4.2,1.05,80,26,74.5,9.6,4.2
"85",11,"PLA",163,"Lamesa, TX(dry)","695",1,127,0.98,0.46,46,21.1,5.2,4.2,1.02,82,26,74,9.2,4.4
"85",11,"PLA",163,"Lamesa, TX(dry)","695",2,127,0.96,0.45,46,19.6,5.4,4.2,0.96,80,27,74,9.8,4.2
"85",12,"PLA",16,"Altus, OK(irri)","80",1,135,1.02,0.5,48,20.5,5.3,4.7,1.05,81,25,78.5,8.8,4.8
"85",12,"PLA",16,"Altus, OK(irri)","80",2,142,1.04,0.52,49,21.6,5.6,4.8,0.96,81,22,78,9,4.7
"85",12,"PLA",16,"Altus, OK(irri)","400",1,134,1.06,0.53,49,20.4,5.6,5.2,1.12,83,30,75.5,9.4,4.6
"85",12,"PLA",16,"Altus, OK(irri)","400",2,131,1.05,0.51,47,20.1,6.1,5,1.04,83,25,77.5,9.2,5.1
"85",12,"PLA",16,"Altus, OK(irri)","566",1,139,1,0.5,49,22.2,5.5,5,1.02,83,27,78,9.2,4.9
"85",12,"PLA",16,"Altus, OK(irri)","566",2,143,1,0.49,48,21.9,5.8,5,1,81,26,76,8.6,4.9
"85",12,"PLA",16,"Altus, OK(irri)","574",1,131,1.07,0.54,49,20.8,5.1,5.2,1.05,83,25,77,9.6,5.2
"85",12,"PLA",16,"Altus, OK(irri)","574",2,144,1.06,0.5,46,20.4,5.5,4.7,1.14,83,26,77,9.8,4.8
"85",12,"PLA",16,"Altus, OK(irri)","634",1,175,1.12,0.55,48,23.6,5.2,4.3,1.16,84,34,79.5,8.6,4
"85",12,"PLA",16,"Altus, OK(irri)","634",2,177,1.14,0.54,46,22.8,5.2,3.9,1.15,84,32,77.5,9.4,3.5
"85",12,"PLA",16,"Altus, OK(irri)","635",1,144,1.06,0.52,48,20.8,5.3,4.5,1.07,82,22,78.5,9.4,4.6
"85",12,"PLA",16,"Altus, OK(irri)","635",2,161,1.1,0.55,49,21.1,5.1,5.2,1.12,83,27,78.5,9.6,4.9
"85",12,"PLA",16,"Altus, OK(irri)","636",1,142,1.04,0.51,48,19.3,5.4,4.7,1.05,82,24,76,10.4,4.4
"85",12,"PLA",16,"Altus, OK(irri)","636",2,147,1.06,0.53,49,19.3,4.9,4.7,1.08,81,25,78.5,9.4,4.8
"85",12,"PLA",16,"Altus, OK(irri)","679",1,188,1.15,0.61,52,25.3,5.4,4.5,1.15,84,35,77,9,4.7
"85",12,"PLA",16,"Altus, OK(irri)","679",2,195,1.13,0.58,51,27.1,5.7,4.8,1.13,83,34,76,9.4,4.2
"85",12,"PLA",16,"Altus, OK(irri)","693",1,154,1.04,0.5,47,22.6,5.2,5.3,1.03,83,28,79,9.2,4.5
"85",12,"PLA",16,"Altus, OK(irri)","693",2,159,1.06,0.54,50,22.8,5.6,4.9,1.07,84,29,78.5,9.4,4.7
"85",12,"PLA",16,"Altus, OK(irri)","694",1,146,1.04,0.51,48,17.7,5.4,3.8,1.08,81,25,79,9.4,3.7
"85",12,"PLA",16,"Altus, OK(irri)","694",2,155,1.1,0.52,46,21.7,5.3,3.9,1.11,82,27,79.5,8.6,3.8
"85",12,"PLA",16,"Altus, OK(irri)","695",1,144,1.04,0.51,49,22.6,5.7,5,1.05,81,29,73,9.8,4.5
