"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"26-056","18","PLAINS","012","CHILLOCOTHE","015","PHY 499WRF*","1404","2","""",5.22,0.87,1.08,84.1,7.9,32.05,8.8,75.6,7.05,"6.6999772882125885",67.6751877917543
"26-057","18","PLAINS","012","CHILLOCOTHE","015","DP 1646B2XF*","1516","1","""",4.99,0.86,1.18,83.6,7.5,30.15,8.5,78.85,6.55,"4.725133296561868",63.7754329623337
"26-058","18","PLAINS","012","CHILLOCOTHE","015","DP 1646B2XF*","1516","2","""",4.72,0.85,1.17,81.2,8.8,27.75,8.7,76.65,6.1,"5.1497234407781862",62.6241577124045
"26-063","18","PLAINS","012","CHILLOCOTHE","015","FM 1911GLT","1519","1","REGL STD",4.64,0.87,1.1,82.9,8.2,31.7,7.2,77.8,6.5,NA,NA
"26-064","18","PLAINS","012","CHILLOCOTHE","015","FM 1911GLT","1519","2","""",4.41,0.86,1.06,80.7,10.8,29.1,7.3,75.9,6.4,NA,NA
"26-065","18","PLAINS","012","CHILLOCOTHE","015","DP 1612B2XF","1533","1","""",4.81,0.86,1.08,83.4,7.5,28.05,8.7,74.2,7.3,NA,NA
"26-066","18","PLAINS","012","CHILLOCOTHE","015","DP 1612B2XF","1533","2","""",4.82,0.86,1.12,83.8,7.6,31.6,8.6,74.55,6.8,NA,NA
"26-067","18","PLAINS","012","CHILLOCOTHE","015","PHY 300W3FE","1534","1","""",4.95,0.87,1.05,83,9.9,30.3,7.9,77.55,7.8,NA,NA
"26-068","18","PLAINS","012","CHILLOCOTHE","015","PHY 300W3FE","1534","2","""",4.91,0.87,1.11,83.7,8.3,30.95,7.9,75.4,7.4,NA,NA
"26-059","18","PLAINS","012","CHILLOCOTHE","015","NG 4545B2XF*","1535","1","""",5.12,0.88,1.03,81.4,10.4,29.05,7.2,75.7,7.65,"4.2184873949579798",73.5703220584542
"26-060","18","PLAINS","012","CHILLOCOTHE","015","NG 4545B2XF*","1535","2","""",4.96,0.87,1.07,82.4,8.9,29.3,6.9,77.35,7.8,"3.7922705314009675",66.1143915369072
"26-061","18","PLAINS","012","CHILLOCOTHE","015","PHY 764WRF*","1536","1","""",4.23,0.85,1.14,84.9,7,34.5,7.9,76.85,7.05,"6.5331749533344672",76.7644980635733
"26-062","18","PLAINS","012","CHILLOCOTHE","015","PHY 764WRF*","1536","2","""",4.16,0.85,1.15,85.2,7,34.3,7.8,72.35,5.8,"10.168569874932034",80.1146558794868
"91-001","18","PLAINS","012","ALTUS-I","016","PHY 499WRF*","1404","1","NATL STD",4.04,0.84,1.21,83.6,7.6,33.35,8.9,66.6,7.1,NA,NA
"91-002","18","PLAINS","012","ALTUS-I","016","PHY 499WRF*","1404","2","""",3.81,0.83,1.22,83.9,7.4,33.1,9,70.45,7.6,NA,NA
"91-003","18","PLAINS","012","ALTUS-I","016","DP 1646B2XF*","1516","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-004","18","PLAINS","012","ALTUS-I","016","DP 1646B2XF*","1516","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-009","18","PLAINS","012","ALTUS-I","016","FM 1911GLT","1519","1","REGL STD",3.43,0.83,1.26,82.4,7.6,30.6,8.2,72.15,6.6,NA,NA
"91-010","18","PLAINS","012","ALTUS-I","016","FM 1911GLT","1519","2","""",3.23,0.82,1.24,83,8.2,30.75,8.1,73.3,7.1,NA,NA
"91-011","18","PLAINS","012","ALTUS-I","016","DP 1612B2XF","1533","1","""",4.11,0.84,1.21,83.6,8.2,30.15,9.4,73.55,7.1,NA,NA
"91-012","18","PLAINS","012","ALTUS-I","016","DP 1612B2XF","1533","2","""",3.64,0.83,1.24,83.7,7.7,32.05,9.4,70.25,6.95,NA,NA
"91-013","18","PLAINS","012","ALTUS-I","016","PHY 300W3FE","1534","1","""",4.26,0.85,1.19,82.4,8.5,29.85,8.4,70.15,6.9,NA,NA
