"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"90-007","18","EAST","020","GRIFFIN, GA","153","PHY 764WRF*","1536","1","""",4.2,0.85,1.16,83.9,7.2,32.75,8.3,67.5,6.65,NA,NA
"90-008","18","EAST","020","GRIFFIN, GA","153","PHY 764WRF*","1536","2","""",4.07,0.85,1.13,83.9,7.2,33.95,8.4,67.1,7.6,NA,NA
"90-009","18","EAST","020","GRIFFIN, GA","153","PHY 430W3FE","1574","1","REGL STD",4.85,0.86,1.09,83.2,8.5,30.2,8.8,68.8,7.7,NA,NA
"90-010","18","EAST","020","GRIFFIN, GA","153","PHY 430W3FE","1574","2","""",4.22,0.84,1.11,83.2,8.3,29.85,8.7,67.35,7.3,NA,NA
"90-013","18","EAST","020","GRIFFIN, GA","153","DP 1840B3XF","1575","1","""",4.04,0.84,1.18,83.8,8,31.65,8.6,68.5,6.6,NA,NA
"90-014","18","EAST","020","GRIFFIN, GA","153","DP 1840B3XF","1575","2","""",4.38,0.85,1.15,82.8,8.5,28.5,8.7,67.75,6.6,NA,NA
"90-015","18","EAST","020","GRIFFIN, GA","153","NG 5007B2XF","1576","1","""",4.58,0.85,1.14,83,7.9,27.25,8.9,70.85,7.25,NA,NA
"90-016","18","EAST","020","GRIFFIN, GA","153","NG 5007B2XF","1576","2","""",4.79,0.85,1.16,83.7,7.6,26.3,9.1,68.3,6.7,NA,NA
"90-017","18","EAST","020","GRIFFIN, GA","153","NG 3522B2XF","1577","1","""",3.71,0.83,1.04,80.8,11.5,26.8,8.1,62.25,7.05,NA,NA
"90-018","18","EAST","020","GRIFFIN, GA","153","NG 3522B2XF","1577","2","""",4.13,0.84,1.06,81.5,9.9,26.35,8.1,68.85,6.9,NA,NA
"90-019","18","EAST","020","GRIFFIN, GA","153","ST 5471GLTP","1578","1","""",4.14,0.85,1.15,84.2,7.3,31.5,8,68.4,5.95,NA,NA
"90-020","18","EAST","020","GRIFFIN, GA","153","ST 5471GLTP","1578","2","""",3.91,0.84,1.13,83,9,31.15,7.8,69.25,6,NA,NA
"78-001","18","EAST","020","SUFFOLK","166","PHY 499WRF*","1404","1","NATL STD",5.19,0.86,1.17,85.3,7.4,32.6,9.4,75.85,6.2,NA,NA
"78-002","18","EAST","020","SUFFOLK","166","PHY 499WRF*","1404","2","""",5.29,0.87,1.15,84.3,7.9,30.65,9,75.1,6.2,NA,NA
"78-011","18","EAST","020","SUFFOLK","166","DP 1538B2XF","1510","1","""",5.07,0.86,1.14,83.5,7.6,29.2,9.2,77.3,5.7,NA,NA
"78-012","18","EAST","020","SUFFOLK","166","DP 1538B2XF","1510","2","""",5.3,0.87,1.14,84.5,7.2,27.5,9.2,79,7,NA,NA
"78-003","18","EAST","020","SUFFOLK","166","DP 1646B2XF*","1516","1","""",4.68,0.85,1.26,84.5,6.9,30.45,8.9,80.45,5.55,NA,NA
"78-004","18","EAST","020","SUFFOLK","166","DP 1646B2XF*","1516","2","""",4.44,0.85,1.28,84.4,6.9,31.65,8.7,81.35,6.05,NA,NA
"78-005","18","EAST","020","SUFFOLK","166","NG 4545B2XF*","1535","1","""",4.66,0.86,1.11,82.7,9.5,31.1,7.5,76.85,7.7,NA,NA
"78-006","18","EAST","020","SUFFOLK","166","NG 4545B2XF*","1535","2","""",4.73,0.87,1.13,83.2,8.6,31.75,7.2,75.25,5.95,NA,NA
"78-007","18","EAST","020","SUFFOLK","166","PHY 764WRF*","1536","1","""",4.58,0.86,1.18,84,7.5,36.45,7.9,77.6,7.25,NA,NA
"78-008","18","EAST","020","SUFFOLK","166","PHY 764WRF*","1536","2","""",3.93,0.84,1.19,82.8,7.8,34.85,8.4,77.75,7.9,NA,NA
"78-009","18","EAST","020","SUFFOLK","166","PHY 430W3FE","1574","1","REGL STD",5.15,0.87,1.12,84.9,7.3,31.4,8.3,79.5,8.55,NA,NA
"78-010","18","EAST","020","SUFFOLK","166","PHY 430W3FE","1574","2","""",5.02,0.87,1.11,84,7.6,31.4,8.4,76.05,7.55,NA,NA
"78-013","18","EAST","020","SUFFOLK","166","DP 1840B3XF","1575","1","""",4.59,0.86,1.23,84.1,7.7,31.9,8.4,78.9,6.5,NA,NA
"78-014","18","EAST","020","SUFFOLK","166","DP 1840B3XF","1575","2","""",4.79,0.86,1.21,82.2,8.3,32.25,8.3,77,5.9,NA,NA
"78-015","18","EAST","020","SUFFOLK","166","NG 5007B2XF","1576","1","""",4.43,0.85,1.18,83.5,7.9,29.5,9.2,77.25,6.4,NA,NA
"78-016","18","EAST","020","SUFFOLK","166","NG 5007B2XF","1576","2","""",4.88,0.86,1.17,84,7.4,28.65,8.9,75.95,5.8,NA,NA
"78-017","18","EAST","020","SUFFOLK","166","NG 3522B2XF","1577","1","""",4.62,0.85,1.09,82.3,9.5,27.85,8.4,79,6.7,NA,NA
"78-018","18","EAST","020","SUFFOLK","166","NG 3522B2XF","1577","2","""",4.76,0.86,1.12,82.7,9.2,28,8.5,78.25,7.2,NA,NA
"78-019","18","EAST","020","SUFFOLK","166","ST 5471GLTP","1578","1","""",4.52,0.85,1.14,82,8.7,30.35,8.4,81.2,6.9,NA,NA
"78-020","18","EAST","020","SUFFOLK","166","ST 5471GLTP","1578","2","""",4.71,0.86,1.22,84.3,7.5,31.05,8.3,80.9,6.9,NA,NA
"26-001","18","CENTRAL","030","COLL STA-I","019","PHY 499WRF*","1404","1","NATL STD",4.52,0.85,1.15,81.8,9,29.2,8.6,67.65,5.9,"10.320641282565129",60.5648059874763
"26-002","18","CENTRAL","030","COLL STA-I","019","PHY 499WRF*","1404","2","""",4.52,0.86,1.16,84.1,8.3,31.55,8.1,61.4,7.45,"14.259352457641336",56.7635682281059
"26-011","18","CENTRAL","030","COLL STA-I","019","PHY 312WRF","1497","1","""",4.5,0.86,1.18,82.1,8.9,29.1,7.7,64.25,5.8,NA,NA
"26-012","18","CENTRAL","030","COLL STA-I","019","PHY 312WRF","1497","2","""",4.21,0.85,1.15,83.4,9.5,27.45,8,61.35,6.3,NA,NA
"26-013","18","CENTRAL","030","COLL STA-I","019","FM 1830GLT","1503","1","""",4.46,0.86,1.17,81.8,8.3,29.5,7.2,61.5,5.9,NA,NA
"26-014","18","CENTRAL","030","COLL STA-I","019","FM 1830GLT","1503","2","""",4.32,0.86,1.19,82,9.5,30.35,7.1,63.85,5.8,NA,NA
"26-003","18","CENTRAL","030","COLL STA-I","019","DP 1646B2XF*","1516","1","""",4.16,0.84,1.21,81.1,10.2,26.8,9.1,65.4,5.2,"15.305101700566857",62.2575348503523
"26-004","18","CENTRAL","030","COLL STA-I","019","DP 1646B2XF*","1516","2","""",4.11,0.84,1.27,82.9,7.8,29.25,8.6,69.05,6,"9.0909090909090988",51.8429169392002
"26-005","18","CENTRAL","030","COLL STA-I","019","NG 4545B2XF*","1535","1","""",4.53,0.86,1.15,82,9.3,29.8,7.3,64.5,6.75,"9.3472059070313804",65.3428636764792
"26-006","18","CENTRAL","030","COLL STA-I","019","NG 4545B2XF*","1535","2","""",4.88,0.87,1.12,81.4,9.5,30.4,7.1,67.2,6.15,"9.8605745002519818",63.9861106321291
"26-007","18","CENTRAL","030","COLL STA-I","019","PHY 764WRF*","1536","1","""",3.95,0.84,1.15,83.8,8.1,32.8,7.8,61.3,5.45,"15.552937215956902",77.1456014201184
"26-008","18","CENTRAL","030","COLL STA-I","019","PHY 764WRF*","1536","2","""",4.16,0.85,1.17,81.2,9.5,32.65,7.9,61.6,6.7,"12.89292318036645",53.6884138180794
"26-009","18","CENTRAL","030","COLL STA-I","019","DP 1522B2XF","1537","1","REGL STD",4.58,0.85,1.15,83,9.2,28.8,9,64.6,6.75,NA,NA
"26-010","18","CENTRAL","030","COLL STA-I","019","DP 1522B2XF","1537","2","""",4.54,0.85,1.15,84.1,8.3,29.35,9.2,67.85,5.7,NA,NA
"26-015","18","CENTRAL","030","COLL STA-I","019","DG 3385B2XF","1551","1","""",4.72,0.86,1.11,82.1,10.8,27.7,8.9,65.8,6.25,NA,NA
"26-016","18","CENTRAL","030","COLL STA-I","019","DG 3385B2XF","1551","2","""",4.46,0.85,1.16,83.3,8.6,28.05,8.7,68.05,6.95,NA,NA
"26-017","18","CENTRAL","030","COLL STA-I","019","NG 4601B2XF","1552","1","""",4.69,0.86,1.15,83.6,7.7,30.7,7.6,67.5,5.85,NA,NA
"26-018","18","CENTRAL","030","COLL STA-I","019","NG 4601B2XF","1552","2","""",4.75,0.86,1.17,82.9,8.9,30.25,7.7,67.35,5.8,NA,NA
"26-019","18","CENTRAL","030","WESLACO-I","021","PHY 499WRF*","1404","1","NATL STD",5.49,0.88,1.11,85.6,7.2,30.25,8.7,76.3,8.6,"3.2409739714525605",77.647922334498
"26-020","18","CENTRAL","030","WESLACO-I","021","PHY 499WRF*","1404","2","""",4.81,0.86,1.15,87,6.4,33.05,8.8,77.75,9.4,"4.520917678812415",76.8058294147435
"26-029","18","CENTRAL","030","WESLACO-I","021","PHY 312WRF","1497","1","""",5.39,0.88,1.16,86.4,6.4,30.2,7.9,78.35,9,NA,NA
"26-030","18","CENTRAL","030","WESLACO-I","021","PHY 312WRF","1497","2","""",4.88,0.87,1.16,84.9,7.4,30.5,7.8,78.35,8.95,NA,NA
"26-031","18","CENTRAL","030","WESLACO-I","021","FM 1830GLT","1503","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-032","18","CENTRAL","030","WESLACO-I","021","FM 1830GLT","1503","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-021","18","CENTRAL","030","WESLACO-I","021","DP 1646B2XF*","1516","1","""",4.97,0.87,1.26,86.8,6.3,30.9,8.5,76.95,7.5,"2.4070021881838071",77.9971924838029
"26-022","18","CENTRAL","030","WESLACO-I","021","DP 1646B2XF*","1516","2","""",4.66,0.86,1.25,84.9,6.9,29.7,8.6,79.65,9.6,"3.8834951456310685",59.1213739149424
"26-023","18","CENTRAL","030","WESLACO-I","021","NG 4545B2XF*","1535","1","""",5.23,0.88,1.13,83.8,7.7,29.5,7.3,78,7.7,"3.2360831656606295",73.2579221615407
"26-024","18","CENTRAL","030","WESLACO-I","021","NG 4545B2XF*","1535","2","""",5.25,0.88,1.13,84.3,7.5,30.75,7.2,76.15,8.35,"3.6104114189756489",65.1210748930507
"26-025","18","CENTRAL","030","WESLACO-I","021","PHY 764WRF*","1536","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-026","18","CENTRAL","030","WESLACO-I","021","PHY 764WRF*","1536","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-027","18","CENTRAL","030","WESLACO-I","021","DP 1522B2XF","1537","1","REGL STD",4.91,0.86,1.14,85.5,6.4,30.15,9.4,79.6,9.15,NA,NA
"26-028","18","CENTRAL","030","WESLACO-I","021","DP 1522B2XF","1537","2","""",4.97,0.86,1.16,84.1,7,31.15,8.7,79.55,9,NA,NA
"26-033","18","CENTRAL","030","WESLACO-I","021","DG 3385B2XF","1551","1","""",5.35,0.87,1.1,84.4,7.7,26.4,9.1,77.2,8.4,NA,NA
"26-034","18","CENTRAL","030","WESLACO-I","021","DG 3385B2XF","1551","2","""",5.27,0.87,1.11,85,6.9,27.3,8.9,76.5,8.05,NA,NA
"26-035","18","CENTRAL","030","WESLACO-I","021","NG 4601B2XF","1552","1","""",5.67,0.89,1.12,85,7.1,31.5,7.7,76,7.85,NA,NA
"26-036","18","CENTRAL","030","WESLACO-I","021","NG 4601B2XF","1552","2","""",5.65,0.88,1.16,84.3,7.6,31.8,8.1,78.4,8.75,NA,NA
"26-037","18","CENTRAL","030","C CHRISTI-D","195","PHY 499WRF*","1404","1","NATL STD",5.6,0.88,0.97,83.4,8.9,29.2,8.8,71.45,7.75,"6.3446650959273025",60.926950089496
"26-038","18","CENTRAL","030","C CHRISTI-D","195","PHY 499WRF*","1404","2","""",5.48,0.87,1.03,83.3,7.1,30.85,9.1,76.3,8.45,"3.7117903930131022",66.9569617995176
"26-047","18","CENTRAL","030","C CHRISTI-D","195","PHY 312WRF","1497","1","""",5.79,0.89,1.07,84.3,8,30.9,8,75.35,7.8,NA,NA
"26-048","18","CENTRAL","030","C CHRISTI-D","195","PHY 312WRF","1497","2","""",5.56,0.88,1.06,83.8,7.7,29.5,7.9,76.35,7.7,NA,NA
"26-049","18","CENTRAL","030","C CHRISTI-D","195","FM 1830GLT","1503","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-050","18","CENTRAL","030","C CHRISTI-D","195","FM 1830GLT","1503","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-039","18","CENTRAL","030","C CHRISTI-D","195","DP 1646B2XF*","1516","1","""",5.41,0.87,1.08,82.7,9.3,28.45,9,77.6,7.9,"6.1114842175957023",59.3036102865868
"26-040","18","CENTRAL","030","C CHRISTI-D","195","DP 1646B2XF*","1516","2","""",5.39,0.87,1.05,81.5,10.3,27.6,9.3,76.55,7.25,NA,45.3503065965745
"26-041","18","CENTRAL","030","C CHRISTI-D","195","NG 4545B2XF*","1535","1","""",5.5,0.88,1.03,84,7.8,27.75,7.5,75.05,7.85,"3.4772383672098104",65.2125091042641
"26-042","18","CENTRAL","030","C CHRISTI-D","195","NG 4545B2XF*","1535","2","""",5.62,0.89,1,81.9,7.9,25.9,7.4,75.1,8.1,"5.4100034025178632",62.4242125818522
"26-043","18","CENTRAL","030","C CHRISTI-D","195","PHY 764WRF*","1536","1","""",5.33,0.88,1.03,82.7,9.4,26.45,7.6,76.45,6.7,"5.7436415698164005",54.9864208837738
"26-044","18","CENTRAL","030","C CHRISTI-D","195","PHY 764WRF*","1536","2","""",4.89,0.87,1.05,81.2,9,27.5,7.3,77.8,6.85,"5.2499161355249839",53.2895423704286
"26-045","18","CENTRAL","030","C CHRISTI-D","195","DP 1522B2XF","1537","1","REGL STD",5.68,0.88,1.07,84.2,7.8,29.8,9.2,77.5,9.05,NA,NA
"26-046","18","CENTRAL","030","C CHRISTI-D","195","DP 1522B2XF","1537","2","""",5.7,0.87,1.03,83.5,8.1,29.45,9.3,76.35,8.1,NA,NA
"26-051","18","CENTRAL","030","C CHRISTI-D","195","DG 3385B2XF","1551","1","""",5.5,0.87,1.06,83.9,6.8,28.8,8.7,75.05,8.55,NA,NA
"26-052","18","CENTRAL","030","C CHRISTI-D","195","DG 3385B2XF","1551","2","""",5.48,0.87,1.03,83.3,6.9,25.95,8.8,76.65,8.3,NA,NA
"26-053","18","CENTRAL","030","C CHRISTI-D","195","NG 4601B2XF","1552","1","""",5.93,0.89,1.08,83.7,7.5,31.05,8,78.35,8,NA,NA
"26-054","18","CENTRAL","030","C CHRISTI-D","195","NG 4601B2XF","1552","2","""",5.84,0.89,1.05,82.3,7.7,29.9,8.1,76.75,8.2,NA,NA
"80-001","18","DELTA","040","ST. JOE","024","PHY 499WRF*","1404","1","NATL STD",4.82,0.86,1.22,85.2,7.3,32.7,8.3,70.05,6.55,NA,NA
"80-002","18","DELTA","040","ST. JOE","024","PHY 499WRF*","1404","2","""",4.69,0.86,1.21,86.3,6.7,33.6,8.4,73.1,6.8,NA,NA
"80-003","18","DELTA","040","ST. JOE","024","DP 1646B2XF*","1516","1","""",4.43,0.85,1.24,82.1,8.6,28.5,8.7,62.55,5,NA,NA
"80-004","18","DELTA","040","ST. JOE","024","DP 1646B2XF*","1516","2","""",4.67,0.86,1.28,84.7,6.8,28.1,8.5,73.8,5,"6.0497056899934529",73.9422588174274
"80-009","18","DELTA","040","ST. JOE","024","DP 1518B2XF","1529","1","REGL STD",4.42,0.86,1.2,84.5,7.9,29.1,7.7,65.95,5.95,NA,NA
"80-010","18","DELTA","040","ST. JOE","024","DP 1518B2XF","1529","2","""",4.69,0.86,1.11,81.4,10.6,28.55,7.8,73.55,5.7,NA,NA
"80-005","18","DELTA","040","ST. JOE","024","NG 4545B2XF*","1535","1","""",4.51,0.86,1.17,81.8,9.2,30.7,7.1,74.1,6.8,"10.663983903420522",71.2280520623792
"80-006","18","DELTA","040","ST. JOE","024","NG 4545B2XF*","1535","2","""",5.1,0.88,1.16,83.8,8.4,32.9,6.8,72.7,6.6,"7.5551232166018094",75.708468359846
"80-007","18","DELTA","040","ST. JOE","024","PHY 764WRF*","1536","1","""",4.09,0.85,1.23,86,7.3,35.7,7.5,70.6,6.7,"13.799051315222091",84.7581147669487
"80-008","18","DELTA","040","ST. JOE","024","PHY 764WRF*","1536","2","""",4.57,0.86,1.16,84,7.6,32,7.6,73.85,6.55,"5.4931335830212173",83.5681703793494
"80-011","18","DELTA","040","ST. JOE","024","DP 1522B2XF","1537","1","""",4.8,0.86,1.2,85,7.8,31.35,8.6,72.35,5.7,NA,NA
"80-012","18","DELTA","040","ST. JOE","024","DP 1522B2XF","1537","2","""",5.28,0.87,1.17,83.9,7.7,31.45,8.6,70.45,4.85,NA,NA
"80-017","18","DELTA","040","ST. JOE","024","PHY 330W3FE","1542","1","""",3.94,0.85,1.19,85.1,8.1,29.8,7.3,72.25,8.15,NA,NA
"80-018","18","DELTA","040","ST. JOE","024","PHY 330W3FE","1542","2","""",4.83,0.87,1.16,83.7,8.2,30.85,7.6,74.15,6.45,NA,NA
"80-013","18","DELTA","040","ST. JOE","024","PHY 444WRF","1549","1","""",4.26,0.85,1.25,85.4,6.9,31.65,7.7,71.5,6.25,NA,NA
"80-014","18","DELTA","040","ST. JOE","024","PHY 444WRF","1549","2","""",4.42,0.86,1.28,85.9,6.1,34.45,7.6,73,5.65,NA,NA
"80-015","18","DELTA","040","ST. JOE","024","NG 3522B2XF","1577","1","""",4.47,0.86,1.17,84.9,7.3,29,7.8,73,6,NA,NA
"80-016","18","DELTA","040","ST. JOE","024","NG 3522B2XF","1577","2","""",4.64,0.86,1.11,83.1,9.7,28.45,7.5,75.3,6.75,NA,NA
"80-019","18","DELTA","040","ST. JOE","024","ST 5471GLTP","1578","1","""",4.75,0.87,1.2,84.3,7.6,31,7.4,72.25,6.45,NA,NA
"80-020","18","DELTA","040","ST. JOE","024","ST 5471GLTP","1578","2","""",4.58,0.86,1.18,83.1,8,35.6,7.2,78.85,5.3,NA,NA
"84-001","18","DELTA","040","STONEVILLE","025","PHY 499WRF*","1404","1","NATL STD",5.16,0.87,1.09,84,7.6,29.55,8.4,77.1,7.6,NA,NA
"84-002","18","DELTA","040","STONEVILLE","025","PHY 499WRF*","1404","2","""",5.01,0.86,1.13,84.2,6.8,31.25,8.6,75.95,7.25,NA,NA
"84-003","18","DELTA","040","STONEVILLE","025","DP 1646B2XF*","1516","1","""",5.09,0.87,1.21,84.2,7.1,29.8,8.2,79.1,6.75,NA,NA
"84-004","18","DELTA","040","STONEVILLE","025","DP 1646B2XF*","1516","2","""",4.93,0.86,1.22,84.6,7.7,28.75,8.2,78.65,6.65,NA,NA
"84-009","18","DELTA","040","STONEVILLE","025","DP 1518B2XF","1529","1","REGL STD",4.73,0.86,1.15,83.6,8.7,27.95,7.4,75.15,6.5,NA,NA
"84-010","18","DELTA","040","STONEVILLE","025","DP 1518B2XF","1529","2","""",5.09,0.88,1.11,82.6,9.9,28.3,7.1,74.3,6.15,NA,NA
"84-005","18","DELTA","040","STONEVILLE","025","NG 4545B2XF*","1535","1","""",5.26,0.88,1.05,80.6,10.7,27.7,7,77.4,7.85,NA,NA
"84-006","18","DELTA","040","STONEVILLE","025","NG 4545B2XF*","1535","2","""",4.88,0.87,1.14,83.5,8,30.6,6.9,76,7.4,NA,NA
"84-007","18","DELTA","040","STONEVILLE","025","PHY 764WRF*","1536","1","""",4.31,0.86,1.14,83.9,7.2,34.4,7.7,75.4,6.85,NA,NA
"84-008","18","DELTA","040","STONEVILLE","025","PHY 764WRF*","1536","2","""",4.42,0.86,1.13,84.3,7.3,35.75,7.6,75.5,6.65,NA,NA
"84-011","18","DELTA","040","STONEVILLE","025","DP 1522B2XF","1537","1","""",4.87,0.86,1.08,82.6,8.6,28.15,8.9,76.55,7.75,NA,NA
"84-012","18","DELTA","040","STONEVILLE","025","DP 1522B2XF","1537","2","""",4.9,0.86,1.11,84.4,7.6,30.7,8.4,77.05,6.55,NA,NA
"84-017","18","DELTA","040","STONEVILLE","025","PHY 330W3FE","1542","1","""",4.88,0.87,1.04,80.3,11.4,26.75,7.4,76.25,7.75,NA,NA
"84-018","18","DELTA","040","STONEVILLE","025","PHY 330W3FE","1542","2","""",4.47,0.86,1.1,81.6,8.7,28.25,7.5,76.55,8,NA,NA
"84-013","18","DELTA","040","STONEVILLE","025","PHY 444WRF","1549","1","""",4.83,0.87,1.2,83.4,7,30.45,7.6,77,7.45,NA,NA
"84-014","18","DELTA","040","STONEVILLE","025","PHY 444WRF","1549","2","""",4.53,0.86,1.2,84.8,7.1,31.1,7.5,77.9,7.8,NA,NA
"84-015","18","DELTA","040","STONEVILLE","025","NG 3522B2XF","1577","1","""",5.14,0.87,1.01,79.3,11.8,23.75,7.8,75.8,7.1,NA,NA
"84-016","18","DELTA","040","STONEVILLE","025","NG 3522B2XF","1577","2","""",5.08,0.87,1.07,81.7,10.1,25.2,7.6,77.8,7.95,NA,NA
"84-019","18","DELTA","040","STONEVILLE","025","ST 5471GLTP","1578","1","""",4.68,0.86,1.12,82.5,8.4,30.85,7.3,76.9,6.65,NA,NA
"84-020","18","DELTA","040","STONEVILLE","025","ST 5471GLTP","1578","2","""",4.68,0.86,1.15,82.8,8,31.35,7.6,79.6,7.15,NA,NA
"69-001","18","DELTA","040","JACKSON","030","PHY 499WRF*","1404","1","NATL STD",4.79,0.86,1.15,85.1,6.9,30.7,8.9,69.2,7.45,"5.5039675839945943",89.6134746690924
"69-002","18","DELTA","040","JACKSON","030","PHY 499WRF*","1404","2","""",5.02,0.86,1.14,85.4,7.3,30.9,9.1,72.45,7.95,"5.4900639946109884",76.3763153387937
"69-003","18","DELTA","040","JACKSON","030","DP 1646B2XF*","1516","1","""",4.46,0.85,1.24,85.1,6.8,29.25,9,75,7.5,"2.966811934294328",61.9280939112675
"69-004","18","DELTA","040","JACKSON","030","DP 1646B2XF*","1516","2","""",4.69,0.85,1.24,86.2,6.3,28,8.8,73.95,6.8,"4.8694779116465812",63.0217195967917
"69-009","18","DELTA","040","JACKSON","030","DP 1518B2XF","1529","1","REGL STD",4.04,0.85,1.16,85.2,7.6,29.25,7.7,71.6,7.5,NA,NA
"69-010","18","DELTA","040","JACKSON","030","DP 1518B2XF","1529","2","""",4.15,0.85,1.18,85.7,7.3,30.25,8.2,74.8,7.9,NA,NA
"69-005","18","DELTA","040","JACKSON","030","NG 4545B2XF*","1535","1","""",4.74,0.87,1.13,84.1,7.7,31.45,7.1,71,9.1,"6.3883724860571256",72.7033728287128
"69-006","18","DELTA","040","JACKSON","030","NG 4545B2XF*","1535","2","""",4.76,0.87,1.16,84.8,7.1,32.8,7.3,72.8,7.85,"4.3719522448293278",66.2337956376209
"69-007","18","DELTA","040","JACKSON","030","PHY 764WRF*","1536","1","""",4.16,0.85,1.12,83.4,7.7,35.1,8.1,69.35,9,"9.998308238876664",79.2125917170441
"69-008","18","DELTA","040","JACKSON","030","PHY 764WRF*","1536","2","""",3.94,0.85,1.18,84.5,6.8,36.7,7.9,72.4,7.6,"4.0627107215104585",82.0764722081169
"69-011","18","DELTA","040","JACKSON","030","DP 1522B2XF","1537","1","""",4.73,0.85,1.11,84.4,7.1,28.85,9.3,71.6,7.1,NA,NA
"69-012","18","DELTA","040","JACKSON","030","DP 1522B2XF","1537","2","""",4.92,0.86,1.14,84.9,7.6,30.3,9.4,74,7.75,NA,NA
"69-017","18","DELTA","040","JACKSON","030","PHY 330W3FE","1542","1","""",4.9,0.87,1.14,84.7,8.4,31.95,7.8,67.35,9.2,NA,NA
"69-018","18","DELTA","040","JACKSON","030","PHY 330W3FE","1542","2","""",4.79,0.86,1.17,84.9,7.1,31.55,8,69.45,7.95,NA,NA
"69-013","18","DELTA","040","JACKSON","030","PHY 444WRF","1549","1","""",4.33,0.85,1.21,86.5,6.4,31.2,7.9,72.7,8.1,NA,NA
"69-014","18","DELTA","040","JACKSON","030","PHY 444WRF","1549","2","""",4.08,0.85,1.27,86.3,5.9,31.25,8,74.75,8.25,NA,NA
"69-015","18","DELTA","040","JACKSON","030","NG 3522B2XF","1577","1","""",5.04,0.87,1.13,84.2,7.4,27.35,8.1,68.95,8.45,NA,NA
"69-016","18","DELTA","040","JACKSON","030","NG 3522B2XF","1577","2","""",4.48,0.86,1.14,84.9,7.1,29.75,8,73.6,7.75,NA,NA
"69-019","18","DELTA","040","JACKSON","030","ST 5471GLTP","1578","1","""",4.29,0.85,1.2,84,7.2,30.7,8.2,69.95,6.85,NA,NA
"69-020","18","DELTA","040","JACKSON","030","ST 5471GLTP","1578","2","""",4.43,0.85,1.2,84.3,7.1,30.2,8.4,75.7,7.2,NA,NA
"89-001","18","DELTA","040","PORTAG","075","PHY 499WRF*","1404","1","NATL STD",4.58,0.85,1.21,87.6,6.7,30.75,9.1,71.55,5.45,"7.0283179802115274",57.8417685434047
"89-002","18","DELTA","040","PORTAG","075","PHY 499WRF*","1404","2","""",4.79,0.86,1.21,88,6.1,29.9,9,72.95,5.45,"5.1880456682337188",70.3706175899109
"89-003","18","DELTA","040","PORTAG","075","DP 1646B2XF*","1516","1","""",4.53,0.85,1.27,86,7.3,30.3,8.8,76.8,5.35,"6.4230897564230807",67.9141583467627
"89-004","18","DELTA","040","PORTAG","075","DP 1646B2XF*","1516","2","""",4.06,0.84,1.32,87.2,5.5,29.9,9.2,78,4.7,"3.610832497492483",90.4327466507546
"89-009","18","DELTA","040","PORTAG","075","DP 1518B2XF","1529","1","REGL STD",4.75,0.87,1.25,86.2,7.3,31.15,7.7,72.45,4.75,NA,NA
"89-010","18","DELTA","040","PORTAG","075","DP 1518B2XF","1529","2","""",4.74,0.86,1.22,85.5,7.8,30.15,8,73.75,4.9,NA,NA
"89-005","18","DELTA","040","PORTAG","075","NG 4545B2XF*","1535","1","""",5.13,0.88,1.23,86.2,7.1,36.25,6.5,73.7,5.65,"4.7426841574167513",84.2902473246135
"89-006","18","DELTA","040","PORTAG","075","NG 4545B2XF*","1535","2","""",5.22,0.88,1.23,85.6,7.3,35.1,6.7,74.2,5.55,"4.9496644295302064",73.5144028501842
"89-007","18","DELTA","040","PORTAG","075","PHY 764WRF*","1536","1","""",4.21,0.85,1.25,87.2,6.4,34.95,8.2,75.3,6.35,"6.2290689886135278",73.8376340520709
"89-008","18","DELTA","040","PORTAG","075","PHY 764WRF*","1536","2","""",4.17,0.85,1.25,87,6.1,34.05,8.4,74.65,5.75,NA,NA
"89-011","18","DELTA","040","PORTAG","075","DP 1522B2XF","1537","1","""",5.07,0.86,1.26,87.1,6.4,29.55,9,69.8,5.05,NA,NA
"89-012","18","DELTA","040","PORTAG","075","DP 1522B2XF","1537","2","""",5.13,0.87,1.23,86.8,6.4,32.35,8.8,72.2,4.85,NA,NA
"89-017","18","DELTA","040","PORTAG","075","PHY 330W3FE","1542","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89-018","18","DELTA","040","PORTAG","075","PHY 330W3FE","1542","2","""",4.8,0.86,1.25,85.9,6.9,32.85,7.9,75.35,4.65,NA,NA
"89-013","18","DELTA","040","PORTAG","075","PHY 444WRF","1549","1","""",3.53,0.84,1.3,84.9,6.1,31.85,7.7,78.45,6.9,NA,NA
"89-014","18","DELTA","040","PORTAG","075","PHY 444WRF","1549","2","""",3.99,0.84,1.33,87.3,5.4,29.05,8.1,76.5,6.9,NA,NA
