"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
"84",11,"PLA",12,"Lubbock, TX",80,1,123,1.02,0.47,46,0.169,7.9,3.4,1.01,80,25,77,9.4,3.4
"84",11,"PLA",12,"Lubbock, TX",80,2,115,0.94,0.44,47,0.164,7.8,4.4,0.96,81,23,77,10,4.3
"84",11,"PLA",12,"Lubbock, TX",400,1,121,1.02,0.44,42,0.153,6.6,3.5,1.02,79,25,76.5,9,3.2
"84",11,"PLA",12,"Lubbock, TX",400,2,120,1.07,0.46,43,0.166,6.2,3.3,1.08,81,25,79,9.2,3.3
"84",11,"PLA",12,"Lubbock, TX",566,1,129,1.03,0.48,46,0.173,7.1,3.5,1.04,80,27,76.5,8.6,3.4
"84",11,"PLA",12,"Lubbock, TX",566,2,126,1.03,0.47,46,0.165,6.5,3.5,0.99,79,25,77,9.6,3.4
"84",11,"PLA",12,"Lubbock, TX",574,1,135,1.03,0.47,45,0.191,6.6,3.3,1.05,80,22,78,9,3.1
"84",11,"PLA",12,"Lubbock, TX",574,2,136,1.04,0.46,43,0.181,6.5,3.3,1.07,81,25,76.5,8.8,3.1
"84",11,"PLA",12,"Lubbock, TX",634,1,148,1.07,0.48,45,0.193,6.7,3.7,1.1,81,28,75.5,8.8,3.6
"84",11,"PLA",12,"Lubbock, TX",634,2,147,1.09,0.49,44,0.203,6.3,3.3,1.13,82,27,75,8.6,3.2
"84",11,"PLA",12,"Lubbock, TX",635,1,185,0.95,0.44,45,0.175,6.1,4.1,0.94,80,22,75.5,9.2,4
"84",11,"PLA",12,"Lubbock, TX",635,2,113,0.94,0.45,48,0.167,5.3,4.4,0.9,80,22,75.5,9,4.3
"84",11,"PLA",12,"Lubbock, TX",636,1,128,1,0.46,46,0.169,7.4,3.2,1,78,24,78,9.2,3
"84",11,"PLA",12,"Lubbock, TX",636,2,122,0.97,0.44,44,0.177,6.9,3.4,0.98,79,24,78.5,9.2,3.3
"84",11,"PLA",12,"Lubbock, TX",679,1,156,1.07,0.52,48,0.219,6.5,3.8,1.05,83,27,76.5,9.2,3.6
"84",11,"PLA",12,"Lubbock, TX",679,2,153,1.1,0.55,50,0.208,6.5,3.6,1.07,83,27,76.5,8.6,3.6
"84",11,"PLA",12,"Lubbock, TX",693,1,134,1.05,0.5,47,0.2,6.1,4.4,1.05,83,24,78,9,4.5
"84",11,"PLA",12,"Lubbock, TX",693,2,138,1.02,0.47,46,0.197,6.5,4.6,1.04,83,26,79,9,4.7
"84",11,"PLA",12,"Lubbock, TX",694,1,128,0.99,0.46,46,0.172,6.4,3.8,1.02,80,21,76.5,9.2,3.7
"84",11,"PLA",12,"Lubbock, TX",694,2,132,1.04,0.47,45,0.177,6.9,3.5,1.05,79,23,79.5,8.8,3.3
"84",11,"PLA",12,"Lubbock, TX",695,1,130,1.02,0.49,48,0.185,6.5,3.6,1.02,81,25,78.5,9,3.4
"84",11,"PLA",12,"Lubbock, TX",695,2,124,0.97,0.47,48,0.184,6.1,3.8,0.94,81,25,77.5,9.4,3.7
"84",11,"PLA",13,"Halfway, TX(irri)",80,1,119,0.94,0.44,47,0.158,6.5,3.8,0.94,79,25,78,9,3.6
"84",11,"PLA",13,"Halfway, TX(irri)",80,2,123,0.94,0.44,47,0.186,7,3.4,0.93,80,23,76,9.6,3.3
"84",11,"PLA",13,"Halfway, TX(irri)",400,1,122,1.05,0.48,45,0.172,7.1,3.7,1.06,80,26,77,8.4,3.7
"84",11,"PLA",13,"Halfway, TX(irri)",400,2,127,1.01,0.45,44,0.167,7.5,3.2,1.04,79,24,77.5,8.2,3
"84",11,"PLA",13,"Halfway, TX(irri)",566,1,131,1,0.47,47,0.183,7.1,3.4,0.96,81,26,77.5,8.2,3.4
"84",11,"PLA",13,"Halfway, TX(irri)",566,2,127,0.97,0.46,47,0.164,7,3.1,0.92,78,28,77.5,8.4,2.8
"84",11,"PLA",13,"Halfway, TX(irri)",574,1,126,0.93,0.43,45,0.178,6.6,3.3,0.92,80,24,79,8.8,3.1
"84",11,"PLA",13,"Halfway, TX(irri)",574,2,133,0.97,0.45,46,0.179,6.5,3.3,0.97,80,26,78.5,8,3
"84",11,"PLA",13,"Halfway, TX(irri)",634,1,143,1.05,0.48,45,0.203,6.4,3.6,1.1,81,30,76.5,8.4,3.5
"84",11,"PLA",13,"Halfway, TX(irri)",634,2,139,1.02,0.46,44,0.191,7.2,3.4,1.06,81,29,77,7.8,3.3
"84",11,"PLA",13,"Halfway, TX(irri)",635,1,123,0.96,0.45,46,0.184,6.4,4.2,0.97,80,24,77.5,8,4
"84",11,"PLA",13,"Halfway, TX(irri)",635,2,123,0.96,0.44,45,0.16,6.4,3.7,0.95,79,25,77,7.6,3.6
"84",11,"PLA",13,"Halfway, TX(irri)",636,1,128,0.98,0.46,46,0.174,6.5,3.6,0.95,80,25,78,8.8,3.5
"84",11,"PLA",13,"Halfway, TX(irri)",636,2,118,0.96,0.44,45,0.171,7.3,3.1,0.92,79,23,77.5,8.8,2.9
"84",11,"PLA",13,"Halfway, TX(irri)",679,1,159,0.98,0.44,45,0.226,6.4,3.3,0.99,81,28,78,8.2,3
"84",11,"PLA",13,"Halfway, TX(irri)",679,2,158,0.98,0.47,47,0.223,6.4,3.1,0.96,81,29,78.5,8.6,2.8
"84",11,"PLA",13,"Halfway, TX(irri)",693,1,126,0.95,0.46,47,0.201,6.9,4.2,0.93,81,28,76.5,9.4,4
"84",11,"PLA",13,"Halfway, TX(irri)",693,2,142,0.99,0.46,46,0.174,7.2,3.1,0.98,81,29,78,8.6,3.7
"84",11,"PLA",13,"Halfway, TX(irri)",694,1,139,0.96,0.46,47,0.214,6.5,4,0.97,79,24,79.5,8.6,3
"84",11,"PLA",13,"Halfway, TX(irri)",694,2,125,0.97,0.43,44,0.162,7,3.1,0.94,79,24,79,8.6,2.9
"84",11,"PLA",13,"Halfway, TX(irri)",695,1,124,0.91,0.42,45,0.192,7.1,3.2,0.9,80,26,78.5,8.6,3.3
"84",11,"PLA",13,"Halfway, TX(irri)",695,2,131,1,0.47,46,0.196,6.9,3.3,0.97,80,28,77.5,8.2,3.2
"84",11,"PLA",163,"Lamesa, TX(dry)",80,1,124,1.02,0.48,46,0.172,7,4.3,1.02,83,26,72.5,9,4.2
"84",11,"PLA",163,"Lamesa, TX(dry)",80,2,120,1.01,0.5,49,0.175,6.9,4.5,0.95,81,26,72,9.4,4.1
"84",11,"PLA",163,"Lamesa, TX(dry)",400,1,122,1.04,0.52,50,0.17,6.4,3.8,1.01,81,25,74.5,9,3.6
"84",11,"PLA",163,"Lamesa, TX(dry)",400,2,122,1.03,0.5,48,0.184,6.6,3.7,1.01,81,24,74.5,8.8,3.5
"84",11,"PLA",163,"Lamesa, TX(dry)",566,1,120,0.98,0.48,48,0.186,6.3,4.2,0.93,82,26,71.5,9.8,3.9
"84",11,"PLA",163,"Lamesa, TX(dry)",566,2,123,0.99,0.49,49,0.184,6.2,4.2,0.99,82,23,72.5,9.4,4.3
"84",11,"PLA",163,"Lamesa, TX(dry)",574,1,140,1.03,0.49,47,0.179,6.8,3.5,1.05,82,26,73.5,8.4,3.3
"84",11,"PLA",163,"Lamesa, TX(dry)",574,2,133,1.04,0.51,49,0.188,7,3.9,0.98,82,26,71,8.2,3.6
"84",11,"PLA",163,"Lamesa, TX(dry)",634,1,151,1.1,0.52,47,0.22,6,3.5,1.11,83,34,73,8.4,3.3
"84",11,"PLA",163,"Lamesa, TX(dry)",634,2,132,1.05,0.5,47,0.195,6.4,3.7,1.03,80,31,73,8.8,3.5
"84",11,"PLA",163,"Lamesa, TX(dry)",635,1,122,0.95,0.49,51,0.184,6.2,4.3,0.91,82,25,71,9.4,4.1
"84",11,"PLA",163,"Lamesa, TX(dry)",635,2,130,0.96,0.49,50,0.198,6.5,4,0.96,82,25,72,8.6,4
"84",11,"PLA",163,"Lamesa, TX(dry)",636,1,127,0.96,0.45,46,0.185,6.6,3.8,0.95,80,25,74,9.4,3.7
"84",11,"PLA",163,"Lamesa, TX(dry)",636,2,120,0.93,0.42,45,0.167,6.8,3.8,0.91,80,24,74,9.4,3.6
"84",11,"PLA",163,"Lamesa, TX(dry)",679,1,171,1.1,0.55,49,0.221,6,3.6,1.07,83,30,73,8.8,3.4
"84",11,"PLA",163,"Lamesa, TX(dry)",679,2,160,1.05,0.52,49,0.22,6.3,3.7,1.02,83,30,73,8.8,3.6
"84",11,"PLA",163,"Lamesa, TX(dry)",693,1,140,1.03,0.53,50,0.187,7,4.8,1.01,82,29,72,9,4.5
"84",11,"PLA",163,"Lamesa, TX(dry)",693,2,146,1.05,0.53,50,0.207,6.1,4.6,1.06,84,28,72.5,8.4,4.4
"84",11,"PLA",163,"Lamesa, TX(dry)",694,1,133,1.02,0.48,46,0.192,6.2,3.6,1.03,81,24,73.5,8.8,3.4
"84",11,"PLA",163,"Lamesa, TX(dry)",694,2,135,1.04,0.49,47,0.188,6.4,3.5,0.99,80,25,74,8.6,3.4
"84",11,"PLA",163,"Lamesa, TX(dry)",695,1,132,0.94,0.46,49,0.187,6.3,4.1,0.98,82,26,71.5,9.2,3.8
"84",11,"PLA",163,"Lamesa, TX(dry)",695,2,133,1.01,0.5,49,0.189,6.2,4,1,81,28,72,9,3.6
"84",12,"PLA",16,"Altus, OK(irri)",80,1,137,1.12,0.54,48,0.184,6.7,4.6,1.09,81,26,79,9.4,4.4
"84",12,"PLA",16,"Altus, OK(irri)",80,2,129,1.02,0.51,49,0.183,6.8,5.5,1.05,83,24,77.5,9.4,5.6
"84",12,"PLA",16,"Altus, OK(irri)",400,1,131,1.09,0.55,50,0.18,6.4,5.2,1.08,82,25,77,9.4,5.1
"84",12,"PLA",16,"Altus, OK(irri)",400,2,132,1.06,0.51,48,0.184,5.9,4.9,1.05,82,23,76.5,9.2,5.1
"84",12,"PLA",16,"Altus, OK(irri)",566,1,140,1.06,0.54,50,0.192,6.7,5,1.02,84,25,78.5,8.6,4.6
"84",12,"PLA",16,"Altus, OK(irri)",566,2,142,1.03,0.52,50,0.207,6.8,4.7,1.17,85,24,79.5,8.8,4.6
"84",12,"PLA",16,"Altus, OK(irri)",574,1,147,1.07,0.51,46,0.197,5.6,5,1.15,84,28,78.5,8.6,4.5
"84",12,"PLA",16,"Altus, OK(irri)",574,2,141,1.08,0.54,49,0.208,5.7,4.5,1.1,85,25,79,8.8,4.7
"84",12,"PLA",16,"Altus, OK(irri)",634,1,165,1.17,0.6,51,0.227,5.7,4.6,1.22,85,32,78.5,8.6,4.7
"84",12,"PLA",16,"Altus, OK(irri)",634,2,168,1.13,0.57,50,0.213,6.2,4.6,1.17,85,28,78,9,4.4
"84",12,"PLA",16,"Altus, OK(irri)",635,1,156,1.05,0.52,49,0.194,6.2,5.1,1.03,83,30,77,9,4.7
"84",12,"PLA",16,"Altus, OK(irri)",635,2,146,1.01,0.51,50,0.191,5.8,5.1,1.04,84,23,77,8.6,4.7
"84",12,"PLA",16,"Altus, OK(irri)",636,1,144,1.09,0.55,50,0.18,6.4,4.5,1.13,84,23,78.5,8.8,4.3
"84",12,"PLA",16,"Altus, OK(irri)",636,2,141,1.05,0.53,50,0.184,6.6,4.8,1.09,84,24,77.5,9.2,5.1
"84",12,"PLA",16,"Altus, OK(irri)",679,1,181,1.09,0.55,49,0.24,6.2,4.4,1.11,84,29,78,8.6,4.2
"84",12,"PLA",16,"Altus, OK(irri)",679,2,180,1.1,0.54,48,0.232,5.9,4.5,1.15,86,28,79.5,9.2,4.6
"84",12,"PLA",16,"Altus, OK(irri)",693,1,154,1.06,0.54,50,0.207,5.8,5.6,1.03,84,25,77,9.2,5.7
"84",12,"PLA",16,"Altus, OK(irri)",693,2,154,1.05,0.53,50,0.209,6.2,5.2,1.02,85,27,78,9,4.9
"84",12,"PLA",16,"Altus, OK(irri)",694,1,150,1.12,0.55,48,0.202,6.5,4.4,1.13,84,26,78.5,8.8,4.2
"84",12,"PLA",16,"Altus, OK(irri)",694,2,143,1.13,0.55,48,0.201,6.9,4.3,1.15,83,23,79.5,8.4,4.5
"84",12,"PLA",16,"Altus, OK(irri)",695,1,146,1.06,0.54,50,0.194,5.7,4.6,1.09,84,24,79,8.8,4.7
"84",12,"PLA",16,"Altus, OK(irri)",695,2,150,1.02,0.52,50,0.221,6.2,4.2,1,83,25,77.5,9,4.5
"84",12,"PLA",38,"Chickasha, OK(dry)",80,1,134,1.01,0.49,48,0.196,5,5.2,1.07,81,22,74,8.6,4.7
"84",12,"PLA",38,"Chickasha, OK(dry)",80,2,126,1,0.49,48,0.171,5.1,4.9,0.97,80,23,70.5,8.4,4.7
"84",12,"PLA",38,"Chickasha, OK(dry)",400,1,129,0.94,0.45,47,0.17,6.1,4.7,0.98,83,24,72,8.6,4.6
"84",12,"PLA",38,"Chickasha, OK(dry)",400,2,133,0.97,0.45,46,0.153,4.9,5.2,0.98,82,22,70,8.4,5
"84",12,"PLA",38,"Chickasha, OK(dry)",566,1,132,0.93,0.46,48,0.162,4.9,5.5,0.94,82,23,72,8,5.4
"84",12,"PLA",38,"Chickasha, OK(dry)",566,2,121,0.95,0.47,49,0.159,4.8,5.2,0.87,81,23,72,8.8,5.2
"84",12,"PLA",38,"Chickasha, OK(dry)",574,1,139,1.05,0.51,48,0.17,5.9,4.7,1.05,83,26,72,7.8,4.4
"84",12,"PLA",38,"Chickasha, OK(dry)",574,2,137,1.02,0.48,46,0.186,5.2,4.6,1.04,82,22,71,8,4.6
"84",12,"PLA",38,"Chickasha, OK(dry)",634,1,143,0.99,0.48,47,0.193,4.6,5.1,1.07,82,27,72.5,8.4,5.2
"84",12,"PLA",38,"Chickasha, OK(dry)",634,2,150,1.07,0.5,46,0.221,4.9,4.7,1.06,82,27,69,8.6,4.2
"84",12,"PLA",38,"Chickasha, OK(dry)",635,1,126,0.95,0.47,49,0.177,6.9,4.4,0.92,80,21,71,8.2,4.6
"84",12,"PLA",38,"Chickasha, OK(dry)",635,2,122,0.92,0.44,47,0.162,6.3,5.4,0.91,82,21,69.5,9,4.9
"84",12,"PLA",38,"Chickasha, OK(dry)",636,1,128,1,0.47,46,0.168,5.7,4.7,0.98,82,22,70,9,4.2
"84",12,"PLA",38,"Chickasha, OK(dry)",636,2,133,0.97,0.47,48,0.188,5.5,4.8,0.97,80,22,71,8.8,4.5
"84",12,"PLA",38,"Chickasha, OK(dry)",679,1,175,1.07,0.54,50,0.261,6.6,4.4,1.01,83,30,70.5,7.6,4.1
"84",12,"PLA",38,"Chickasha, OK(dry)",679,2,177,1.09,0.56,50,0.241,6.7,4.7,1.03,83,30,73,8,4.6
"84",12,"PLA",38,"Chickasha, OK(dry)",693,1,145,0.95,0.46,48,0.209,5,5.3,0.93,81,29,71,8.8,5.2
"84",12,"PLA",38,"Chickasha, OK(dry)",693,2,147,0.97,0.48,49,0.211,5.2,5.1,0.93,81,26,71,9.4,5.4
"84",12,"PLA",38,"Chickasha, OK(dry)",694,1,138,0.97,0.45,46,0.175,5.7,4.1,0.96,80,19,68.5,9,4
"84",12,"PLA",38,"Chickasha, OK(dry)",694,2,134,1.05,0.52,49,0.188,5.5,4.3,1,81,22,70.5,8.4,4.4
"84",12,"PLA",38,"Chickasha, OK(dry)",695,1,133,0.95,0.45,47,0.182,5.2,4.3,0.92,80,24,69.5,8.4,4.5
"84",12,"PLA",38,"Chickasha, OK(dry)",695,2,136,0.94,0.46,48,0.196,5,5,0.9,82,26,70,8.6,4.6
"84",12,"PLA",52,"Chillicothe, TX(dry)",80,1,124,1.05,0.5,48,0.211,5.3,4.5,1.04,82,27,67,9,4.6
