"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"26-058",17,"012","PLAINS","CHILLOCOTHE","015","DP 1646B2XF*","1516","2",4.54,0.85,1.31,84.9,5.1,29.4,8.4,79.95,7.15,71.8340917587086,7.52508361204013
"26-063",17,"012","PLAINS","CHILLOCOTHE","015","FM 1911GLT","1519","1",4.83,0.87,1.17,85.2,6.3,31.65,6.9,78.65,6.95,NA,NA
"26-064",17,"012","PLAINS","CHILLOCOTHE","015","FM 1911GLT","1519","2",4.46,0.86,1.21,83.8,6.2,31.4,7.3,79.45,7,NA,NA
"26-065",17,"012","PLAINS","CHILLOCOTHE","015","DP 1612B2XF","1533","1",4.01,0.84,1.19,86.1,6.2,32,8.7,75.3,7.45,NA,NA
"26-066",17,"012","PLAINS","CHILLOCOTHE","015","DP 1612B2XF","1533","2",4.26,0.84,1.19,85.2,6.1,31.7,9.5,76.75,8.05,NA,NA
"26-067",17,"012","PLAINS","CHILLOCOTHE","015","PHY 300W3FE","1534","1",4.56,0.86,1.11,84.1,8,30.05,8,76.35,9.1,NA,NA
"26-068",17,"012","PLAINS","CHILLOCOTHE","015","PHY 300W3FE","1534","2",4.49,0.85,1.16,84.5,7.4,30.6,8.5,78.7,9.1,NA,NA
"26-059",17,"012","PLAINS","CHILLOCOTHE","015","NG 4545B2XF*","1535","1",4.53,0.86,1.15,84.9,6.5,32,6.9,76.55,8.65,80.2971304347826,6.16185359301545
"26-060",17,"012","PLAINS","CHILLOCOTHE","015","NG 4545B2XF*","1535","2",3.81,0.85,1.18,85.5,6.6,34,7.4,78.3,8.25,81.3501621168008,10.4457527333894
"26-061",17,"012","PLAINS","CHILLOCOTHE","015","PHY 764WRF*","1536","1",3.67,0.83,1.16,84.9,6.2,32.5,8.5,76.85,8.4,84.8683173395102,11.7676767676768
"26-062",17,"012","PLAINS","CHILLOCOTHE","015","PHY 764WRF*","1536","2",3.71,0.84,1.2,85.3,5.7,34.6,8.5,76.7,8.65,73.5271627543568,15.6691324815064
"29-001",17,"012","PLAINS","ALTUS - I","016","PHY 499WRF*","1404","1",3.93414168983131,0.843126113488052,1.24718945518787,86.4414763840197,6.72338710704056,40.5599302333611,8.33687614355684,80.1978459473055,8.20296757086766,81.4584146850094,10.1272264631043
"29-002",17,"012","PLAINS","ALTUS - I","016","PHY 499WRF*","1404","2",3.79983869600886,0.839816122109244,1.25169746632836,85.9751616917636,7.55989559448943,39.5028906480722,8.2823047346572,80.6432388543787,8.12810700923967,76.893293865628,9.5318006376909
"29-003",17,"012","PLAINS","ALTUS - I","016","DP 1646B2XF*","1516","1",4.55630385236389,0.847188916531994,1.30289789430802,85.8257444467832,6.58121870726666,30.1151212250627,9.28526447487664,83.1880103273662,7.29972872001841,74.2232394105918,8.63575268817204
"29-004",17,"012","PLAINS","ALTUS - I","016","DP 1646B2XF*","1516","2",4.47951536145082,0.846359732045048,1.30782324170357,86.785720221943,6.6069888943672,31.4256944208199,9.21673641849395,83.4133206080333,7.50306957044178,62.7863453712131,8.90906034627669
"29-009",17,"012","PLAINS","ALTUS - I","016","FM 1911GLT","1519","1",4.39194093763431,0.852947496092787,1.24737812064814,85.117196772541,7.37038913638822,30.7639490471745,7.92257284730142,81.7761870427994,7.03281263161364,NA,NA
"29-010",17,"012","PLAINS","ALTUS - I","016","FM 1911GLT","1519","2",4.31279987046984,0.852415387357078,1.22868978737118,84.7260907672363,7.60034021905698,32.7013334758276,7.84098235926817,81.6528978808755,7.57368584753137,NA,NA
"29-011",17,"012","PLAINS","ALTUS - I","016","DP 1612B2XF","1533","1",4.76271226450113,0.852883651829986,1.23927445537778,86.7245700864681,6.98363598899416,34.3871867990695,9.44180042305046,81.1361572179829,8.10639141397409,NA,NA
"29-012",17,"012","PLAINS","ALTUS - I","016","DP 1612B2XF","1533","2",4.56503590827668,0.847684972165398,1.25541440037281,87.1633172059573,6.9534544865187,33.5688098466549,9.45319820088781,80.4531370282548,7.92093831252757,NA,NA
"29-013",17,"012","PLAINS","ALTUS - I","016","PHY 300W3FE","1534","1",4.43131055911634,0.84992732317082,1.20903718765904,85.7134626324838,8.04200803360636,30.9013381645419,8.50312708451564,80.6291793009706,7.91313238748219,NA,NA
"29-014",17,"012","PLAINS","ALTUS - I","016","PHY 300W3FE","1534","2",4.57548546979851,0.853845738659747,1.20988825609858,85.3407830201234,7.22257788097089,31.9340365627133,8.50292300387964,81.2558421350205,8.31589737973925,NA,NA
"29-005",17,"012","PLAINS","ALTUS - I","016","NG 4545B2XF*","1535","1",4.91202077920567,0.87319965596251,1.20293121933347,86.7961858204317,7.43496275069677,34.3361016928047,7.03111365620705,80.2621043553979,8.17292384577281,84.7743278216361,10.1106382978723
"29-006",17,"012","PLAINS","ALTUS - I","016","NG 4545B2XF*","1535","2",4.70849643795583,0.864888006977027,1.20490690239621,87.0945879131898,7.13435735790072,33.3950254960598,7.46328208535036,80.4777710322305,8.02801495228947,78.9970124605915,7.82141658274588
"29-007",17,"012","PLAINS","ALTUS - I","016","PHY 764WRF*","1536","1",4.76158992542492,0.856081946170588,1.22391821587745,87.2239568395096,6.96310909328201,34.1884247430656,8.96501510371262,80.6801898603422,8.28899263946191,76.1537170650175,7.46769592213459
"29-008",17,"012","PLAINS","ALTUS - I","016","PHY 764WRF*","1536","2",4.68939963720793,0.853033698925217,1.24982972477703,87.8643376480111,6.46796932129225,33.8585620185222,9.13296719848786,78.7358238080544,8.18917679709374,68.3413227787307,7.12848037571285
"58-001",17,"020","EAST","FLORENCE","036","PHY 499WRF*","1404","1",5.18,0.86,1.11,85.6,5.6,32.75,9.6,68.1,7.85,92.7498449380165,13.1313131313131
"58-002",17,"020","EAST","FLORENCE","036","PHY 499WRF*","1404","2",5.07,0.87,1.12,85.7,5.8,33.9,9.1,71.7,7.75,82.0831895378365,10.9075630252101
"58-015",17,"020","EAST","FLORENCE","036","PHY 444WRF","1459","1",3.84,0.85,1.25,87,5.7,33.9,7.2,75.15,7.6,NA,NA
