"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
80,11,"PLA",12,"Lubbock, TX",498,1,"170",1.18,0.57,48,210,5.9,3.8,1.16,83,28,76.5,11.4,3.9
80,11,"PLA",12,"Lubbock, TX",498,2,"182",1.15,0.53,45,232,6,3.9,1.14,82,30,75.5,11.4,3.9
80,11,"PLA",12,"Lubbock, TX",254,1,"152",1.1,0.46,41,202,6.2,3.8,1.14,80,24,78,10.4,3.8
80,11,"PLA",12,"Lubbock, TX",254,2,"148",1.08,0.48,44,184,6,4.2,1.1,81,24,76.5,10.6,4.3
80,11,"PLA",12,"Lubbock, TX",499,1,"129",1.02,0.45,43,173,6,4.2,1.02,80,24,71.5,11.4,4.1
80,11,"PLA",12,"Lubbock, TX",499,2,"128",1.01,0.46,45,180,6.3,3.9,0.99,80,24,75.5,11.4,3.8
80,11,"PLA",12,"Lubbock, TX",80,1,"132",1.05,0.44,42,184,6.9,3.7,1.06,80,25,75,12,3.7
80,11,"PLA",12,"Lubbock, TX",80,2,"140",1.08,0.48,44,174,6.6,3.9,1.11,81,26,76.5,11.8,4
80,11,"PLA",12,"Lubbock, TX",402,1,"145",1.08,0.45,41,204,6,4,1.13,80,25,63,10.6,4
80,11,"PLA",12,"Lubbock, TX",402,2,"138",1.1,0.47,42,188,6.2,4,1.1,80,25,75.5,11.2,4
80,11,"PLA",12,"Lubbock, TX",544,1,"137",1.02,0.45,43,187,5.8,4.6,1.03,81,24,73,11.6,4.6
80,11,"PLA",12,"Lubbock, TX",544,2,"145",1.03,0.47,45,186,6,4.1,1.05,81,27,65,11.2,4.4
80,11,"PLA",12,"Lubbock, TX",399,1,"159",1.11,0.51,45,211,5.6,4.5,1.14,82,28,76,11,4.2
80,11,"PLA",12,"Lubbock, TX",399,2,"160",1.12,0.53,46,206,5.8,4.5,1.16,83,28,76.5,10.8,4.5
80,11,"PLA",12,"Lubbock, TX",566,1,"132",1,0.46,46,202,6.3,4.1,0.96,81,24,67.5,9.4,4.2
80,11,"PLA",12,"Lubbock, TX",566,2,"130",1,0.44,44,177,6.6,4.3,1.04,82,23,75,11.4,4.1
80,11,"PLA",12,"Lubbock, TX",400,1,"133",1.03,0.47,44,171,6.5,4.4,1.06,83,23,76,12,4.4
80,11,"PLA",12,"Lubbock, TX",400,2,"132",1.04,0.48,46,172,6.9,4.4,1.03,81,23,75,11.8,4.4
80,11,"PLA",12,"Lubbock, TX",532,1,"127",1.01,0.45,44,186,6.6,4,1,80,22,71,10,3.9
80,11,"PLA",12,"Lubbock, TX",532,2,"141",1.01,0.45,44,178,6.3,3.7,1.01,81,23,72,10.2,3.6
80,11,"PLA",12,"Lubbock, TX",529,1,"147",1.02,0.51,50,217,7.3,3.9,0.99,84,24,76,11.6,3.9
80,11,"PLA",12,"Lubbock, TX",529,2,"150",1.02,0.5,48,202,7.1,4.2,1.03,83,28,75,12,4.2
80,11,"PLA",12,"Lubbock, TX",569,1,"121",0.91,0.44,48,182,6.8,4.8,0.9,81,23,71,12.8,4.8
80,11,"PLA",12,"Lubbock, TX",569,2,"130",0.95,0.46,48,177,7,4.5,0.94,82,24,70.5,12.2,4.5
80,11,"PLA",12,"Lubbock, TX",568,1,"129",1.02,0.46,45,187,7,3.9,1.01,81,24,73,11.6,3.9
80,11,"PLA",12,"Lubbock, TX",568,2,"139",1.03,0.47,45,186,6.7,4.1,1.06,81,24,75,11,4
80,11,"PLA",12,"Lubbock, TX",567,1,"113",0.94,0.43,46,166,6.4,5.3,0.94,82,21,70,11.6,5.3
80,11,"PLA",12,"Lubbock, TX",567,2,"112",0.95,0.46,48,147,6.8,5.3,0.91,82,22,73.5,11.4,5.2
80,11,"PLA",12,"Lubbock, TX",152,1,"155",1.05,0.45,42,201,5.5,3.6,1.04,80,25,74.5,11.6,3.6
80,11,"PLA",12,"Lubbock, TX",152,2,"161",1.08,0.48,44,195,5.8,3.9,1.08,81,26,75,11.8,3.9
80,11,"PLA",12,"Lubbock, TX",571,1,"132",1.05,0.46,44,174,8,3.7,1.04,80,23,75,11.4,3.5
80,11,"PLA",12,"Lubbock, TX",571,2,"127",1.03,0.46,44,169,8.4,3.6,1.02,79,24,78.5,10.8,3.7
80,11,"PLA",12,"Lubbock, TX",572,1,"130",1.02,0.45,43,180,8,3.8,1.01,80,25,75,11.8,3.7
80,11,"PLA",12,"Lubbock, TX",572,2,"129",1.01,0.43,42,171,7.7,4.1,1.02,80,24,71.5,11.8,3.9
80,11,"PLA",12,"Lubbock, TX",573,1,"136",0.99,0.46,46,175,6.6,3.7,0.96,80,23,73.5,11.4,3.6
80,11,"PLA",12,"Lubbock, TX",573,2,"138",0.96,0.43,44,180,6.6,4,1,81,26,74,11.4,3.8
80,11,"PLA",163,"Lamesa, TX(dry)",498,1,"182",1.1,0.52,47,250,6.2,3.4,1.11,83,28,77,12.2,3.5
80,11,"PLA",163,"Lamesa, TX(dry)",498,2,"172",1.06,0.5,46,226,6.3,3.4,1.03,82,27,77,12.6,3.4
80,11,"PLA",163,"Lamesa, TX(dry)",254,1,"139",1.05,0.46,44,207,5.8,4.1,1.06,81,23,76.5,11.8,4.1
80,11,"PLA",163,"Lamesa, TX(dry)",254,2,"146",1.02,0.45,44,197,6.2,3.9,1.03,81,22,76.5,12,3.7
80,11,"PLA",163,"Lamesa, TX(dry)",499,1,"131",1,0.46,46,186,5.9,4.1,0.99,81,23,71,11.8,4
80,11,"PLA",163,"Lamesa, TX(dry)",499,2,"128",0.95,0.44,45,168,5.8,3.8,0.92,80,24,74,11.8,3.9
80,11,"PLA",163,"Lamesa, TX(dry)",80,1,"135",1.03,0.47,45,189,7.7,3.8,1.05,81,23,75,12.4,3.7
80,11,"PLA",163,"Lamesa, TX(dry)",80,2,"152",0.99,0.49,49,197,8.3,4.2,0.99,83,27,73,13,3.6
80,11,"PLA",163,"Lamesa, TX(dry)",402,1,"137",1.03,0.45,43,178,6.2,4,1.06,81,24,74,12.6,3.9
80,11,"PLA",163,"Lamesa, TX(dry)",402,2,"137",1.03,0.46,44,176,6.2,3.8,1.04,81,23,70.5,12.4,3.9
80,11,"PLA",163,"Lamesa, TX(dry)",544,1,"133",0.95,0.44,46,194,6.3,4.1,0.97,82,24,68,12.8,4.1
