"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","uhml","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","9",9,11,"PLA",12,"lubbock",1166,"phy72",2,"1.2","83.1","32","7.6","4.3","75","7.2","4.3","8","23.7","0.57999999999999996","1.1599999999999999","127"
"60","10",9,11,"PLA",12,"lubbock",1166,"phy72",3,"1.2","83.2","32","8.1","4.5999999999999996","74","7.9","4.5999999999999996","9","26","0.56000000000000005","1.1499999999999999","128"
"60","25",9,11,"PLA",12,"lubbock",1169,"fm958",2,"1.1000000000000001","81.900000000000006","29","6.5","4.7","75","7.8","4.7","6","19.8","0.55000000000000004","1.1499999999999999","100"
"60","26",9,11,"PLA",12,"lubbock",1169,"fm958",3,"1.2","82.2","30","7","4.5","71","8.4","4.5","6","21.2","0.55000000000000004","1.1599999999999999","110"
"60","11",9,11,"PLA",12,"lubbock",1212,"all tex atlas rr",2,"1.1000000000000001","82.6","29","7.9","4.8","74","7.8","4.8","8","22.1","0.55000000000000004","1.08","103"
"60","12",9,11,"PLA",12,"lubbock",1212,"all tex atlas rr",3,"1.1000000000000001","82.4","32","7.9","5","76","7","4.9000000000000004","8","21.2","0.54","1.08","105"
"60","1",9,11,"PLA",12,"lubbock",1270,"dp555bgrr",2,"1.1000000000000001","81.2","30","7.3","4.5999999999999996","79","7.1","4.7","7","20.399999999999999","0.53","1.0900000000000001","80"
"60","2",9,11,"PLA",12,"lubbock",1270,"dp555bgrr",3,"1.1000000000000001","81.5","30","7.4","4.5","80","7.4","4.5","7","19.2","0.5","1.07","80"
"60","21",9,11,"PLA",12,"lubbock",1322,"dpl143b2rf",2,"1.2","81.8","28","7","4.4000000000000004","75","8.1","4.4000000000000004","7","17.5","0.57999999999999996","1.2","90"
"60","22",9,11,"PLA",12,"lubbock",1322,"dpl143b2rf",3,"1.1000000000000001","80.7","27","7","4.2","74","7.8","4.2","7","18.8","0.52","1.1399999999999999","83"
"60","3",9,11,"PLA",12,"lubbock",1323,"stv4554b2rf",2,"1.1000000000000001","81.7","29","9","5.2","77","8.1999999999999993","5.3","9","21","0.54","1.0900000000000001","84"
"60","4",9,11,"PLA",12,"lubbock",1323,"stv4554b2rf",3,"1.1000000000000001","82.2","30","9","5.0999999999999996","77","8.4","5.2","9","21.6","0.53","1.1100000000000001","92"
"60","5",9,11,"PLA",12,"lubbock",1326,"phy375wrf",2,"1.1000000000000001","82","28","7.8","4.9000000000000004","79","7.7","4.9000000000000004","8","17.8","0.53","1.07","80"
"60","6",9,11,"PLA",12,"lubbock",1326,"phy375wrf",3,"1.1000000000000001","82.2","28","7.6","4.5999999999999996","79","8","4.5999999999999996","7","18.600000000000001","0.55000000000000004","1.1000000000000001","95"
"60","7",9,11,"PLA",12,"lubbock",1344,"fm9058f",2,"1.1000000000000001","81.2","28","7","4.5","89","5.7","4.5","6","19.8","0.53","1.1100000000000001","96"
