"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
"90",11,"PLA",12,"Lubbock, TX",400,2,"97",1.06,0.49,183,8.5,4.1,9.1,74.4,23.1,82,8.1,4.2
"90",11,"PLA",12,"Lubbock, TX",400,4,"100",1.11,0.51,170,8,3.8,8.7,76.3,23.4,82.4,8.4,3.7
"90",11,"PLA",12,"Lubbock, TX",576,2,"88",1.05,0.49,164,8.5,4,9.2,75.2,24.5,82.3,9.1,4
"90",11,"PLA",12,"Lubbock, TX",576,4,"97",1.05,0.48,172,8.5,3.8,9,73.5,24,81.9,8.9,3.9
"90",11,"PLA",12,"Lubbock, TX",578,2,"110",1.07,0.53,212,8.8,4.5,9.3,73.4,27.2,83,7.1,4.4
"90",11,"PLA",12,"Lubbock, TX",578,4,"120",1.06,0.51,206,9.5,4.8,9.6,76.5,26.9,82.7,8.5,4.4
"90",11,"PLA",12,"Lubbock, TX",635,2,"113",1.04,0.49,185,7.5,4.1,9,76.2,25,82,8.1,4.2
"90",11,"PLA",12,"Lubbock, TX",635,4,"113",1.01,0.51,198,7.5,4.3,9.1,73.3,25.1,81.5,6.9,4.4
"90",11,"PLA",12,"Lubbock, TX",657,2,"98",1.09,0.47,181,8.5,3.5,8.6,77.1,24.3,80.1,8.7,3.5
"90",11,"PLA",12,"Lubbock, TX",657,4,"97",1.05,0.47,186,8.5,3.7,8.6,76.7,21.5,80.6,8.8,3.7
"90",11,"PLA",12,"Lubbock, TX",689,2,"109",1.1,0.51,180,8.5,4.5,9.4,80,22,83.3,8.2,4.4
"90",11,"PLA",12,"Lubbock, TX",689,4,"100",1.07,0.47,183,8.5,4.4,9.4,75.9,20.5,82.4,7.6,4.1
"90",11,"PLA",12,"Lubbock, TX",693,2,"115",1.02,0.51,218,7.3,4.4,9.2,76.7,31.2,83.8,8.4,4.4
"90",11,"PLA",12,"Lubbock, TX",693,4,"124",1.02,0.51,209,8,4.6,9.3,75.2,33.1,82.4,8.8,4.5
"90",11,"PLA",12,"Lubbock, TX",706,2,"126",1.11,0.52,208,7.5,4.9,8.7,76.1,25.1,83.1,8.9,4.8
"90",11,"PLA",12,"Lubbock, TX",706,4,"121",1.11,0.51,214,7.3,4.2,8.5,77.1,25.7,84.1,8.3,4.1
"90",11,"PLA",12,"Lubbock, TX",719,2,"109",1.06,0.48,176,7.3,3.6,8.8,75.5,22.2,81.6,8.6,3.5
"90",11,"PLA",12,"Lubbock, TX",719,4,"112",1.06,0.48,168,8,3.2,8.1,75.2,20.6,81.8,8.3,3.2
"90",11,"PLA",12,"Lubbock, TX",731,2,"130",1.13,0.51,220,7.3,4,8.2,76,26.7,83.3,8.5,3.9
"90",11,"PLA",12,"Lubbock, TX",731,4,"134",1.19,0.55,213,7.5,4.2,8.3,75.5,28.1,83.5,8.4,4
"90",11,"PLA",12,"Lubbock, TX",812,2,"122",1.1,0.52,215,7.8,3.6,8.6,78.1,25.4,83,8,3.5
"90",11,"PLA",12,"Lubbock, TX",812,4,"123",1.07,0.51,198,7.8,3.5,8.9,77.6,26.2,82.7,8.1,3.6
"90",11,"PLA",12,"Lubbock, TX",813,2,"96",1,0.47,173,8.3,3.4,8.5,76.7,22,81.3,8,3.3
"90",11,"PLA",12,"Lubbock, TX",813,4,"106",1,0.49,178,8.5,3.7,8.8,77.6,22.1,81.4,8.2,3.6
"90",11,"PLA",163,"Lamesa, TX(dry)",400,2,"109",1.09,0.51,178,10,3.6,9.7,72.8,21.3,83.1,8,3.6
"90",11,"PLA",163,"Lamesa, TX(dry)",400,4,"103",1.06,0.5,169,9,4.1,9.6,72.2,20.4,81.9,9,4.2
"90",11,"PLA",163,"Lamesa, TX(dry)",576,2,"103",1.08,0.51,177,10,3.3,9.5,74.7,22.1,82.3,8.8,3.4
"90",11,"PLA",163,"Lamesa, TX(dry)",576,4,"105",1.08,0.51,176,9.8,3.9,9.4,74.7,21.8,82,9,3.7
"90",11,"PLA",163,"Lamesa, TX(dry)",578,2,"123",1.07,0.54,209,10,4.5,10,74.4,26.4,84.1,8.1,4.3
"90",11,"PLA",163,"Lamesa, TX(dry)",578,4,"119",1.05,0.52,208,10,4.4,10,73.1,29.2,83,8.7,4.4
"90",11,"PLA",163,"Lamesa, TX(dry)",635,2,"117",1.04,0.52,199,8.3,4.3,9.3,70.2,24.8,83.6,6.8,4.3
"90",11,"PLA",163,"Lamesa, TX(dry)",635,4,"121",1.04,0.51,200,8,4.1,9.3,73.2,25.8,81.7,7.4,4
"90",11,"PLA",163,"Lamesa, TX(dry)",657,2,"110",1.09,0.5,185,8.5,3.6,9,76.2,21.5,82.2,8.3,3.4
"90",11,"PLA",163,"Lamesa, TX(dry)",657,4,"101",1.1,0.48,169,8.5,3.9,9.4,73.9,20.9,80.2,8.5,3.8
"90",11,"PLA",163,"Lamesa, TX(dry)",689,2,"110",1.1,0.49,182,10.3,4.2,9.7,73.4,20.3,82.9,7.4,4
"90",11,"PLA",163,"Lamesa, TX(dry)",689,4,"112",1.13,0.52,184,10.5,4.2,9.7,71.6,21.8,83.8,8.1,4
"90",11,"PLA",163,"Lamesa, TX(dry)",693,2,"119",1.09,0.54,202,7.5,4.4,9.3,74.7,28.5,84,8.1,4.5
"90",11,"PLA",163,"Lamesa, TX(dry)",693,4,"118",1.03,0.52,202,8,4.4,9.3,72.6,26.3,83.1,7.8,4.2
"90",11,"PLA",163,"Lamesa, TX(dry)",706,2,"122",1.13,0.53,215,8.3,4.5,8.9,72.8,23.8,84.1,7.8,4.4
"90",11,"PLA",163,"Lamesa, TX(dry)",706,4,"127",1.13,0.52,209,8.8,4.1,8.8,74.3,25.1,83.4,8.2,4
"90",11,"PLA",163,"Lamesa, TX(dry)",719,2,"108",1.07,0.51,179,8.3,3.6,9,73.5,21.5,82,8.2,3.6
"90",11,"PLA",163,"Lamesa, TX(dry)",719,4,"112",1.07,0.51,183,8.5,3.8,8.7,75.2,20.9,83.3,8,3.8
"90",11,"PLA",163,"Lamesa, TX(dry)",731,2,"131",1.16,0.53,239,7.3,3.9,8.7,72.4,29.8,83.3,7.7,3.9
"90",11,"PLA",163,"Lamesa, TX(dry)",731,4,"140",1.18,0.55,226,8,4.3,9.5,77.3,26.2,84,8,4.5
"90",11,"PLA",163,"Lamesa, TX(dry)",812,2,"135",1.1,0.53,203,8.3,3.8,8.9,70.5,25.7,83.4,7.4,3.7
"90",11,"PLA",163,"Lamesa, TX(dry)",812,4,"124",1.1,0.53,212,8.8,3.6,9,72.7,25.4,83.2,7.7,3.5
"90",11,"PLA",163,"Lamesa, TX(dry)",813,2,"105",1.03,0.49,184,8.5,3.6,9.2,75.8,20.2,81.8,7.8,3.6
"90",11,"PLA",163,"Lamesa, TX(dry)",813,4,"104",1,0.48,178,8.5,3.5,9.1,73.7,20.7,82.2,7.8,3.4
"90",12,"PLA",16,"Altus, TX(irri)",400,1,"117",1.04,0.52,174,8.3,3.5,8.7,72.4,25,82.2,7.3,3.6
"90",12,"PLA",16,"Altus, TX(irri)",400,2,"116",1.03,0.5,193,9,3.6,9.3,74.8,25.6,81.4,7.8,3.7
"90",12,"PLA",16,"Altus, TX(irri)",576,1,"115",1.01,0.51,186,8,3.8,9.3,75.9,24.9,82.5,8.5,3.8
"90",12,"PLA",16,"Altus, TX(irri)",576,2,"121",1.01,0.5,206,8,3.2,8.6,74.6,24.5,81,7.5,3.2
"90",12,"PLA",16,"Altus, TX(irri)",578,1,"129",1.05,0.55,218,9.8,4.2,10,74.6,29.2,83.4,6.9,4.1
"90",12,"PLA",16,"Altus, TX(irri)",578,2,"132",1.05,0.56,216,9.5,4.2,9.8,73.3,31.9,83.4,7.3,4.2
"90",12,"PLA",16,"Altus, TX(irri)",635,1,"126",1.01,0.52,184,8.5,3.9,8.5,76.3,25.7,83.1,7.4,3.9
"90",12,"PLA",16,"Altus, TX(irri)",635,2,"123",1,0.51,198,9.3,4,9.2,76.8,27.6,82.6,7.1,3.9
"90",12,"PLA",16,"Altus, TX(irri)",657,1,"112",1.06,0.49,181,8.5,3.8,8.1,75.3,21.2,81.2,7.7,3.7
"90",12,"PLA",16,"Altus, TX(irri)",657,2,"111",1.06,0.49,171,8,3.5,8.3,77.1,22.6,80.8,8.1,3.3
"90",12,"PLA",16,"Altus, TX(irri)",689,1,"122",1.08,0.54,186,8.5,4.4,9.3,76.5,25.1,83,7.1,4.1
"90",12,"PLA",16,"Altus, TX(irri)",689,2,"120",1.06,0.52,191,8.5,4.1,8.8,76.5,23.5,83.3,6.7,3.9
"90",12,"PLA",16,"Altus, TX(irri)",693,1,"130",1,0.53,226,8.5,4,9.1,75,31.7,82.1,8.1,4
"90",12,"PLA",16,"Altus, TX(irri)",693,2,"134",1.02,0.52,203,8.3,3.8,9,74.9,27.5,81.6,6.4,3.7
"90",12,"PLA",16,"Altus, TX(irri)",706,1,"137",1.11,0.55,227,8.5,3.9,8.9,73.9,29.3,82.3,7.3,3.9
"90",12,"PLA",16,"Altus, TX(irri)",706,2,"135",1.11,0.53,232,7.5,4.2,8.7,76.4,28.8,83.2,7.3,4
"90",12,"PLA",16,"Altus, TX(irri)",719,1,"112",1.01,0.5,181,8,3.9,9,75.7,23.7,79.8,7.9,4.1
"90",12,"PLA",16,"Altus, TX(irri)",719,2,"112",1,0.47,174,8.3,3.5,8.2,68.7,24.1,81.3,6.3,3.3
"90",12,"PLA",16,"Altus, TX(irri)",731,1,"150",1.13,0.54,247,7.5,3.5,9,75.4,36.4,82.8,7.8,3.4
"90",12,"PLA",16,"Altus, TX(irri)",731,2,"141",1.12,0.56,247,7.5,3.9,9,71,33.7,82.7,7,4
"90",12,"PLA",16,"Altus, TX(irri)",812,1,"134",1.03,0.53,211,8,3.7,8.5,76.7,26.2,82.8,6.8,3.4
"90",12,"PLA",16,"Altus, TX(irri)",812,2,"134",1.05,0.52,208,7.5,3.5,8.4,73.5,24.8,83.6,6.3,3.5
"90",12,"PLA",16,"Altus, TX(irri)",813,1,"111",1.02,0.51,174,8.3,3.7,8.2,74.7,22.4,82.1,7.2,3.8
"90",12,"PLA",16,"Altus, TX(irri)",813,2,"109",0.98,0.47,172,7.3,3.4,8.5,75.1,24,80.5,7,3.4
"90",12,"PLA",38,"Chickasha, OK(dry)",400,1,"115",1.14,0.55,162,8.5,4.8,8.9,73,22.2,82.6,5.5,4.9
"90",12,"PLA",38,"Chickasha, OK(dry)",400,2,"126",1.14,0.55,171,8.8,4,9.1,74,22.9,84.1,9,4.2
"90",12,"PLA",38,"Chickasha, OK(dry)",576,1,"110",1.14,0.55,177,10,4.3,9.1,75.9,25.1,85.3,7.8,4.2
"90",12,"PLA",38,"Chickasha, OK(dry)",576,2,"109",1.08,0.51,175,9,3.9,9.2,74.4,28.3,83.4,8,4
"90",12,"PLA",38,"Chickasha, OK(dry)",578,1,"131",1.08,0.55,201,10.5,4.4,9.4,75.8,28,83.8,8,4.4
"90",12,"PLA",38,"Chickasha, OK(dry)",578,2,"128",1.09,0.55,189,11,4.6,9.9,73.3,28.1,84.9,6.6,4.6
"90",12,"PLA",38,"Chickasha, OK(dry)",635,1,"115",1.07,0.54,186,8.5,4.3,8.9,74.7,26.8,83.5,7.4,4.4
"90",12,"PLA",38,"Chickasha, OK(dry)",635,2,"118",1.07,0.52,183,9.5,4.4,9.3,74.4,26,83.6,6.9,4.4
"90",12,"PLA",38,"Chickasha, OK(dry)",657,1,"110",1.1,0.52,164,8.3,3.7,8.5,74.2,21.7,83.1,9,3.9
"90",12,"PLA",38,"Chickasha, OK(dry)",657,2,"121",1.13,0.52,175,9,4.1,8.7,75.1,26,82.5,7.1,4.2
"90",12,"PLA",38,"Chickasha, OK(dry)",689,1,"108",1.13,0.54,175,10,4.4,9.3,75.5,23.7,82.5,7.6,4.6
"90",12,"PLA",38,"Chickasha, OK(dry)",689,2,"119",1.12,0.55,178,9.3,4.4,9,74.3,24,83.1,8.9,4.3
"90",12,"PLA",38,"Chickasha, OK(dry)",693,1,"139",1.12,0.57,199,8.8,4.1,9.1,76.2,29.3,84,8.2,3.9
"90",12,"PLA",38,"Chickasha, OK(dry)",693,2,"136",1.09,0.55,207,7.5,4.7,8.8,71.1,29.8,84.2,8.3,4.7
"90",12,"PLA",38,"Chickasha, OK(dry)",706,1,"140",1.2,0.58,200,8,4.5,8.9,76.3,29.3,83.5,7.8,4.3
"90",12,"PLA",38,"Chickasha, OK(dry)",706,2,"145",1.2,0.57,196,8.5,3.9,8.6,74,25.9,84.8,7.7,3.9
"90",12,"PLA",38,"Chickasha, OK(dry)",719,1,"128",1.07,0.52,180,8,4.2,8.4,74,22.3,83.6,8.9,4.2
"90",12,"PLA",38,"Chickasha, OK(dry)",719,2,"132",1.11,0.55,166,8.5,4.1,8.7,73.6,23.6,84.8,7.9,4.2
"90",12,"PLA",38,"Chickasha, OK(dry)",731,1,"158",1.2,0.59,239,7,4.1,8.6,74.3,30.8,83.5,8.1,4.1
"90",12,"PLA",38,"Chickasha, OK(dry)",731,2,"152",1.18,0.58,231,7.5,4.1,8.6,76.2,30.4,83.6,8.5,4.1
"90",12,"PLA",38,"Chickasha, OK(dry)",812,1,"136",1.11,0.55,200,7.5,4.1,8.5,78.1,27.1,83.4,6.5,4.2
"90",12,"PLA",38,"Chickasha, OK(dry)",812,2,"130",1.13,0.56,189,8.3,4,8.2,75,25.8,83.6,5.6,4.1
"90",12,"PLA",38,"Chickasha, OK(dry)",813,1,"114",1.06,0.5,164,8.5,4.1,8.5,76.1,22.5,84.4,6.7,4.1
"90",12,"PLA",38,"Chickasha, OK(dry)",813,2,"102",1.04,0.5,168,9.5,4,8.7,75.3,30.6,83.9,6.2,4.1
"90",20,"EAS",30,"Jackson, TN",473,1,"124",1.15,0.58,182,9.8,3.6,9.8,74.5,25.7,85.4,9.9,3.6
"90",20,"EAS",30,"Jackson, TN",473,2,"124",1.15,0.56,186,9.8,3.5,9.6,76.4,24.5,84.8,8.9,3.6
"90",20,"EAS",30,"Jackson, TN",513,1,"136",1.19,0.58,207,8.5,3.7,8.6,73.5,27.4,84.7,10,3.8
"90",20,"EAS",30,"Jackson, TN",513,2,"139",1.19,0.6,225,8.5,4.1,8.5,73.8,28,84.1,8.5,4
"90",20,"EAS",30,"Jackson, TN",570,1,"149",1.23,0.57,229,8.3,3.4,8.6,73.7,30.1,85.5,9.3,3.4
"90",20,"EAS",30,"Jackson, TN",570,2,"132",1.23,0.59,200,9,3.4,8.5,72.7,28.1,83.3,9.9,3.3
"90",20,"EAS",30,"Jackson, TN",575,1,"127",1.18,0.56,206,7.5,4,8.6,76.6,29.3,84.6,8.7,3.9
"90",20,"EAS",30,"Jackson, TN",575,2,"126",1.19,0.59,204,7.3,4.4,8.5,74.6,25.4,85,9.5,4.3
"90",20,"EAS",30,"Jackson, TN",578,1,"132",1.13,0.59,206,10.5,4.3,9.9,76.3,29.5,85.3,8.9,4.2
"90",20,"EAS",30,"Jackson, TN",578,2,"140",1.14,0.6,218,10.3,4,9.8,75.7,30.1,84,8.4,3.9
"90",20,"EAS",30,"Jackson, TN",611,1,"133",1.18,0.55,194,8.5,3.8,8.5,75.5,24.9,84.6,9.6,3.8
"90",20,"EAS",30,"Jackson, TN",611,2,"128",1.18,0.56,198,9,3.7,8.8,75.5,26.8,84,8.6,3.6
"90",20,"EAS",30,"Jackson, TN",649,1,"147",1.18,0.58,218,8.5,4,8.7,74.5,28.9,85.4,8.9,3.9
"90",20,"EAS",30,"Jackson, TN",649,2,"150",1.18,0.58,224,7.8,3.8,8.8,76.1,31.6,84.7,8.5,3.9
"90",20,"EAS",30,"Jackson, TN",654,1,"149",1.19,0.6,211,7,3.9,8.4,73.3,28.9,85.2,8.9,3.8
"90",20,"EAS",30,"Jackson, TN",654,2,"155",1.21,0.61,235,9,3.6,8.5,72.7,30.8,84.2,8.5,3.7
"90",20,"EAS",30,"Jackson, TN",670,1,"131",1.2,0.59,203,7.5,4.4,8.5,75.9,28,86,9.4,4.2
"90",20,"EAS",30,"Jackson, TN",670,2,"131",1.2,0.59,211,7.3,4.2,8.3,74.4,28.6,84.8,8.9,4.2
"90",20,"EAS",30,"Jackson, TN",689,1,"124",1.15,0.58,177,8,3.8,9.5,76.1,26,84.8,9.1,3.9
