"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","23",2,11,"PLA",12,"Lubbock, TX",971,"stv 474",1,1.1,82.1,28,8.7,5.2,69,9,4.9,9,17.9,0.51,1.06,110
"60","24",2,11,"PLA",12,"Lubbock, TX",971,"stv 474",2,1.1,81.3,28,8.3,4.9,66,8.8,4.7,7.5,18.1,0.5,1.06,113
"60","3",2,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",1,1,80.5,31,9,5,68,9.6,4.7,11,19.4,0.5,1.06,121
"60","4",2,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",2,1.1,82,31,8.9,4.3,68,8.9,4.1,9.3,20.3,0.51,1.06,131
"60","1",2,11,"PLA",12,"Lubbock, TX",1128,"acala 1517-99",1,1.2,82.2,34,9,4.2,67,9,4.1,8.8,22.7,0.54,1.19,142
"60","2",2,11,"PLA",12,"Lubbock, TX",1128,"acala 1517-99",2,1.2,83.2,34,8.7,4,67,8.2,3.9,8.8,22.7,0.55,1.19,138
"60","19",2,11,"PLA",12,"Lubbock, TX",1135,"pm 2326rr",1,1,81.3,30,9,4.9,67,9.2,4.9,9,19.9,0.5,1.03,115
"60","20",2,11,"PLA",12,"Lubbock, TX",1135,"pm 2326rr",2,1.1,82.3,31,9,4.7,68,8.9,4.6,9.3,20.5,0.5,1.05,122
"60","5",2,11,"PLA",12,"Lubbock, TX",1152,"dpl 458br",1,1.1,81.5,28,8.3,4.7,72,8.3,4.5,10,19.9,0.5,1.11,103
"60","6",2,11,"PLA",12,"Lubbock, TX",1152,"dpl 458br",2,1.1,81.1,29,8.3,4.6,70,8.2,4.5,10,18.3,0.5,1.11,99
"60","11",2,11,"PLA",12,"Lubbock, TX",1169,"fm 958",1,1.1,81.7,30,7.5,4.7,69,8.6,4.5,7.3,20.5,0.5,1.11,119
"60","12",2,11,"PLA",12,"Lubbock, TX",1169,"fm 958",2,1.1,80.3,29,7.5,4.5,68,8.5,4.4,7.5,20.1,0.5,1.11,121
"60","7",2,11,"PLA",12,"Lubbock, TX",1196,"stv 4892br",1,1.1,82.5,29,8.9,5,69,9.2,4.9,8,17.8,0.51,1.06,105
"60","8",2,11,"PLA",12,"Lubbock, TX",1196,"stv 4892br",2,1,81.4,28,7.9,4.3,68,8.9,4.2,8.3,17.8,0.5,1.05,108
"60","9",2,11,"PLA",12,"Lubbock, TX",1212,"all tex atlas rr",1,1,80.4,30,8.9,4.7,67,9.4,4.7,8.8,18.4,0.51,1.04,114
"60","10",2,11,"PLA",12,"Lubbock, TX",1212,"all tex atlas rr",2,1,81.4,29,9,4.4,68,8.7,4.3,9.5,19.2,0.52,1.06,114
"60","13",2,11,"PLA",12,"Lubbock, TX",1213,"fm 5013",1,1,81,32,9,4.4,67,8.4,4.2,9.5,20.1,0.53,1.09,106
"60","14",2,11,"PLA",12,"Lubbock, TX",1213,"fm 5013",2,1,81.1,29,8.7,4.3,68,8.1,4.1,11,19.7,0.52,1.09,114
"60","15",2,11,"PLA",12,"Lubbock, TX",1214,"pm 2167rr",1,1,80,26,8.3,4.8,67,8.8,4.7,8,17,0.52,1.01,105
"60","16",2,11,"PLA",12,"Lubbock, TX",1214,"pm 2167rr",2,1,80.9,28,7.9,4.4,67,9.1,4.3,7.5,17.7,0.5,1.01,106
"60","17",2,11,"PLA",12,"Lubbock, TX",1215,"pm 2266rr",1,1.1,80.9,30,8.9,4.4,67,8.1,4.2,9.3,20.6,0.52,1.07,121
"60","18",2,11,"PLA",12,"Lubbock, TX",1215,"pm 2266rr",2,1.1,80.9,31,9,4.4,66,8.7,4.4,8.8,19.8,0.5,1.07,116
"60","21",2,11,"PLA",12,"Lubbock, TX",1216,"stv 2454rr",1,1,81.5,28,8.7,4.8,69,8.5,4.7,8.8,20.2,0.51,1.07,104
"60","22",2,11,"PLA",12,"Lubbock, TX",1216,"stv 2454rr",2,1.1,81,29,8.9,4.4,68,8,4.3,8.5,18.6,0.5,1.07,97
"60","25",2,11,"PLA",12,"Lubbock, TX",1217,"tamcot luxor",1,1,81.5,28,7.9,4.5,68,8.5,4.4,8,18.5,0.5,1.07,109
"60","26",2,11,"PLA",12,"Lubbock, TX",1217,"tamcot luxor",2,1.1,80.9,27,7.7,4.3,68,8.4,4.3,7.8,17.5,0.5,1.07,112
"60","49",2,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",1,1.2,84,31,8.5,4.8,74,9.7,4.8,8.8,21.3,0.54,1.15,133
