"br","sam","yr","re_gcode","reg","lo_ccode","loc","varcode","var","rep","mic","mat","uhml","ui","sf","str","elong","rd","plus_b","yt","waste","nepct","scn_ct","l_n","sfc_n","l_w","sfc_w","uql_w","fine","ifc","mat_ratio"
21,26,15,71,"RHQ",75,"Portageville, MO",1498,"Ark 0606-50",2,3.41,0.84,1.266,83.7,6.9,32.5,7.2,79.1,7.8,66.8,"8.36",306,8,0.93,18,1.1,5.9,1.34,155,5,0.93
21,27,15,71,"RHQ",75,"Portageville, MO",1499,"Ark 0701-4",1,3.46,0.84,1.251,85.7,6.8,33.9,7,79.6,7.1,77.24,"7.99",328,16,0.93,18,1.1,5.6,1.33,157,4.4,0.95
21,28,15,71,"RHQ",75,"Portageville, MO",1499,"Ark 0701-4",2,3.37,0.84,1.267,85,6.5,33.6,6.7,79.8,7.5,61.54,"7.38",324,9,0.95,17,1.1,5.2,1.34,150,4.8,0.94
21,29,15,71,"RHQ",75,"Portageville, MO",1500,"Ark 0703-10",1,3.46,0.84,1.254,84.7,6.8,33.3,6.9,79.6,7.3,67.12,"8.5399999999999991",264,10,0.98,15,1.1,4.5,1.36,158,4.4,0.96
21,30,15,71,"RHQ",75,"Portageville, MO",1500,"Ark 0703-10",2,3.93,0.85,1.251,84.9,6.3,33.8,6.8,80.3,7.5,77.02,"11.09",226,9,0.97,15,1.1,4.4,1.34,163,3.8,0.98
21,35,15,71,"RHQ",75,"Portageville, MO",1501,"DP 1555B2RF",1,2.75,0.82,1.241,83.7,7.8,32.2,7.2,80.6,7.5,66.9,"10.84",403,9,0.89,21,1,7,1.32,145,5.9,0.92
21,36,15,71,"RHQ",75,"Portageville, MO",1501,"DP 1555B2RF",2,3.05,0.82,1.25,84.1,7.6,32.8,7.5,80.7,7.3,68.25,"7.04",362,11,0.89,21,1,7,1.31,156,5.4,0.94
21,39,15,71,"RHQ",75,"Portageville, MO",1502,"PHY 552WRF",1,3.09,0.83,1.245,85.1,7,34.8,7,78.9,6.8,66.34,"8.7100000000000009",349,13,0.95,17,1.1,5.2,1.34,154,4.5,0.95
21,40,15,71,"RHQ",75,"Portageville, MO",1502,"PHY 552WRF",2,2.84,0.82,1.207,84.4,7.8,32.3,7.1,78.5,6.8,67.98,"12.54",532,11,0.9,19,1,6.3,1.3,152,5.4,0.94
21,41,15,71,"RHQ",75,"Portageville, MO",1503,"FM 1830GLT",1,3.29,0.84,1.299,85.3,5.3,33.6,6.5,81,7,81.25,"8.2899999999999991",207,6,0.96,19,1.1,5.6,1.4,158,4.5,0.97
21,42,15,71,"RHQ",75,"Portageville, MO",1503,"FM 1830GLT",2,3.73,0.85,1.268,84.6,6.2,33.6,6.5,81.3,6.7,84.56,"4.46",193,6,1.01,15,1.1,4.3,1.41,169,3.1,1.01
21,49,15,71,"RHQ",75,"Portageville, MO",1504,"LA 11309134",1,2.93,0.83,1.29,85.1,5.7,32.7,6.8,77.1,7.3,80.6,"10.61",372,15,0.96,18,1.1,5.5,1.4,154,5.1,0.96
21,50,15,71,"RHQ",75,"Portageville, MO",1504,"LA 11309134",2,3.16,0.83,1.298,86.2,5.3,35.7,7.3,78.3,7.5,67.08,"17.82",266,15,0.95,19,1.1,6,1.38,162,4.4,0.98
21,51,15,71,"RHQ",75,"Portageville, MO",1505,"NM 13P1088",1,3.76,0.84,1.215,85.3,6.3,34.8,7.5,77.7,7.1,74.97,"7.72",310,15,0.94,15,1.1,4.5,1.29,165,2.9,1.01
21,52,15,71,"RHQ",75,"Portageville, MO",1505,"NM 13P1088",2,3.51,0.84,1.226,85.6,6.7,34.4,7.4,76,6.9,63.55,"8.58",291,17,0.94,16,1.1,5.1,1.3,158,3.5,1
21,55,15,71,"RHQ",75,"Portageville, MO",1506,"MD 87",1,3.48,0.84,1.249,85.4,6.5,35.7,6.7,76.8,7.3,67.37,"9.43",247,13,1.02,12,1.1,3.6,1.35,170,2.6,1.02
21,56,15,71,"RHQ",75,"Portageville, MO",1506,"MD 87",2,3.55,0.84,1.26,85.6,6.2,36.3,6.6,79.5,7.9,62.47,"5.85",291,12,1.01,12,1.1,3.7,1.34,171,2.9,1.02
63,25,15,71,"RHQ",155,"Las Cruces, NM",1426,"PHY 725RF",1,4.4,0.85,1.223,84.5,6.6,36.2,8.9,75.5,7.2,96.61,"16.559999999999999",110,15,0.97,11,1.1,3.4,1.27,187,2.3,1.03
63,26,15,71,"RHQ",155,"Las Cruces, NM",1426,"PHY 725RF",2,3.96,0.84,1.212,85.1,6.2,36.7,8.4,79,7.6,91.07,"3.03",99,2,0.95,12,1,3.8,1.27,174,2.7,1.01
63,23,15,71,"RHQ",155,"Las Cruces, NM",1441,"FM 2484B2F",1,4.44,0.86,1.185,83.3,7.8,30.4,6.9,79.9,6,66.74,"8.8800000000000008",102,7,0.88,18,1,6.1,1.24,179,3.4,1.01
63,24,15,71,"RHQ",155,"Las Cruces, NM",1441,"FM 2484B2F",2,4.36,0.86,1.23,84,7.4,31.7,6.3,81.5,6.2,87.66,"6.83",107,4,0.93,15,1,4.8,1.28,183,2.6,1.02
63,55,15,71,"RHQ",155,"Las Cruces, NM",1443,"MD 10-5",1,4.56,0.86,1.138,84.1,7.3,31.7,7.7,80.8,6.5,83.28,"8.33",116,10,0.84,15,0.9,5.6,1.12,184,2.2,1.02
63,56,15,71,"RHQ",155,"Las Cruces, NM",1443,"MD 10-5",2,4.41,0.86,1.143,84.6,7.5,31.7,7.7,78.5,5.7,77.8,"10.71",120,10,0.84,17,0.9,6,1.15,180,2.6,1.01
63,33,15,71,"RHQ",155,"Las Cruces, NM",1457,"DP 1321B2RF",1,4.63,0.85,1.218,84.9,6.6,30.4,9.4,75.4,6.2,63.52,"8.9",115,19,0.94,13,1,4,1.23,198,2.1,1.02
63,34,15,71,"RHQ",155,"Las Cruces, NM",1457,"DP 1321B2RF",2,4.55,0.85,1.201,85.1,6.6,32.3,9.5,77.2,7.8,66.63,"9.98",97,5,0.94,12,1,3.8,1.24,198,2.2,1.03
63,39,15,71,"RHQ",155,"Las Cruces, NM",1459,"PHY 444WRF",1,4.22,0.85,1.261,85.7,6.9,30.4,7.8,80.1,7.1,79.25,"8.02",154,8,0.97,14,1.1,4.4,1.33,185,2.5,1.02
63,40,15,71,"RHQ",155,"Las Cruces, NM",1459,"PHY 444WRF",2,4.32,0.86,1.256,85.3,7,30,7.2,79.8,7.3,84.21,"7.4",84,4,1,12,1.1,3.5,1.32,187,2.8,1.01
63,49,15,71,"RHQ",155,"Las Cruces, NM",1461,"ST 6448GLB2",1,4.39,0.86,1.189,83.8,7.6,28.9,6.5,78.7,6.7,75.82,"9.64",112,7,0.9,20,1,6.4,1.28,179,4.3,0.99
63,50,15,71,"RHQ",155,"Las Cruces, NM",1461,"ST 6448GLB2",2,4.62,0.87,1.222,83.6,7.2,30.4,6.3,78.7,7,75.05,"10.55",118,13,0.98,14,1.1,4.1,1.33,196,2.5,1.03
63,45,15,71,"RHQ",155,"Las Cruces, NM",1474,"FM 2322GL",1,4.35,0.86,1.175,84.6,7.7,32.2,6.2,78.2,6.8,73.37,"7.45",104,7,0.91,15,1,5,1.23,174,2.4,1.03
63,46,15,71,"RHQ",155,"Las Cruces, NM",1474,"FM 2322GL",2,4.17,0.86,1.161,83.6,7.8,31.5,6.1,79,8.1,75.4,"7.07",102,4,0.89,14,1,4.9,1.21,169,2.9,1.02
63,35,15,71,"RHQ",155,"Las Cruces, NM",1482,"DP 1410B2RF",1,4.41,0.86,1.22,84.3,6.9,32.6,7.3,77.6,7.6,68.69,"10.37",120,6,0.94,15,1,4.6,1.29,181,2.3,1.04
63,36,15,71,"RHQ",155,"Las Cruces, NM",1482,"DP 1410B2RF",2,4.34,0.86,1.182,83.4,7.6,30.2,6.8,80.4,7.1,90.68,"9.34",125,4,0.89,18,1,6.1,1.26,183,2.6,1.04
63,47,15,71,"RHQ",155,"Las Cruces, NM",1483,"FM 2334GLT",1,4.4,0.86,1.226,85.7,6.6,31.8,6.6,82.8,7.4,76.8,"8.17",94,1,0.95,14,1.1,4.3,1.28,174,3.1,1.01
63,48,15,71,"RHQ",155,"Las Cruces, NM",1483,"FM 2334GLT",2,4.41,0.86,1.282,86.1,5.8,31.6,7.4,81,6.3,68.25,"7.4",110,3,0.96,14,1.1,4.3,1.3,183,2.7,1.03
63,27,15,71,"RHQ",155,"Las Cruces, NM",1498,"Ark 0606-50",1,4.62,0.86,1.206,85.2,6.9,32.1,8.1,80.3,6.9,77.83,"6.78",102,5,0.92,15,1,4.9,1.26,195,3,1.02
63,28,15,71,"RHQ",155,"Las Cruces, NM",1498,"Ark 0606-50",2,4.27,0.85,1.203,84,7,33.6,8.4,79.9,7.2,79.88,"6.46",114,5,0.88,19,1,6.3,1.24,181,4,0.98
63,29,15,71,"RHQ",155,"Las Cruces, NM",1499,"Ark 0701-4",1,4.84,0.87,1.181,85.1,7.5,31.1,7.3,77,6.3,85.25,"12.66",108,4,0.9,15,1,4.9,1.22,191,2.7,1.03
63,30,15,71,"RHQ",155,"Las Cruces, NM",1499,"Ark 0701-4",2,4.82,0.87,1.216,86,6.7,32.3,7.6,77.7,6.6,70.81,"10.93",83,4,0.97,12,1.1,3.7,1.29,197,2.1,1.05
63,31,15,71,"RHQ",155,"Las Cruces, NM",1500,"Ark 0703-10",1,4.85,0.87,1.219,86.1,6.4,34.3,7.1,80,6.8,75.3,"9.67",85,5,0.93,14,1,4.5,1.24,196,2.3,1.05
63,32,15,71,"RHQ",155,"Las Cruces, NM",1500,"Ark 0703-10",2,4.71,0.87,1.186,84.6,7.3,33.2,6.9,78.6,6.2,74.49,"16.53",50,1,0.96,11,1,3.4,1.24,206,1.7,1.07
63,37,15,71,"RHQ",155,"Las Cruces, NM",1501,"DP 1555B2RF",1,5.05,0.86,1.23,85.9,6.3,33.8,8.8,79.7,7.3,81.21,"7.68",82,3,0.98,12,1.1,3.6,1.3,203,1.4,1.08
63,38,15,71,"RHQ",155,"Las Cruces, NM",1501,"DP 1555B2RF",2,4.72,0.86,1.182,83.6,7.9,31.8,7.7,78,6.5,65.08,"7.84",60,2,0.91,15,1,4.9,1.22,197,1.9,1.05
63,41,15,71,"RHQ",155,"Las Cruces, NM",1502,"PHY 552WRF",1,4.11,0.85,1.164,83,7.9,29.9,7.3,78.6,6.4,91.71,"22.01",149,6,0.92,15,1,4.8,1.25,175,3.4,0.98
63,42,15,71,"RHQ",155,"Las Cruces, NM",1502,"PHY 552WRF",2,4.12,0.85,1.198,84.4,7.3,30.8,7.8,78.5,6.4,70.45,"9.9",152,4,0.91,15,1,4.7,1.23,179,3.4,0.99
63,43,15,71,"RHQ",155,"Las Cruces, NM",1503,"FM 1830GLT",1,4.5,0.86,1.244,83.6,7.5,31.2,6.8,80,6.2,78.58,"8.74",88,4,0.98,14,1.1,4.1,1.34,185,2.6,1.03
63,44,15,71,"RHQ",155,"Las Cruces, NM",1503,"FM 1830GLT",2,4.38,0.87,1.248,84.8,7.1,32.5,6.2,81.7,6.5,75.36,"6.96",96,10,0.94,16,1.1,5,1.31,178,3,1.02
63,51,15,71,"RHQ",155,"Las Cruces, NM",1504,"LA 11309134",1,3.87,0.84,1.201,85.6,7,34,7.9,79.5,6.9,70.44,"12.13",139,7,0.94,15,1,4.8,1.28,179,3.4,1
63,52,15,71,"RHQ",155,"Las Cruces, NM",1504,"LA 11309134",2,4.29,0.85,1.262,86.5,6.2,34.5,7.7,78.6,6.7,77.68,"12.85",132,8,0.97,13,1.1,4,1.31,184,2.9,1.01
63,53,15,71,"RHQ",155,"Las Cruces, NM",1505,"NM 13P1088",1,4.16,0.85,1.198,85.1,7.1,32.9,7.9,77.5,6.2,90.17,"9.99",89,4,0.91,16,1,5.2,1.27,171,2.8,0.99
63,54,15,71,"RHQ",155,"Las Cruces, NM",1505,"NM 13P1088",2,4.43,0.86,1.215,85,6.5,36,8,77.4,6.6,82.46,"9.3800000000000008",113,8,0.91,16,1,5.2,1.27,176,2.8,1.01
63,57,15,71,"RHQ",155,"Las Cruces, NM",1506,"MD 87",1,4.11,0.85,1.209,85.5,6.2,36.6,7.3,79.9,6.9,92.3,"6.27",96,1,0.95,13,1,4.2,1.25,184,2.1,1.03
63,58,15,71,"RHQ",155,"Las Cruces, NM",1506,"MD 87",2,4.18,0.85,1.172,84.6,7.2,34.5,7.4,76.5,6,80.22,"8.24",102,1,0.92,13,1,4.2,1.21,181,2.5,1.02
28,23,15,71,"RHQ",184,"Keiser, AR",1426,"PHY 725RF",1,4.19,0.85,1.278,87,5.5,38.2,8.1,79.7,8.5,84.68,"6.08",81,5,1.02,9,1.1,2.5,1.31,187,1.6,1.09
28,24,15,71,"RHQ",184,"Keiser, AR",1426,"PHY 725RF",3,4.43,0.85,1.277,86.1,5.4,37.7,8.2,79.7,8.4,78.74,"7.53",77,4,1.04,8,1.1,2.4,1.32,195,1.3,1.09
28,21,15,71,"RHQ",184,"Keiser, AR",1441,"FM 2484B2F",1,4.18,0.86,1.251,86.9,5.9,34.2,7.1,83.7,7.4,76.97,"11.89",95,3,0.89,20,1.1,5,1.3,183,3,1.06
28,22,15,71,"RHQ",184,"Keiser, AR",1441,"FM 2484B2F",3,3.63,0.84,1.232,84.3,6.3,34.4,7.1,85.2,7.5,76.17,"6.02",167,10,0.96,13,1.1,3.9,1.29,175,2.4,1.05
28,53,15,71,"RHQ",184,"Keiser, AR",1443,"MD 10-5",1,4.99,0.87,1.221,86.6,5.8,36.4,7.3,80.6,7.4,81.69,"6.78",69,2,0.99,8,1.1,2.5,1.24,194,1.2,1.08
28,54,15,71,"RHQ",184,"Keiser, AR",1443,"MD 10-5",3,4.57,0.86,1.275,87.1,5.1,37.3,7.5,80.9,7.4,87.36,"6.28",84,6,1.05,8,1.1,2.2,1.33,194,1,1.09
28,31,15,71,"RHQ",184,"Keiser, AR",1457,"DP 1321B2RF",1,4.47,0.85,1.198,86.2,6,33.9,9.1,82,8.3,83.24,"6.43",123,9,0.99,9,1.1,2.6,1.25,204,1.5,1.07
28,32,15,71,"RHQ",184,"Keiser, AR",1457,"DP 1321B2RF",3,4.42,0.84,1.221,85.9,5.9,34.2,9.4,82.5,8.1,73.62,"5.68",72,1,1,9,1.1,2.8,1.27,197,2.1,1.06
28,37,15,71,"RHQ",184,"Keiser, AR",1459,"PHY 444WRF",1,3.71,0.84,1.308,86.6,5.4,34.3,7.3,83.6,8.4,77.52,"7.13",142,2,1.04,10,1.1,3,1.36,181,2.4,1.05
28,38,15,71,"RHQ",184,"Keiser, AR",1459,"PHY 444WRF",3,3.67,0.84,1.308,86.1,5.6,34.4,7.7,83.7,7.9,76.64,"7.67",134,0,1.05,11,1.2,3.2,1.4,181,2.5,1.04
28,47,15,71,"RHQ",184,"Keiser, AR",1461,"ST 6448GLB2",1,4.06,0.86,1.254,85.6,6.5,33.9,6.4,83.2,7.9,76.17,"4.54",120,9,1.01,12,1.1,3.6,1.35,189,1.8,1.06
28,48,15,71,"RHQ",184,"Keiser, AR",1461,"ST 6448GLB2",3,3.9,0.85,1.273,85.4,6.4,32.5,6.6,82.7,7.8,69.37,"5.41",159,6,1,13,1.1,3.9,1.36,184,2.1,1.04
28,43,15,71,"RHQ",184,"Keiser, AR",1474,"FM 2322GL",1,4.17,0.86,1.278,86.9,5.6,35.7,6.4,82.9,7.6,80.05,"6.46",132,18,1,13,1.1,3.7,1.34,178,2,1.06
28,44,15,71,"RHQ",184,"Keiser, AR",1474,"FM 2322GL",3,4.21,0.86,1.272,86.5,5.6,34.2,6.8,83.8,7.6,70.82,"5.2",132,9,1,12,1.1,3.6,1.33,174,1.7,1.05
28,33,15,71,"RHQ",184,"Keiser, AR",1482,"DP 1410B2RF",1,4.22,0.86,1.255,84.3,6.2,35.7,6.7,81.5,7.8,75.06,"6.57",91,3,1,13,1.1,3.8,1.35,183,2,1.06
28,34,15,71,"RHQ",184,"Keiser, AR",1482,"DP 1410B2RF",3,3.97,0.85,1.32,84.7,5.4,32.5,6.9,81.9,7.6,78.78,"7.23",132,2,1.03,12,1.1,3.4,1.38,175,2.4,1.04
28,45,15,71,"RHQ",184,"Keiser, AR",1483,"FM 2334GLT",1,4.38,0.87,1.272,85.5,6.1,35.1,6.1,81,7.7,80.81,"13.04",86,7,1.07,10,1.2,2.7,1.41,178,1.2,1.09
28,46,15,71,"RHQ",184,"Keiser, AR",1483,"FM 2334GLT",3,4.1,0.86,1.317,86,5.4,35,6,80.7,8.5,90.69,"8.57",113,3,1.01,12,1.1,3.6,1.37,175,1.5,1.07
28,25,15,71,"RHQ",184,"Keiser, AR",1498,"Ark 0606-50",1,4.66,0.86,1.282,86.4,5.9,34.3,7.7,83.1,8,83.37,"4.2699999999999996",56,3,1,11,1.1,2.9,1.29,210,1.1,1.1
28,26,15,71,"RHQ",184,"Keiser, AR",1498,"Ark 0606-50",3,5.08,0.87,1.244,86.2,6,35,8.2,80.9,8.1,80.81,"4.45",78,3,0.96,14,1.1,4.1,1.27,212,1.7,1.09
28,27,15,71,"RHQ",184,"Keiser, AR",1499,"Ark 0701-4",1,4.69,0.87,1.229,86.2,6.2,34.4,7.4,81.6,8.3,83.1,"5.0599999999999996",84,2,1.02,9,1.1,2.5,1.3,201,1.1,1.11
28,28,15,71,"RHQ",184,"Keiser, AR",1499,"Ark 0701-4",3,4.26,0.85,1.264,87.1,5.9,35.1,7.7,81.4,8.2,76.97,"4.68",86,3,1.01,9,1.1,2.5,1.29,196,1.4,1.1
28,29,15,71,"RHQ",184,"Keiser, AR",1500,"Ark 0703-10",1,4.42,0.85,1.288,86.3,5.5,39,8.5,80.9,8,69.67,"6.5",111,3,1.05,9,1.1,2.6,1.35,201,1.7,1.08
28,30,15,71,"RHQ",184,"Keiser, AR",1500,"Ark 0703-10",3,4.36,0.85,1.266,86.7,5.9,34,8,80.6,8.3,69.43,"6.86",102,2,1.05,9,1.1,2.5,1.34,196,1.9,1.06
28,35,15,71,"RHQ",184,"Keiser, AR",1501,"DP 1555B2RF",1,4.53,0.86,1.214,85.5,6.4,35.3,7.7,82.5,8.3,75.67,"5.09",75,3,0.96,12,1.1,4,1.28,203,1.8,1.08
28,36,15,71,"RHQ",184,"Keiser, AR",1501,"DP 1555B2RF",3,4.19,0.85,1.256,86.7,6.1,35.4,7.9,83.3,8.2,78.04,"6.32",104,1,0.99,11,1.1,3.5,1.31,187,2.3,1.05
28,39,15,71,"RHQ",184,"Keiser, AR",1502,"PHY 552WRF",1,3.77,0.84,1.24,85.6,6.9,33.3,7.1,82.5,7.1,81.45,"8.14",126,10,0.98,12,1.1,3.7,1.3,180,1.9,1.04
28,40,15,71,"RHQ",184,"Keiser, AR",1502,"PHY 552WRF",3,3.81,0.84,1.278,87.8,5.7,33,7.8,82.7,7.6,65.85,"6.78",122,4,1.03,11,1.1,3.1,1.34,179,1.8,1.04
28,41,15,71,"RHQ",184,"Keiser, AR",1503,"FM 1830GLT",1,4.33,0.87,1.284,86.4,6,34.5,6.1,83.8,7.5,81.5,"6.48",70,2,1.04,10,1.1,2.9,1.37,184,1.5,1.08
28,42,15,71,"RHQ",184,"Keiser, AR",1503,"FM 1830GLT",3,4.13,0.86,1.287,86,6,34.5,6.4,84.3,7.5,77.95,"5.82",111,4,0.99,13,1.1,4,1.36,177,2.2,1.05
28,49,15,71,"RHQ",184,"Keiser, AR",1504,"LA 11309134",1,4.47,0.86,1.297,87.4,5.3,38.7,7.2,80,8.1,76.92,"14.75",73,4,1.1,9,1.2,2.3,1.41,196,1,1.09
28,50,15,71,"RHQ",184,"Keiser, AR",1504,"LA 11309134",3,4.09,0.85,1.295,87.2,5.5,36.2,7.2,80.9,8.6,89.24,"6.9",128,15,1.06,10,1.1,2.7,1.37,187,1.5,1.06
28,51,15,71,"RHQ",184,"Keiser, AR",1505,"NM 13P1088",1,4.39,0.86,1.258,85.6,5.9,37.9,7.8,80.1,7.3,78.14,"8.52",114,8,1.04,9,1.1,2.5,1.33,185,1.2,1.09
28,52,15,71,"RHQ",184,"Keiser, AR",1505,"NM 13P1088",3,4.61,0.86,1.264,86.7,5.5,36.2,7.6,79.6,7.6,75.38,"8.5500000000000007",125,7,1.02,10,1.1,2.9,1.33,187,1.5,1.08
28,55,15,71,"RHQ",184,"Keiser, AR",1506,"MD 87",1,4.63,0.87,1.305,87.7,5.1,37.4,6.5,79.9,7.9,80.51,"6.08",70,2,1.12,6,1.2,1.6,1.39,201,0.8,1.11
28,56,15,71,"RHQ",184,"Keiser, AR",1506,"MD 87",3,4.25,0.86,1.281,86.7,5.4,39.6,6.7,79.7,8.3,82.62,"5.75",136,3,1,11,1.1,3.1,1.31,191,1.7,1.07
26,131,15,160,"BLA",181,"Thrall, TX",1404,"PHY 499WRF",1,4.96,0.87,0.95,81.1,11.6,28.5,7.4,74.4,8.5,73.94,"14.02",116,10,0.72,20,0.8,8.3,0.96,185,3.1,0.98
26,132,15,160,"BLA",181,"Thrall, TX",1404,"PHY 499WRF",2,4.88,0.87,0.976,81.8,10.8,27.3,7.6,73.8,8.5,72.71,"12.65",113,9,0.7,24,0.8,10.7,0.96,179,4,0.95
26,127,15,160,"BLA",181,"Thrall, TX",1412,"DP 0912B2RF",1,5.13,0.88,0.997,81.2,10.9,29.1,7.1,73,8.2,70.93,"14.94",87,11,0.74,19,0.8,7.9,0.99,191,2.9,0.99
26,128,15,160,"BLA",181,"Thrall, TX",1412,"DP 0912B2RF",2,5.25,0.88,0.96,80.5,11.3,25.2,6.8,75.7,8.7,50.46,"9.2799999999999994",90,7,0.73,20,0.8,8.3,0.97,192,3.3,0.98
26,133,15,160,"BLA",181,"Thrall, TX",1426,"Phytogen 725RF",1,4.58,0.86,1.083,82.5,8.2,33.6,7.3,75.5,9.1,81.87,"13.19",119,11,0.76,22,0.9,8.9,1.08,168,3.5,0.97
26,134,15,160,"BLA",181,"Thrall, TX",1426,"Phytogen 725RF",2,4.43,0.86,1.073,81.4,9.9,33.6,7.6,76.2,9.3,74.42,"12.67",114,20,0.76,21,0.9,8.3,1.06,169,3.4,0.99
26,141,15,160,"BLA",181,"Thrall, TX",1427,"DP 1044B2RF",1,4.61,0.86,0.995,80.2,11.2,27.1,7.1,79.7,9.3,48.34,"8.4499999999999993",149,16,0.72,23,0.8,9.4,1,180,4.1,0.95
26,142,15,160,"BLA",181,"Thrall, TX",1427,"DP 1044B2RF",2,4.93,0.87,1.003,81.7,9.2,29.7,7.6,73.6,7.8,63.88,"14.87",91,12,0.72,22,0.8,9.1,0.99,181,4.4,0.95
26,139,15,160,"BLA",181,"Thrall, TX",1436,"DP 1219B2RF",1,5.11,0.88,1.04,81.4,9.7,29.1,5.8,75.4,8.1,71.83,"9.1",90,10,0.77,18,0.8,7.2,1.03,185,2.6,1.01
26,140,15,160,"BLA",181,"Thrall, TX",1436,"DP 1219B2RF",2,4.33,0.87,1.044,80.6,11.2,29.5,5.6,78.7,8.2,68.08,"11.84",117,10,0.77,20,0.9,7.9,1.06,163,4.1,0.96
26,143,15,160,"BLA",181,"Thrall, TX",1438,"All-tex Nitro 44B2RF",1,4.67,0.87,1.077,83.1,8.2,32.5,7,71.9,7.9,98.82,"16.77",156,20,0.83,15,0.9,5.6,1.1,177,2.8,1.01
26,144,15,160,"BLA",181,"Thrall, TX",1438,"All-tex Nitro 44B2RF",2,4.35,0.86,1.071,83.1,8.3,31,7,71.2,7.9,85.54,"17.61",148,15,0.81,17,0.9,6.2,1.08,176,2.6,1.01
26,129,15,160,"BLA",181,"Thrall, TX",1441,"FM 2484B2F",1,4.79,0.88,1.06,81.2,10.3,30.4,6,76.2,7.7,68.99,"13.82",120,13,0.79,20,0.9,7.6,1.09,174,3.6,0.98
26,130,15,160,"BLA",181,"Thrall, TX",1441,"FM 2484B2F",2,4.32,0.87,1.031,79.9,12.3,28,5.3,78.9,7.8,85.5,"12.03",158,9,0.79,20,0.9,7.5,1.1,166,4.1,0.96
26,135,15,160,"BLA",181,"Thrall, TX",1465,"NG 1511B2RF",1,4.92,0.86,1.011,81.8,9.1,29.9,8.1,73.7,8.6,75.4,"14.8",98,14,0.76,18,0.8,7,1.01,181,2.9,0.98
26,136,15,160,"BLA",181,"Thrall, TX",1465,"NG 1511B2RF",2,4.15,0.85,0.958,79.7,12.1,26.3,7.3,73.2,8.5,73.99,"13.16",198,14,0.69,25,0.8,10.7,0.96,168,5.2,0.92
26,137,15,160,"BLA",181,"Thrall, TX",1495,"Croplan 3787B2RF",1,4.99,0.87,1.052,82.5,8.8,27.3,7.6,79.6,9.6,70.51,"5.52",62,3,0.8,16,0.9,6,1.06,184,3.3,0.97
26,138,15,160,"BLA",181,"Thrall, TX",1495,"Croplan 3787B2RF",2,4.31,0.86,1.031,81.3,9.7,26.5,6.6,75.9,8.8,68.69,"9.8800000000000008",110,6,0.73,23,0.8,9.2,1,170,4.9,0.93
26,113,15,160,"BLA",194,"Commerce, TX",1404,"PHY 499WRF",1,4.7,0.86,1.103,84.2,6.9,32,8.2,70.3,9.4,65.89,"9.68",156,27,0.82,20,0.9,6.9,1.13,207,2,1.08
26,114,15,160,"BLA",194,"Commerce, TX",1404,"PHY 499WRF",2,4.21,0.85,1.12,84.1,7.5,33.1,7.8,69.5,9.1,66.04,"11.87",152,30,0.82,20,0.9,7,1.15,202,1.9,1.08
26,109,15,160,"BLA",194,"Commerce, TX",1412,"DP 0912B2RF",1,4.98,0.87,1.049,82.9,8.5,28.8,7,68.6,8.8,68.99,"9.77",117,11,0.76,21,0.8,8.3,1.04,212,2.3,1.07
26,110,15,160,"BLA",194,"Commerce, TX",1412,"DP 0912B2RF",2,4.67,0.86,1.08,82.9,7.8,30.9,7.6,68.5,8.9,89.16,"11.97",138,16,0.81,18,0.9,6.5,1.1,211,1.9,1.08
26,115,15,160,"BLA",194,"Commerce, TX",1426,"Phytogen 725RF",1,4.18,0.85,1.173,84,7.3,35.8,7.4,67,9.3,87.32,"13.75",246,41,0.8,24,0.9,9,1.18,194,2.3,1.07
26,116,15,160,"BLA",194,"Commerce, TX",1426,"Phytogen 725RF",2,4,0.85,1.191,84.3,6.7,37.1,7.5,69.2,9.4,90.55,"11.5",152,21,0.84,20,1,7,1.21,194,1.8,1.09
26,123,15,160,"BLA",194,"Commerce, TX",1427,"DP 1044B2RF",1,3.9,0.84,1.131,82,9.1,31.6,7.4,68.4,9.2,66.93,"12.16",166,19,0.83,23,1,7.9,1.2,169,5.7,0.92
26,124,15,160,"BLA",194,"Commerce, TX",1427,"DP 1044B2RF",2,4.2,0.85,1.105,82.9,8.3,30.9,7.9,68.1,8.6,91.07,"15.74",120,14,0.82,20,0.9,7.2,1.15,175,4.8,0.93
26,121,15,160,"BLA",194,"Commerce, TX",1436,"DP 1219B2RF",1,3.86,0.85,1.1,81.1,10.2,32.4,6,70.4,9.3,72.48,"11.69",182,19,0.75,28,0.9,10.9,1.17,186,2.7,1.05
26,122,15,160,"BLA",194,"Commerce, TX",1436,"DP 1219B2RF",2,4.83,0.87,1.106,82.7,9,31.6,6.3,69.9,9,60.39,"8.83",81,11,0.81,21,0.9,7.4,1.15,213,1.5,1.11
26,125,15,160,"BLA",194,"Commerce, TX",1438,"All-tex Nitro 44B2RF",1,4.13,0.85,1.16,84.4,6.6,33.4,7.4,70.2,8.6,80.56,"12.75",122,17,0.93,14,1,4.3,1.23,169,3.4,0.97
26,126,15,160,"BLA",194,"Commerce, TX",1438,"All-tex Nitro 44B2RF",2,4.4,0.86,1.118,84.6,6.3,32.5,7.5,67.4,8.6,81.14,"13.54",129,12,0.87,16,1,5.3,1.17,172,3.2,0.97
26,111,15,160,"BLA",194,"Commerce, TX",1441,"FM 2484B2F",1,3.79,0.85,1.145,82.9,8,32,5.9,71.2,8.6,77.87,"11.09",168,22,0.84,19,0.9,6.7,1.18,186,2.6,1.06
