"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
81,11,"PLA",12,"Lubbock, TX",498,1,"141",1.04,0.46,44,202,7.4,2.7,1.03,79,27,63,12.2,2.6
81,11,"PLA",12,"Lubbock, TX",498,2,"123",1.04,0.44,42,198,8,2.3,1,79,24,66.5,12.2,2.1
81,11,"PLA",12,"Lubbock, TX",532,1,"132",1,0.46,46,169,7.3,3.3,0.98,80,23,66.5,11.4,3.3
81,11,"PLA",12,"Lubbock, TX",532,2,"111",0.97,0.43,43,164,7.2,2.7,0.9,78,22,69.5,11.6,2.7
81,11,"PLA",12,"Lubbock, TX",574,1,"121",0.95,0.41,43,166,7.2,3.3,0.95,80,24,69.5,11.8,3.2
81,11,"PLA",12,"Lubbock, TX",574,2,"115",0.96,0.43,45,158,7.1,3.5,0.96,79,23,69,11.4,3.5
81,11,"PLA",12,"Lubbock, TX",80,1,"96",0.96,0.44,45,167,7.3,2.9,0.93,78,24,70.5,11.2,2.9
81,11,"PLA",12,"Lubbock, TX",80,2,"116",0.94,0.42,44,167,8.2,2.8,0.95,78,24,71.5,11.4,2.8
81,11,"PLA",12,"Lubbock, TX",402,1,"121",0.97,0.42,43,182,7.4,3.1,0.97,78,24,66,11.6,2.9
81,11,"PLA",12,"Lubbock, TX",402,2,"120",0.99,0.41,42,163,6.8,2.8,1,78,24,67,12.2,2.8
81,11,"PLA",12,"Lubbock, TX",633,1,"123",0.95,0.45,47,167,7.8,3.5,0.91,79,25,70,11.4,3.3
81,11,"PLA",12,"Lubbock, TX",633,2,"112",0.92,0.43,46,151,7.8,4,0.82,79,23,68,11.8,3.8
81,11,"PLA",12,"Lubbock, TX",634,1,"114",1,0.43,42,166,7.2,2.8,0.95,79,26,68,12.2,2.7
81,11,"PLA",12,"Lubbock, TX",634,2,"117",0.95,0.4,42,168,7.9,2.7,0.92,78,25,68,11.4,2.6
81,11,"PLA",12,"Lubbock, TX",566,1,"104",0.96,0.45,46,167,7.4,3.3,0.93,80,24,69.5,11.6,3.2
81,11,"PLA",12,"Lubbock, TX",566,2,"111",0.97,0.45,46,157,7.8,3.5,0.93,79,24,62.5,12.4,3.3
81,11,"PLA",12,"Lubbock, TX",400,1,"113",0.98,0.45,45,154,7.1,2.8,0.97,79,24,72.5,10.6,2.6
81,11,"PLA",12,"Lubbock, TX",400,2,"105",0.99,0.45,45,154,7.3,2.7,0.97,78,23,69,12,2.6
81,11,"PLA",12,"Lubbock, TX",499,1,"110",0.94,0.4,42,164,7.5,2.8,0.91,78,22,69,11.4,2.8
81,11,"PLA",12,"Lubbock, TX",499,2,"95",0.95,0.43,44,172,8,2.9,0.92,78,22,70.5,12.2,2.9
81,11,"PLA",12,"Lubbock, TX",635,1,"117",0.94,0.42,44,175,7.6,3.8,0.91,81,22,70,11.2,3.8
81,11,"PLA",12,"Lubbock, TX",635,2,"122",0.95,0.45,47,164,7.4,4.3,0.93,81,22,70.5,10.6,4.2
81,11,"PLA",12,"Lubbock, TX",568,1,"120",0.98,0.44,44,179,6.5,3.1,0.93,80,24,71.5,10.2,3
81,11,"PLA",12,"Lubbock, TX",568,2,"109",0.95,0.44,46,163,7,3.7,0.93,79,21,70.5,10.8,3.9
81,11,"PLA",12,"Lubbock, TX",636,1,"99",0.93,0.43,45,160,7.4,3.1,0.85,77,22,66,12.2,3
81,11,"PLA",12,"Lubbock, TX",636,2,"106",0.93,0.42,45,157,7.3,3.5,0.89,79,21,69,11.6,3.5
81,11,"PLA",12,"Lubbock, TX",567,1,"93",0.89,0.41,46,158,7.8,3.5,0.84,78,22,52.5,12.8,3.6
81,11,"PLA",12,"Lubbock, TX",567,2,"92",0.92,0.44,48,164,7.5,4,0.86,79,21,64,11.8,4.2
81,11,"PLA",12,"Lubbock, TX",152,1,"119",0.98,0.42,43,164,6.3,3.3,0.95,79,23,69.5,11,3.1
81,11,"PLA",12,"Lubbock, TX",152,2,"114",0.97,0.43,44,188,6.5,2.7,0.97,77,24,69,11.6,2.6
81,11,"PLA",12,"Lubbock, TX",571,1,"106",0.95,0.43,45,164,9,3,0.92,79,22,70.5,11.2,3
81,11,"PLA",12,"Lubbock, TX",571,2,"106",0.91,0.41,45,162,8.7,2.8,0.92,78,24,70,10.8,2.6
81,11,"PLA",12,"Lubbock, TX",572,1,"143",0.95,0.44,46,168,8.3,3.5,0.91,79,21,70.5,12,3.2
81,11,"PLA",12,"Lubbock, TX",572,2,"107",0.95,0.44,46,170,7.6,3.2,0.9,77,24,65.5,12.2,2.9
81,11,"PLA",12,"Lubbock, TX",573,1,"116",0.96,0.43,45,168,7.8,3.6,0.9,79,24,69.5,11.6,3.9
81,11,"PLA",12,"Lubbock, TX",573,2,"120",0.95,0.44,45,168,7.2,2.8,0.88,78,24,67.5,12,2.6
81,11,"PLA",13,"Halfway, TX(irri)",498,1,"129",1.05,0.49,46,202,7.5,3.3,1.03,80,26,73.5,9,3.3
81,11,"PLA",13,"Halfway, TX(irri)",498,2,"143",1.07,0.48,45,213,6.9,3.5,1.03,81,24,68,9.4,3.4
81,11,"PLA",13,"Halfway, TX(irri)",532,1,"124",1.06,0.47,44,174,6.2,3.5,1.01,78,23,70,9,3.5
81,11,"PLA",13,"Halfway, TX(irri)",532,2,"110",1.06,0.45,42,174,6.3,3.3,1.05,79,24,72.5,9.2,3.3
81,11,"PLA",13,"Halfway, TX(irri)",574,1,"120",1.04,0.46,44,178,7.4,3.9,1.02,81,21,72,9.8,3.8
81,11,"PLA",13,"Halfway, TX(irri)",574,2,"126",1.06,0.48,45,177,7.1,3.4,1.03,80,23,73.5,9,3.1
81,11,"PLA",13,"Halfway, TX(irri)",80,1,"95",1,0.44,44,166,7.7,4,0.98,79,22,72.5,9.4,4
81,11,"PLA",13,"Halfway, TX(irri)",80,2,"112",1.04,0.45,43,167,7.9,4,1,80,22,73.5,9.4,3.9
81,11,"PLA",13,"Halfway, TX(irri)",402,1,"119",1.06,0.48,45,179,6.9,3.9,1.06,81,22,66.5,9.4,3.9
81,11,"PLA",13,"Halfway, TX(irri)",402,2,"128",1.11,0.48,43,166,7,3.9,1.11,80,23,72.5,9.6,3.7
81,11,"PLA",13,"Halfway, TX(irri)",633,1,"111",1.01,0.47,46,165,7.7,4,0.95,80,21,72.5,9.6,3.9
81,11,"PLA",13,"Halfway, TX(irri)",633,2,"119",1.01,0.45,44,191,7.1,4.1,0.97,80,24,68.5,9,4
81,11,"PLA",13,"Halfway, TX(irri)",634,1,"125",1.06,0.46,43,183,7.4,3.9,1.05,80,25,63.5,10.4,3.8
