"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
89,20,"EAS",35,"Tifton, GA",697,1,"103",1.11,0.56,50.2,"174",8.5,4.4,6.3,86.5,22.2,80.4,9.5,4.5
89,20,"EAS",35,"Tifton, GA",697,2,"104",1.13,0.56,49.8,"173",8.5,4.5,6.4,84.8,20.9,81.3,9.1,4.9
89,20,"EAS",35,"Tifton, GA",748,1,"109",1.15,0.56,48.3,"179",6.3,4.5,6.3,86.8,24.4,79.4,9.2,4.2
89,20,"EAS",35,"Tifton, GA",748,2,"116",1.14,0.57,50,"183",6,4.5,6,85.6,23.1,79.8,8.9,4.5
89,20,"EAS",35,"Tifton, GA",750,1,"101",1.13,0.57,50.7,"181",8.3,4.8,7.1,86.6,23,79.3,9.5,4.9
89,20,"EAS",35,"Tifton, GA",750,2,"111",1.11,0.57,51.6,"174",8.3,4.7,7.1,87.6,22.4,79.2,9.8,5.1
89,20,"EAS",36,"Florence, SC",450,1,"116",1.08,0.56,52.1,"193",7.8,4.9,6.2,83.5,26.7,79.5,9.5,5
89,20,"EAS",36,"Florence, SC",450,2,"115",1.14,0.58,50.7,"181",7,5.1,6.1,85,26.6,78.7,0,4.8
89,20,"EAS",36,"Florence, SC",473,1,"122",1.08,0.54,50.3,"178",9.8,4.9,6.4,86,21.1,80.2,8.2,5
89,20,"EAS",36,"Florence, SC",473,2,"109",1.11,0.59,53,"180",9.5,4.9,6.5,85.9,21.9,80.1,8.4,5
89,20,"EAS",36,"Florence, SC",477,1,"135",1.13,0.59,51.8,"216",7.5,4.3,6.3,84.8,30.6,77.5,9.1,4.2
89,20,"EAS",36,"Florence, SC",477,2,"127",1.13,0.55,48.7,"226",7.5,4.1,5.8,86.5,28.2,76.5,8.6,3.9
89,20,"EAS",36,"Florence, SC",513,1,"114",1.13,0.56,49.8,"191",7.3,5.2,5.9,84.5,26.9,79,9.2,4.8
89,20,"EAS",36,"Florence, SC",513,2,"113",1.14,0.58,51.1,"200",7.3,5,6.3,85.4,26.6,78.1,9.4,4.8
89,20,"EAS",36,"Florence, SC",521,1,"113",1.13,0.58,51.1,"189",8.8,4.7,6,83.4,24,80.1,9.2,4.8
89,20,"EAS",36,"Florence, SC",521,2,"113",1.13,0.56,49.4,"176",7.8,4.7,6.5,86.7,25.3,81.4,9.3,4.8
89,20,"EAS",36,"Florence, SC",570,1,"114",1.16,0.59,51.1,"193",7.8,5,6.3,87.1,24.1,78,8.9,4.9
89,20,"EAS",36,"Florence, SC",570,2,"112",1.14,0.58,50.9,"202",7.5,4.9,5.8,85.1,25.8,76.9,9.3,5
89,20,"EAS",36,"Florence, SC",574,1,"105",1.12,0.57,50.9,"183",7.8,4.9,6.3,84.4,25.4,79.4,9.3,4.6
89,20,"EAS",36,"Florence, SC",574,2,"107",1.14,0.57,50.2,"187",7.8,4.8,6.2,83.4,25.6,79.3,9.6,4.8
89,20,"EAS",36,"Florence, SC",575,1,"109",1.13,0.58,51.6,"171",8,5.1,6,85.4,21.8,78.9,8.9,5.2
89,20,"EAS",36,"Florence, SC",575,2,"106",1.11,0.58,51.9,"184",7.8,5.3,5.8,85.6,22.8,77.7,8.6,5.4
89,20,"EAS",36,"Florence, SC",611,1,"110",1.16,0.6,51.6,"191",9,5,6,84.9,21.9,78.5,8.9,5.2
89,20,"EAS",36,"Florence, SC",611,2,"113",1.19,0.61,51.1,"172",9,4.4,6.3,85.4,23.5,79.8,8.7,4.6
89,20,"EAS",36,"Florence, SC",635,1,"110",1.01,0.52,51.8,"185",7.5,5,6.4,83.4,24.8,78.4,9.3,4.7
89,20,"EAS",36,"Florence, SC",635,2,"114",1.06,0.53,50.3,"177",7.8,5,6.1,83.5,24,78.7,9,4.7
89,20,"EAS",36,"Florence, SC",649,1,"116",1.12,0.59,52.3,"198",7.3,5.1,6.3,83.7,26.4,77.5,9.3,5.3
89,20,"EAS",36,"Florence, SC",649,2,"113",1.16,0.6,52,"192",7.3,4.6,5.7,85.1,25.5,77.8,9.5,4.7
89,20,"EAS",36,"Florence, SC",654,1,"127",1.15,0.6,52,"206",7.3,4.8,6.2,84.8,27.1,78.5,9.5,5
89,20,"EAS",36,"Florence, SC",654,2,"115",1.16,0.59,51.1,"210",7,4.9,6.1,86,28.6,79.3,9.6,5
89,20,"EAS",36,"Florence, SC",670,1,"112",1.15,0.58,50.3,"188",7.8,5.2,5.9,83.7,24.5,77.8,9.7,5.4
89,20,"EAS",36,"Florence, SC",670,2,"109",1.16,0.6,51.7,"189",7.8,5.1,6.3,84.7,24.3,76.9,0,5.3
89,20,"EAS",36,"Florence, SC",689,1,"105",1.13,0.57,50.4,"173",9.5,5.2,6.4,85.3,22.9,80.6,8.7,5.1
89,20,"EAS",36,"Florence, SC",689,2,"109",1.19,0.59,49.6,"179",9.3,4.9,6.4,85.2,21.9,79.4,8.9,5
89,20,"EAS",36,"Florence, SC",697,1,"102",1.14,0.57,50.2,"184",9.5,4.9,6.3,85.5,23.7,78.5,9.7,5.1
89,20,"EAS",36,"Florence, SC",697,2,"99",1.12,0.55,48.9,"166",8.8,4.9,6.3,83.8,23.2,77.5,0,4.8
89,20,"EAS",36,"Florence, SC",748,1,"110",1.17,0.61,52.4,"182",7,4.9,5.9,83.8,23.7,77,9.7,5.1
89,20,"EAS",36,"Florence, SC",748,2,"108",1.17,0.6,51.5,"183",7.3,5,NA,NA,NA,NA,NA,NA
89,20,"EAS",36,"Florence, SC",750,1,"115",1.13,0.58,51.6,"181",9,5.2,6.5,85.1,22.5,76.5,9.7,5.4
89,20,"EAS",36,"Florence, SC",750,2,"112",1.18,0.6,50.9,"170",10,5,6.5,86.2,21.6,76.9,9.4,5.3
89,20,"EAS",87,"Belle Mina, AL",450,1,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",87,"Belle Mina, AL",450,2,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",87,"Belle Mina, AL",473,1,"113",1.1,0.54,48.9,"174",10.3,4,7.1,84.2,24.2,82.3,8.3,3.9
89,20,"EAS",87,"Belle Mina, AL",473,2,"107",1.1,0.55,49.8,"180",10.5,3.9,7.1,82.8,26,73.3,8,3.6
89,20,"EAS",87,"Belle Mina, AL",477,1,"148",1.15,0.56,48.5,"221",7.8,3.5,6.3,84.3,29.4,80.8,8.1,4
89,20,"EAS",87,"Belle Mina, AL",477,2,"138",1.15,0.55,47.6,"225",7.5,3.8,6.2,84.1,33.2,72.2,8.6,3.4
89,20,"EAS",87,"Belle Mina, AL",513,1,"129",1.09,0.55,50,"231",8,4.3,6.7,84.5,27.8,80.1,8.4,4.3
89,20,"EAS",87,"Belle Mina, AL",513,2,"124",1.1,0.54,49.3,"210",8.5,4.2,6.2,84.2,28.4,73,8.3,3.8
89,20,"EAS",87,"Belle Mina, AL",521,1,"119",1.14,0.57,49.8,"186",8.5,3.9,6.3,84.2,26.3,79.3,8.2,4.2
89,20,"EAS",87,"Belle Mina, AL",521,2,"121",1.13,0.56,49.8,"190",8.5,4.2,6.6,84,28.9,73.5,8.4,3.6
89,20,"EAS",87,"Belle Mina, AL",570,1,"131",1.18,0.56,47.7,"208",8.5,4.3,6.2,83.4,26.4,78.5,8.6,4.2
89,20,"EAS",87,"Belle Mina, AL",570,2,"126",1.17,0.57,48.3,"209",8.5,3.8,6.3,82.4,26.5,70.9,8.6,3.7
89,20,"EAS",87,"Belle Mina, AL",574,1,"118",1.12,0.58,51.6,"188",8,4.7,6.4,84.9,25.9,78.7,8.4,4.1
89,20,"EAS",87,"Belle Mina, AL",574,2,"126",1.14,0.54,47.6,"205",9,3.7,6.4,84.3,28.9,72.1,7.8,3.5
89,20,"EAS",87,"Belle Mina, AL",575,1,"118",1.06,0.54,51.2,"197",8.5,4.4,6.4,83.2,24.8,80.5,8.6,4.7
89,20,"EAS",87,"Belle Mina, AL",575,2,"105",1.09,0.53,48.9,"196",8.3,4.1,6.3,84.1,28.4,75.5,8,3.8
89,20,"EAS",87,"Belle Mina, AL",611,1,"122",1.11,0.53,47.7,"190",9,4,6.4,84.2,25.3,77.3,8.9,4.5
89,20,"EAS",87,"Belle Mina, AL",611,2,"111",1.12,0.54,47.8,"200",9,3.6,6,86.1,26.4,72.5,8,3.7
89,20,"EAS",87,"Belle Mina, AL",635,1,"124",1.05,0.51,48.4,"194",8.5,4.1,6.6,81.8,25.7,78.7,8.4,4.4
89,20,"EAS",87,"Belle Mina, AL",635,2,"123",1.06,0.53,49.8,"204",9,3.9,6.8,80.7,29,71.7,7.1,3.8
89,20,"EAS",87,"Belle Mina, AL",649,1,"125",1.08,0.53,48.6,"224",9,5.1,6.2,83.5,27.9,78.4,8.8,4.7
89,20,"EAS",87,"Belle Mina, AL",649,2,"138",1.1,0.53,48.4,"225",8.5,4.3,6.3,85,29.1,73.6,7.8,3.9
89,20,"EAS",87,"Belle Mina, AL",654,1,"132",1.12,0.57,50.9,"219",8,4.4,6.2,84.5,30.7,78.8,9.2,4.1
89,20,"EAS",87,"Belle Mina, AL",654,2,"146",1.12,0.54,48,"228",8,3.6,5.8,84.9,29.2,73.9,7.9,3.5
89,20,"EAS",87,"Belle Mina, AL",670,1,"111",1.13,0.55,48.5,"192",7.8,4.8,6.3,84,24.2,79.5,8.6,5.1
89,20,"EAS",87,"Belle Mina, AL",670,2,"116",1.17,0.58,49.4,"194",7.8,4.1,6.2,85.4,27.2,72.7,8.3,4.1
89,20,"EAS",87,"Belle Mina, AL",689,1,"102",1.15,0.55,47.4,"183",10.8,4.1,7.1,84.3,26.1,79.4,8.3,4.1
89,20,"EAS",87,"Belle Mina, AL",689,2,"106",1.16,0.55,47.6,"183",10.3,4,6.6,84.1,24.8,73.9,8.4,3.8
89,20,"EAS",87,"Belle Mina, AL",697,1,"119",1.11,0.55,49.3,"192",9.8,3.9,6.8,85.2,25.7,79.6,8.7,4.4
89,20,"EAS",87,"Belle Mina, AL",697,2,"115",1.1,0.55,49.6,"179",9,4.2,6.4,83.5,27.2,72.2,7.9,3.8
89,20,"EAS",87,"Belle Mina, AL",748,1,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",87,"Belle Mina, AL",748,2,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",87,"Belle Mina, AL",750,1,"110",1.14,0.56,48.9,"188",9,4.5,7.6,84.6,27,78.9,8.8,4.7
89,20,"EAS",87,"Belle Mina, AL",750,2,"127",1.16,0.58,50.3,"203",10.3,4.3,6.9,84.8,26.6,69.3,8.6,4.3
89,30,"CEN",19,"College Station, TX",473,1,"119",1.1,0.55,49.8,"180",9.3,4.3,6.7,84.9,25.3,78.5,7.7,4
89,30,"CEN",19,"College Station, TX",473,2,"104",1.13,0.58,50.9,"172",9.8,4.3,6.5,85.5,25.1,77.8,7.9,4.2
89,30,"CEN",19,"College Station, TX",477,1,"155",1.14,0.6,52.4,"224",7,4.3,6.2,85.7,32.3,74.1,7.7,3.9
89,30,"CEN",19,"College Station, TX",477,2,"153",1.2,0.6,50,"246",7.3,4.4,5.8,84.5,31.6,73.6,7.6,4.2
89,30,"CEN",19,"College Station, TX",570,1,"142",1.19,0.59,49.8,"198",7.3,4.6,6.2,86.8,26.8,76.2,8.3,4
89,30,"CEN",19,"College Station, TX",570,2,"136",1.21,0.6,49.4,"188",7.3,4.4,5.7,85,25.8,75.9,8.3,4.1
89,30,"CEN",19,"College Station, TX",575,1,"127",1.15,0.57,49.4,"178",7.5,4.7,5.5,85.1,25.7,74.8,7.7,4.5
89,30,"CEN",19,"College Station, TX",575,2,"121",1.15,0.6,52,"180",7,4.9,5.8,85.2,25.5,75,7.6,4.7
89,30,"CEN",19,"College Station, TX",603,1,"145",1.16,0.57,48.7,"194",8,4.4,6.4,85.2,26.4,71.8,7.4,4
89,30,"CEN",19,"College Station, TX",603,2,"132",1.15,0.57,49.1,"187",8,4.7,6.3,82.9,28.8,74.6,8.5,4.5
89,30,"CEN",19,"College Station, TX",611,1,"132",1.14,0.56,49.2,"189",8.3,4.8,6,83.6,25.5,75.4,7.5,4.4
89,30,"CEN",19,"College Station, TX",611,2,"132",1.14,0.58,50.9,"189",8.3,4.3,6.2,83.4,26.5,75.8,7.6,4.3
89,30,"CEN",19,"College Station, TX",635,1,"127",1.05,0.55,51.9,"198",8,4.5,6.3,84.5,27.2,74.6,7.9,4.3
89,30,"CEN",19,"College Station, TX",635,2,"125",1.04,0.52,50,"189",7.8,4.5,6.5,85.6,30.7,73.8,7.3,4.1
89,30,"CEN",19,"College Station, TX",649,1,"143",1.15,0.59,51.3,"218",7.3,4.5,6,84.4,29.8,77.2,8.3,4.5
89,30,"CEN",19,"College Station, TX",649,2,"140",1.16,0.58,49.6,"202",7.3,4.9,5.8,84.4,26.4,76.9,8,4.5
89,30,"CEN",19,"College Station, TX",689,1,"125",1.14,0.59,51.4,"177",9,4.7,6.5,87.8,25.6,77.7,8.1,4.5
89,30,"CEN",19,"College Station, TX",689,2,"125",1.17,0.57,48.5,"174",8.3,5.1,6.3,85,23,79,7.6,4.9
89,30,"CEN",19,"College Station, TX",748,1,"133",1.15,0.6,51.8,"196",7.5,4.7,6.3,86.7,28.3,74.8,8.4,4.6
89,30,"CEN",19,"College Station, TX",748,2,"130",1.2,0.59,48.8,"181",7.5,4.7,6.2,85.8,26.5,73.8,8.6,4.5
89,30,"CEN",19,"College Station, TX",750,1,"131",1.17,0.58,49.4,"199",8.3,4.6,6.6,85.7,24.9,73.5,8.4,5.3
89,30,"CEN",19,"College Station, TX",750,2,"131",1.13,0.57,50.7,"190",8.5,5,6.3,84.7,26.9,73.8,8.2,4.7
89,30,"CEN",21,"Weslaco, TX",473,1,"117",1.05,0.53,50.5,"174",8.8,4.6,6.4,84.1,22.5,78.7,8.5,4.5
89,30,"CEN",21,"Weslaco, TX",473,2,"114",1.07,0.57,53.3,"174",8.8,4.8,6.8,83.2,22.4,75.7,8.6,5
89,30,"CEN",21,"Weslaco, TX",477,1,"133",1.08,0.54,50,"215",7.5,4.4,6.1,82.8,30.8,72.5,7.4,4.1
89,30,"CEN",21,"Weslaco, TX",477,2,"144",1.1,0.56,51.2,"226",7.3,4.4,6.1,85,31.2,71.3,7.6,4.1
89,30,"CEN",21,"Weslaco, TX",570,1,"111",1.1,0.55,50,"185",7.5,4.8,5.9,84,25.4,73.1,8.6,4.6
89,30,"CEN",21,"Weslaco, TX",570,2,"122",1.12,0.56,50,"188",8,4.5,6.2,81.7,25.9,74,8.3,4.3
89,30,"CEN",21,"Weslaco, TX",575,1,"105",1.07,0.54,50.7,"176",7,4.5,6.2,83.7,22.8,73.6,8.2,4.7
89,30,"CEN",21,"Weslaco, TX",575,2,"108",1.09,0.56,51,"173",7,5,5.5,84.3,22.5,75.7,8.4,5
89,30,"CEN",21,"Weslaco, TX",603,1,"125",1.06,0.55,51.7,"175",7.3,4.7,6.2,82,23.7,75.2,8.5,4.8
89,30,"CEN",21,"Weslaco, TX",603,2,"123",1.04,0.54,51.5,"197",8,5.1,6.2,83.5,24.1,72,8.1,5.1
89,30,"CEN",21,"Weslaco, TX",611,1,"115",1.08,0.55,50.5,"189",8,4.9,6.3,84.3,25.6,74.8,8.3,5
89,30,"CEN",21,"Weslaco, TX",611,2,"113",1.05,0.53,50.8,"174",8,4.9,6.5,83.8,25.2,75.4,8.2,4.9
89,30,"CEN",21,"Weslaco, TX",635,1,"118",1.03,0.52,50.5,"191",7.8,4.5,6,82.5,24.5,72.4,7.8,4.8
89,30,"CEN",21,"Weslaco, TX",635,2,"110",1.04,0.55,52.4,"184",7.3,4.9,6.2,82.9,25,71.2,7.4,5.1
89,30,"CEN",21,"Weslaco, TX",649,1,"117",1.04,0.54,51.7,"193",7.8,4.8,6.2,82.6,25.6,75.8,8.2,4.8
89,30,"CEN",21,"Weslaco, TX",649,2,"120",1.02,0.5,49,"179",7,4.9,5.6,81.5,24.5,74.6,8.6,4.8
89,30,"CEN",21,"Weslaco, TX",689,1,"112",1,0.5,50,"172",8.8,5.4,6.8,85.8,24.3,75.3,8.1,4.9
89,30,"CEN",21,"Weslaco, TX",689,2,"119",1.06,0.55,52.2,"181",8.5,4.9,6.6,82.8,24.4,74.5,7.9,5
89,30,"CEN",21,"Weslaco, TX",748,1,"115",1.01,0.51,50.5,"170",7.3,5.2,6.1,83.1,24.3,73,9,5
89,30,"CEN",21,"Weslaco, TX",748,2,"119",1.11,0.57,51.6,"172",7,5.3,6.1,83.5,24.1,72.6,8.6,5.3
89,30,"CEN",21,"Weslaco, TX",750,1,"110",1.07,0.56,51.9,"191",9,5,6.4,84.2,26.3,70.8,8.8,4.9
89,30,"CEN",21,"Weslaco, TX",750,2,"115",1.09,0.56,51.2,"191",8.5,5.1,6.6,86.3,27.1,71,8.4,5
89,30,"CEN",23,"Bossier City, LA",473,1,"107",1.06,0.55,51.4,"202",9.3,4.6,6.4,84.3,23.5,80.1,8.8,4.5
89,30,"CEN",23,"Bossier City, LA",473,2,"104",1.07,0.56,52.1,"195",9.5,4.2,6.4,82.1,21.2,79.4,8.1,5
89,30,"CEN",23,"Bossier City, LA",477,1,"141",1.12,0.57,50.7,"272",7.5,4.3,6,83.3,29.9,79.4,8.3,4.4
89,30,"CEN",23,"Bossier City, LA",477,2,"149",1.12,0.57,50.7,"264",7.5,4.5,6.2,83,31.5,80.7,8.1,4.1
89,30,"CEN",23,"Bossier City, LA",570,1,"122",1.15,0.56,48.9,"206",7,4.1,6.3,81.9,26.6,77.7,8.7,4.4
89,30,"CEN",23,"Bossier City, LA",570,2,"128",1.15,0.57,49.8,"210",7,4.5,5.4,82,26,78.1,8.9,4.6
89,30,"CEN",23,"Bossier City, LA",575,1,"118",1.08,0.55,51.2,"181",6.5,4.9,5.5,83,22.2,78.4,8.2,5
89,30,"CEN",23,"Bossier City, LA",575,2,"118",1.09,0.56,51.7,"194",6.8,5,5.8,82.5,23.8,79,9,5.6
89,30,"CEN",23,"Bossier City, LA",603,1,"116",1.03,0.55,52.9,"203",7.5,5.2,6.1,83.2,22.8,77.6,8.9,5.3
89,30,"CEN",23,"Bossier City, LA",603,2,"107",1.04,0.54,51.7,"201",7,4.6,5.8,82.6,22.3,78.6,9.1,4.9
89,30,"CEN",23,"Bossier City, LA",611,1,"120",1.07,0.54,50.5,"186",8,4.7,5.8,83.4,25,77.9,8.4,4.4
89,30,"CEN",23,"Bossier City, LA",611,2,"115",1.06,0.54,50.7,"184",8.3,4.8,6.2,82,24.7,78.8,9.1,4.8
89,30,"CEN",23,"Bossier City, LA",635,1,"120",1.05,0.54,51.7,"207",7.3,4.3,5.8,82.9,26.1,78.3,7.7,3.9
89,30,"CEN",23,"Bossier City, LA",635,2,"118",1.05,0.55,52.2,"212",7.3,4,5.6,82.4,28.4,77.2,7.6,4.2
89,30,"CEN",23,"Bossier City, LA",649,1,"128",1.07,0.55,51,"213",7.8,4.5,6.3,83,26.9,77.5,8.5,4.9
89,30,"CEN",23,"Bossier City, LA",649,2,"121",1.07,0.55,51.2,"211",7.8,4.6,6.1,81.7,22.9,78.1,8.8,5.8
89,30,"CEN",23,"Bossier City, LA",689,1,"114",1.07,0.54,50.3,"196",8,4.6,6.3,84.4,24.2,76.8,8.7,4.7
89,30,"CEN",23,"Bossier City, LA",689,2,"116",1.09,0.54,49.3,"189",8.3,4.5,6.3,82.9,22.6,80.7,8.3,4.7
89,30,"CEN",23,"Bossier City, LA",748,1,"126",1.05,0.55,51.9,"218",7,4.7,6.1,84.2,27,77.2,8.9,4.9
89,30,"CEN",23,"Bossier City, LA",748,2,"121",1.04,0.54,51.7,"216",7,4.8,5.7,82.8,24.1,77.5,9.2,5
89,30,"CEN",23,"Bossier City, LA",750,1,"116",1.07,0.57,53.6,"199",7.8,5.2,6.6,84.8,24.9,77,9.2,5.4
89,30,"CEN",23,"Bossier City, LA",750,2,"121",1.07,0.55,51.4,"209",8.5,5.1,6.6,84.2,26.7,74.9,8.7,5.1
89,30,"CEN",72,"Beeville, TX",473,1,"100",0.98,0.5,50.8,"165",9.5,4.8,7.1,82.1,25.9,77.9,8.9,4.4
89,30,"CEN",72,"Beeville, TX",473,2,"105",0.96,0.5,51.6,"168",9.5,4.9,7,81.8,24.6,77,8.7,4.4
89,30,"CEN",72,"Beeville, TX",477,1,"146",1.09,0.56,51.4,"243",7.8,4.1,6,82.8,32.1,75.4,8.2,3.9
89,30,"CEN",72,"Beeville, TX",477,2,"152",1.04,0.54,51.7,"240",7.8,4.5,6.4,84.5,30.3,77.6,8.6,4.2
89,30,"CEN",72,"Beeville, TX",570,1,"120",1,0.5,50,"174",8.3,4.7,6.2,81.3,25.1,74.2,9.2,4.5
89,30,"CEN",72,"Beeville, TX",570,2,"124",1,0.49,48.8,"176",8.3,4.5,6.3,82.3,25.5,74.6,9.1,4.3
89,30,"CEN",72,"Beeville, TX",575,1,"98",0.99,0.51,51.3,"158",7.5,4.9,6.1,83.8,23.8,75.7,8.5,5
89,30,"CEN",72,"Beeville, TX",575,2,"106",1.04,0.54,51.7,"169",6.8,4.8,5.7,82.8,22.3,74.9,8.8,4.9
89,30,"CEN",72,"Beeville, TX",603,1,"109",1,0.52,52.3,"175",8.3,4.8,6.2,83.9,23.6,74.6,9,4.7
89,30,"CEN",72,"Beeville, TX",603,2,"108",0.97,0.49,50.8,"160",8.3,4.8,6.1,82.2,24.1,74.6,8.7,4.6
89,30,"CEN",72,"Beeville, TX",611,1,"121",1,0.51,51,"182",9,5,6.5,86,26.7,76.4,8.9,4.8
89,30,"CEN",72,"Beeville, TX",611,2,"108",0.98,0.48,49,"169",8.5,5.3,6.4,82.4,25.7,74.8,8.6,4.7
89,30,"CEN",72,"Beeville, TX",635,1,"97",0.97,0.5,51.6,"188",7.8,4.7,6.4,82.9,26.8,75.5,8.3,4.4
89,30,"CEN",72,"Beeville, TX",635,2,"106",0.93,0.49,52.5,"190",8,4.4,6.3,82.2,24.6,73,7.8,4.3
89,30,"CEN",72,"Beeville, TX",649,1,"118",1.01,0.52,51.8,"192",8,4.8,6.5,83,28.2,78.3,9,4.8
89,30,"CEN",72,"Beeville, TX",649,2,"119",0.99,0.5,50.5,"194",7.8,4.8,6.1,82.5,28.7,77,8.8,4.7
89,30,"CEN",72,"Beeville, TX",689,1,"107",1,0.51,50.5,"177",9.3,4.9,6.7,84,23.7,76.9,8.7,4.9
89,30,"CEN",72,"Beeville, TX",689,2,"115",1.04,0.52,50.3,"188",9.5,5,7.1,83.7,25.3,78.2,8.8,4.8
89,30,"CEN",72,"Beeville, TX",748,1,"112",1.03,0.52,50,"174",8.3,4.9,6.3,83.8,26.3,74.2,9.4,4.7
89,30,"CEN",72,"Beeville, TX",748,2,"113",0.98,0.49,50,"184",7.8,4.9,6.5,81.8,25.1,73.5,9,4.7
89,30,"CEN",72,"Beeville, TX",750,1,"120",1.03,0.52,50.5,"173",8,5,6.7,85.3,27.9,71.1,9.2,4.7
89,30,"CEN",72,"Beeville, TX",750,2,"112",0.95,0.49,51.4,"182",8.8,4.9,6.8,83.7,25.4,74.7,9.8,4.9
89,40,"DEL",24,"Saint Joseph, LA",473,1,"116",1.09,0.56,51.2,"193",9.3,4.6,6.3,86.1,24.2,80.5,8.3,4.7
89,40,"DEL",24,"Saint Joseph, LA",473,2,"127",1.09,0.57,51.9,"181",9,4.5,6.5,84.8,24.8,81.7,8.3,4.4
89,40,"DEL",24,"Saint Joseph, LA",477,1,"150",1.16,0.6,51.5,"224",7.3,4.5,5.3,85.6,29.1,79.7,8.1,4.5
89,40,"DEL",24,"Saint Joseph, LA",477,2,"152",1.16,0.6,52,"223",7.3,4.4,5.5,85.4,29.4,79.6,8,4.4
89,40,"DEL",24,"Saint Joseph, LA",570,1,"136",1.15,0.58,50,"207",7.5,4.4,5.7,85.6,25.1,80.5,8.6,4.6
89,40,"DEL",24,"Saint Joseph, LA",570,2,"143",1.16,0.58,49.8,"209",7,4.5,6.1,85.1,23.7,79.4,8.6,4.8
89,40,"DEL",24,"Saint Joseph, LA",575,1,"121",1.11,0.56,50.5,"196",7,4.9,5.8,85.1,23.7,80,8.5,4.9
89,40,"DEL",24,"Saint Joseph, LA",575,2,"118",1.11,0.56,50.5,"194",6.5,5.1,6.1,86.3,22.6,81.7,8.1,5.1
89,40,"DEL",24,"Saint Joseph, LA",611,1,"135",1.13,0.57,50.7,"195",7.8,4.6,6.1,85.5,24.5,79.2,8.3,4.7
89,40,"DEL",24,"Saint Joseph, LA",611,2,"133",1.12,0.57,51,"208",8,4.6,6.2,84.8,26,80.2,8.6,4.7
89,40,"DEL",24,"Saint Joseph, LA",635,1,"127",1.07,0.56,52.1,"214",7.8,4.4,6,84.5,29.3,79.3,8.2,4.1
89,40,"DEL",24,"Saint Joseph, LA",635,2,"130",1.06,0.57,53.6,"211",8,4.3,5.9,83.3,25.6,79.7,8.2,4.2
89,40,"DEL",24,"Saint Joseph, LA",649,1,"130",1.11,0.56,50.7,"225",7.3,5,6.2,84.2,26.8,81,8.5,5.1
89,40,"DEL",24,"Saint Joseph, LA",649,2,"136",1.1,0.57,51.8,"230",8,4.7,6.2,84.1,26.8,80.7,8.7,5.2
89,40,"DEL",24,"Saint Joseph, LA",685,1,"133",1.13,0.58,51.1,"200",8.5,4.7,6.2,85.1,25.4,79.2,8.7,4.7
89,40,"DEL",24,"Saint Joseph, LA",685,2,"139",1.12,0.58,52.1,"209",8.5,5.1,6.2,85.7,27.6,78.7,8.9,4.8
89,40,"DEL",24,"Saint Joseph, LA",689,1,"122",1.14,0.57,49.8,"197",8.3,4.7,6.1,85.2,24.2,80.5,8.5,5
89,40,"DEL",24,"Saint Joseph, LA",689,2,"130",1.14,0.58,51.1,"193",8.8,4.9,6.3,85.3,25,80.2,8.7,4.8
89,40,"DEL",24,"Saint Joseph, LA",697,1,"123",1.13,0.56,49.6,"201",9,4.8,6.3,85.7,25.6,78,8.4,4.6
89,40,"DEL",24,"Saint Joseph, LA",697,2,"114",1.12,0.55,48.9,"183",8,5,6.1,83.5,23.2,80.1,8.1,5
89,40,"DEL",24,"Saint Joseph, LA",748,1,"125",1.14,0.59,52,"199",7.5,4.7,6,85.4,26.7,78.6,8.5,4.6
89,40,"DEL",24,"Saint Joseph, LA",748,2,"119",1.14,0.57,50.2,"203",7,5,6.1,84.8,25.4,79.1,8.4,4.7
89,40,"DEL",24,"Saint Joseph, LA",750,1,"123",1.12,0.59,52.7,"189",9,5.1,6.1,86.9,26,78.1,8.8,4.9
89,40,"DEL",24,"Saint Joseph, LA",750,2,"127",1.13,0.58,51.6,"190",8.3,5.2,6.7,87.2,27,77.9,9.2,4.9
89,40,"DEL",25,"Stoneville, MS",473,1,"118",1.12,0.6,53.4,"194",9,4.2,6.6,85.9,25.8,81,8.3,4.2
89,40,"DEL",25,"Stoneville, MS",473,2,"132",1.18,0.65,55.1,"192",9.5,4.3,6.6,87.5,25.7,80.7,9,4.3
89,40,"DEL",25,"Stoneville, MS",477,1,"152",1.2,0.66,54.6,"240",6.8,4.2,5.8,85.6,31,79.9,8.2,4.1
89,40,"DEL",25,"Stoneville, MS",477,2,"144",1.2,0.67,55.4,"238",7,4,6.5,86.5,29.3,78.5,8.6,4
89,40,"DEL",25,"Stoneville, MS",570,1,"141",1.21,0.66,54.8,"215",6.5,4.1,5.9,86.7,26.7,79,8.4,4.1
89,40,"DEL",25,"Stoneville, MS",570,2,"141",1.25,0.65,51.8,"212",7.3,4.2,6,86.5,27.9,79.5,9.3,4.1
