"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_hvi","ui","str","rd","b","mic_hvi"
94,11,"PLA",12,"Lubbock, TX",578,1,"130",1.05,0.53,226,8.8,4.4,12,82.6,29.6,76.7,8.6,4.8
94,11,"PLA",12,"Lubbock, TX",578,3,"127",1.04,0.53,216,8.8,4.5,11,82.7,30,78.8,8.6,4.7
94,11,"PLA",12,"Lubbock, TX",649,1,"139",1.09,0.51,216,7.3,4.6,11,81.3,31.1,80.5,8.7,4.8
94,11,"PLA",12,"Lubbock, TX",649,3,"140",1.14,0.53,231,7.8,3.8,11,83,32,81.1,8.3,3.8
94,11,"PLA",12,"Lubbock, TX",680,1,"107",1.09,0.51,183,7.8,4.3,10,80.4,23.9,80.8,8.5,4.3
94,11,"PLA",12,"Lubbock, TX",680,3,"109",1.12,0.51,186,8.3,3.9,10,81,23.4,80.5,8.7,4
94,11,"PLA",12,"Lubbock, TX",689,1,"112",1.09,0.52,189,9.3,4.6,11,82,25.7,80.5,8.7,4.8
94,11,"PLA",12,"Lubbock, TX",689,3,"109",1.09,0.5,193,8.8,4.5,11,82.8,25.4,81.1,8.6,4.8
94,11,"PLA",12,"Lubbock, TX",731,1,"140",1.15,0.53,239,5.3,4.5,10,82.7,30.6,78.5,8.9,4.6
94,11,"PLA",12,"Lubbock, TX",731,3,"159",1.16,0.53,228,6.3,3.9,10,82.5,32.1,80,8.8,4
94,11,"PLA",12,"Lubbock, TX",812,1,"119",1.04,0.5,194,6.8,4.2,10,80.1,25.3,80.8,8.3,4.4
94,11,"PLA",12,"Lubbock, TX",812,3,"135",1.1,0.52,205,6.8,4.2,10,80.4,25.1,80.8,8.1,4.3
94,11,"PLA",12,"Lubbock, TX",813,1,"106",1.03,0.49,181,6.8,4.2,10,80.4,24.5,79.2,8.9,4.6
94,11,"PLA",12,"Lubbock, TX",813,3,"110",1,0.47,170,7.3,3.9,10,79.5,24.5,77.9,8.1,4.1
94,11,"PLA",12,"Lubbock, TX",902,1,"120",1.09,0.52,208,7.8,4,10,82.9,25.7,79.5,8.3,4.1
94,11,"PLA",12,"Lubbock, TX",902,3,"126",1.08,0.51,193,8.3,3.7,11,81.5,27,81,8.2,3.9
94,11,"PLA",12,"Lubbock, TX",903,1,"117",1.03,0.5,200,7.8,4.4,11,81,27.8,78.9,8.7,4.6
94,11,"PLA",12,"Lubbock, TX",903,3,"122",1.07,0.5,187,8,4.2,10,81.5,26.6,80,8.5,4.3
94,11,"PLA",12,"Lubbock, TX",904,1,"108",0.97,0.46,183,7.3,4.8,11,81,24.7,79.6,8.9,5.1
94,11,"PLA",12,"Lubbock, TX",904,3,"105",1.04,0.5,176,8,4.5,11,82.2,24.1,79.6,8.7,4.7
94,11,"PLA",12,"Lubbock, TX",905,1,"128",1.1,0.52,211,7.8,4.4,10,82.7,29.1,80.9,8.8,4.7
94,11,"PLA",12,"Lubbock, TX",905,3,"122",1.08,0.52,195,8.3,4.5,10,81.2,28.6,78.1,8.6,4.7
94,11,"PLA",12,"Lubbock, TX",906,1,"124",1.03,0.51,202,6.8,4.5,10,81.3,30.5,79,9.1,4.8
94,11,"PLA",12,"Lubbock, TX",906,3,"131",1.06,0.51,196,6.8,4.3,10,80.4,29.4,79.7,8.7,4.4
94,11,"PLA",163,"Lamesa, TX(dry)",578,1,"116",0.98,0.48,208,8.5,4.5,11,80.5,29.2,74.8,9,4.9
94,11,"PLA",163,"Lamesa, TX(dry)",578,3,"125",0.98,0.5,213,9,4.5,11,80.8,30,73.8,9.2,4.5
94,11,"PLA",163,"Lamesa, TX(dry)",649,1,"117",1.01,0.47,205,7.8,4.6,10,79.5,29.3,75.7,8.9,4.8
94,11,"PLA",163,"Lamesa, TX(dry)",649,3,"123",1.02,0.47,194,8.3,4.1,10,79.8,28.9,76.2,8.8,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",680,1,"91",0.97,0.43,156,8,4.1,10,77.6,21.1,74.1,9.4,4
94,11,"PLA",163,"Lamesa, TX(dry)",680,3,"100",1.01,0.46,161,7.5,4,9.8,79.3,23.5,74.8,9.3,4.1
94,11,"PLA",163,"Lamesa, TX(dry)",689,1,"102",0.99,0.46,164,8,4.4,10,80,23.7,72.1,9.5,4.5
94,11,"PLA",163,"Lamesa, TX(dry)",689,3,"100",0.95,0.45,167,8.3,4.9,10,80.2,23.1,72.3,9.6,5
94,11,"PLA",163,"Lamesa, TX(dry)",731,1,"144",1.1,0.51,208,6.3,4.1,9.8,80.9,29.6,73.8,9.1,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",731,3,"139",1.02,0.47,213,7.5,4.3,10,80.5,30.4,71.2,9.5,4.4
94,11,"PLA",163,"Lamesa, TX(dry)",812,1,"116",0.98,0.46,155,6.8,4.1,9.8,78.8,23.3,74.2,9.4,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",812,3,"114",1,0.47,180,6.3,4.2,9.6,79.3,23.6,74.2,9.7,4.4
94,11,"PLA",163,"Lamesa, TX(dry)",813,1,"89",0.93,0.44,150,7,4.3,8.8,76.3,20.9,73.5,10,4.5
94,11,"PLA",163,"Lamesa, TX(dry)",813,3,"87",0.92,0.43,155,7,4.1,8.8,77.1,19.8,72.4,10,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",902,1,"104",0.95,0.46,178,8,3.9,10,78.6,22.5,74.3,9.4,4.1
94,11,"PLA",163,"Lamesa, TX(dry)",902,3,"76",0.93,0.43,157,7.5,4.1,10,77.7,23.4,73.6,9.6,4.2
94,11,"PLA",163,"Lamesa, TX(dry)",903,1,"106",1.01,0.46,185,7.5,4.2,10,79.1,25,74.7,9.5,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",903,3,"106",0.99,0.48,174,7.3,4.4,10,78.7,24.8,71.4,9.8,4.4
94,11,"PLA",163,"Lamesa, TX(dry)",904,1,"102",0.95,0.45,174,8,3.8,10,79.7,23.9,74.1,9.2,3.9
94,11,"PLA",163,"Lamesa, TX(dry)",904,3,"103",0.96,0.46,187,7.5,4.3,10,79.1,25,71.9,9.8,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",905,1,"103",0.97,0.46,193,7.5,4,10,78.8,27.1,66.1,8.1,4.3
94,11,"PLA",163,"Lamesa, TX(dry)",905,3,"118",1,0.46,191,7.8,4.2,10,77.7,26.6,74.5,9.6,4.4
94,11,"PLA",163,"Lamesa, TX(dry)",906,1,"118",0.94,0.45,197,6.8,4.2,10,78.5,28.4,73.8,9.5,4.4
94,11,"PLA",163,"Lamesa, TX(dry)",906,3,"123",0.95,0.45,206,6.8,4.3,10,78.5,28.8,72.5,9.8,4.5
94,12,"PLA",16,"Altus, OK(irri)",578,1,"132",1.05,0.52,213,8.3,4.8,11,84,33.5,73.9,7.1,4.4
94,12,"PLA",16,"Altus, OK(irri)",578,2,"126",1.05,0.54,217,8,4.3,11,83.7,31.9,75.8,7.4,4.4
94,12,"PLA",16,"Altus, OK(irri)",649,1,"128",1.06,0.52,208,7,4.4,10,84.2,31.5,77.6,7.6,4.2
94,12,"PLA",16,"Altus, OK(irri)",649,2,"145",1.07,0.52,205,7.3,4.3,10,82.2,31.3,78.2,8.1,4
94,12,"PLA",16,"Altus, OK(irri)",680,1,"118",1.11,0.56,168,7,3.6,9.6,82.6,25.3,77.4,7.5,3.8
94,12,"PLA",16,"Altus, OK(irri)",680,2,"117",1.1,0.53,184,7.5,3.6,9.8,82.2,25.6,77.2,7,3.5
94,12,"PLA",16,"Altus, OK(irri)",689,1,"122",1.1,0.54,178,8.5,4.1,10,83.1,27.5,78.4,7.9,4.2
94,12,"PLA",16,"Altus, OK(irri)",689,2,"119",1.09,0.56,180,8.3,3.6,10,82.3,27.6,76.6,7.5,4
94,12,"PLA",16,"Altus, OK(irri)",731,1,"157",1.21,0.6,234,6,3.8,10,83.2,35.1,75.2,8,3.9
94,12,"PLA",16,"Altus, OK(irri)",731,2,"167",1.19,0.6,257,5.8,3.9,10,84.9,36.2,75.7,8.3,3.9
94,12,"PLA",16,"Altus, OK(irri)",812,1,"138",1.08,0.52,181,7,3.6,9.8,82.2,28.9,76.8,7.6,3.8
94,12,"PLA",16,"Altus, OK(irri)",812,2,"135",1.08,0.52,183,6.8,3.7,9.2,82.8,27.1,77.8,7.4,3.7
94,12,"PLA",16,"Altus, OK(irri)",813,1,"128",1.02,0.5,157,8.3,3.1,9.4,82.9,24.3,74,7.3,3.2
94,12,"PLA",16,"Altus, OK(irri)",813,2,"126",1.04,0.5,179,7.5,3.5,9,81.7,25.5,76.9,7.8,3
94,12,"PLA",16,"Altus, OK(irri)",902,1,"131",1.06,0.55,165,7.3,3.5,9.7,81.3,26,79.2,7.6,3.7
94,12,"PLA",16,"Altus, OK(irri)",902,2,"142",1.08,0.52,176,7.5,4.1,9.9,83,26.2,75.8,7.3,4.2
94,12,"PLA",16,"Altus, OK(irri)",903,1,"128",1.05,0.53,178,6.5,3.8,9.9,82.3,26.9,78,7.9,4
94,12,"PLA",16,"Altus, OK(irri)",903,2,"124",1.07,0.55,177,7,4.2,10,82.8,27.6,77,7.8,3.9
94,12,"PLA",16,"Altus, OK(irri)",904,1,"111",1.07,0.54,172,7.8,4.1,10,82.8,25.9,75.4,7.9,4
94,12,"PLA",16,"Altus, OK(irri)",904,2,"108",1.07,0.55,169,8.5,4.1,10,81.9,28.1,75.9,7.7,3.8
94,12,"PLA",16,"Altus, OK(irri)",905,1,"126",1.1,0.52,196,7.8,4.3,10,83,28.6,78.5,7.7,4.4
94,12,"PLA",16,"Altus, OK(irri)",905,2,"141",1.1,0.55,207,7,3.6,9.8,83.4,29.9,77,7.3,3.6
94,12,"PLA",16,"Altus, OK(irri)",906,1,"140",1.06,0.58,200,6.8,4.8,10,82.5,32,77.4,7.6,4.8
94,12,"PLA",16,"Altus, OK(irri)",906,2,"138",1.09,0.56,215,5.8,4.5,10,83.5,32.1,74.7,7.9,4.8
