"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
"86",11,"PLA",12,"Lubbock. TX",80,1,"118",1.01,0.48,46,158,9.1,3.7,1.02,80,23,78,8.6,3.8
"86",11,"PLA",12,"Lubbock. TX",80,2,"109",0.96,0.43,44,158,9.6,4,0.94,79,23,79,8.4,3.9
"86",11,"PLA",12,"Lubbock. TX",400,1,"102",0.97,0.46,46,151,8.7,4,0.99,80,22,78.5,9.6,4
"86",11,"PLA",12,"Lubbock. TX",400,2,"104",0.98,0.47,47,151,9,3.8,0.96,80,21,79,9.2,3.7
"86",11,"PLA",12,"Lubbock. TX",566,1,"112",0.97,0.46,46,162,9,4.1,0.97,80,24,77.5,8.6,4.1
"86",11,"PLA",12,"Lubbock. TX",566,2,"111",0.94,0.43,44,157,8.6,3.5,0.97,79,26,75,9.2,3.7
"86",11,"PLA",12,"Lubbock. TX",574,1,"121",0.99,0.45,45,152,8.9,4,1.02,80,23,78,9.4,3.9
"86",11,"PLA",12,"Lubbock. TX",574,2,"120",1,0.47,45,157,9.3,3.8,1,79,23,78,8.4,3.9
"86",11,"PLA",12,"Lubbock. TX",634,1,"121",1.04,0.5,47,164,9,4.2,1.01,80,26,76.5,8.8,4.3
"86",11,"PLA",12,"Lubbock. TX",634,2,"130",1.08,0.5,45,176,8.5,3.2,1.11,80,29,78,8.6,3.2
"86",11,"PLA",12,"Lubbock. TX",635,1,"120",0.99,0.48,47,156,8.7,4.2,0.99,80,25,76,9,4.1
"86",11,"PLA",12,"Lubbock. TX",635,2,"122",0.95,0.44,45,154,8.7,3.8,0.99,80,24,76,8.6,3.9
"86",11,"PLA",12,"Lubbock. TX",636,1,"114",0.96,0.44,45,151,9,3.6,0.93,78,22,78,9,3.7
"86",11,"PLA",12,"Lubbock. TX",636,2,"104",0.99,0.45,44,147,8.8,3.4,1,78,23,77.5,8.6,3.5
"86",11,"PLA",12,"Lubbock. TX",679,1,"146",1.05,0.53,49,188,9.4,4,1.02,82,28,78.5,8.6,3.9
"86",11,"PLA",12,"Lubbock. TX",679,2,"145",1.06,0.55,51,188,9.2,3.8,1.03,81,26,78,8.6,3.8
"86",11,"PLA",12,"Lubbock. TX",693,1,"133",1.06,0.51,47,183,8.5,4.7,1.02,82,25,79,9,4.8
"86",11,"PLA",12,"Lubbock. TX",693,2,"130",1.04,0.5,47,180,8.4,4.4,1.07,82,27,77,8.6,4.5
"86",11,"PLA",12,"Lubbock. TX",694,1,"123",1.01,0.47,46,164,9,4,0.98,79,23,78,8.8,4
"86",11,"PLA",12,"Lubbock. TX",694,2,"127",1.07,0.49,45,175,9.2,3.7,1.08,79,24,76,8.2,3.8
"86",11,"PLA",12,"Lubbock. TX",695,1,"114",1,0.48,47,165,9,4,0.99,81,23,79.5,8.6,4
"86",11,"PLA",12,"Lubbock. TX",695,2,"118",0.97,0.47,48,166,9,3.7,0.96,79,23,79,8.4,3.7
"86",11,"PLA",163,"Lamesa, TX(dry)",80,1,"120",1.06,0.5,46,180,7.7,3.7,1.04,80,24,78,9.2,3.8
"86",11,"PLA",163,"Lamesa, TX(dry)",80,2,"131",1.06,0.51,47,173,8.1,3.9,1.06,81,25,78.5,8.4,3.9
"86",11,"PLA",163,"Lamesa, TX(dry)",400,1,"111",1.06,0.48,44,161,8.3,3.4,1.03,79,23,79,9.2,3.4
"86",11,"PLA",163,"Lamesa, TX(dry)",400,2,"113",1,0.46,44,157,7.5,3.5,1.08,79,23,78.5,8.4,3.5
"86",11,"PLA",163,"Lamesa, TX(dry)",566,1,"119",1.05,0.51,48,184,7.2,4,1.04,81,26,76,10.2,3.9
"86",11,"PLA",163,"Lamesa, TX(dry)",566,2,"120",1.05,0.5,47,186,7.2,3.6,1.04,80,26,77,9.4,3.5
"86",11,"PLA",163,"Lamesa, TX(dry)",574,1,"131",1.1,0.52,46,192,7.9,3.8,1.06,80,24,73.5,10.4,3.7
"86",11,"PLA",163,"Lamesa, TX(dry)",574,2,"124",1.07,0.5,46,177,7.9,3.8,1.08,81,25,75.5,10,3.9
"86",11,"PLA",163,"Lamesa, TX(dry)",634,1,"133",1.08,0.49,44,192,7.8,3.2,1.08,79,28,77.5,9.2,3
"86",11,"PLA",163,"Lamesa, TX(dry)",634,2,"137",1.11,0.5,44,206,7.5,3.3,1.12,81,27,76.5,9.4,3.5
"86",11,"PLA",163,"Lamesa, TX(dry)",635,1,"125",1.01,0.49,47,181,6.7,4,1,80,25,77.5,8.4,3.9
"86",11,"PLA",163,"Lamesa, TX(dry)",635,2,"123",1.02,0.51,48,192,6.6,4,1.01,81,23,78.5,8.4,4.3
"86",11,"PLA",163,"Lamesa, TX(dry)",636,1,"119",1.02,0.47,45,166,6.8,3.3,1.01,77,23,78.5,9.8,3.5
"86",11,"PLA",163,"Lamesa, TX(dry)",636,2,"129",1.05,0.48,45,178,6.7,3.3,1.02,79,24,77.5,9.8,3.3
"86",11,"PLA",163,"Lamesa, TX(dry)",679,1,"143",1.07,0.51,46,189,8.7,3.2,1.06,81,27,76.5,10.2,3.4
"86",11,"PLA",163,"Lamesa, TX(dry)",679,2,"150",1.09,0.53,48,200,8.7,3.4,1.11,83,27,74.5,9.6,3.5
"86",11,"PLA",163,"Lamesa, TX(dry)",693,1,"139",1.08,0.52,47,203,7.8,4.2,1.09,83,26,75,9.8,4.4
"86",11,"PLA",163,"Lamesa, TX(dry)",693,2,"138",1.06,0.52,48,205,7.7,4.7,1.06,83,26,73,10.4,4.7
"86",11,"PLA",163,"Lamesa, TX(dry)",694,1,"124",1.09,0.49,44,192,7.2,3.4,1.06,80,24,79.5,9,3.5
"86",11,"PLA",163,"Lamesa, TX(dry)",694,2,"124",1.07,0.48,44,179,7.4,3.4,1.08,81,24,80,7.8,3.4
"86",11,"PLA",163,"Lamesa, TX(dry)",695,1,"122",1.01,0.48,46,172,7.4,3.8,1,81,23,78,9.4,3.8
"86",11,"PLA",163,"Lamesa, TX(dry)",695,2,"123",1.04,0.49,46,178,7,4.1,1.05,82,25,78.5,9.2,4.1
"86",12,"PLA",16,"Altus, OK(irri)",80,1,"133",1.13,0.56,50,181,6.4,4.4,1.18,81,25,76,6.8,4.6
"86",12,"PLA",16,"Altus, OK(irri)",80,2,"127",1.13,0.54,48,180,7.1,4,1.11,83,25,76,8,4.2
"86",12,"PLA",16,"Altus, OK(irri)",400,1,"119",1.04,0.49,47,185,6.8,3.7,1.08,84,27,69,8.4,4.5
"86",12,"PLA",16,"Altus, OK(irri)",400,2,"121",1.11,0.54,49,184,6.7,4.7,1.11,81,23,73,8.4,4.5
"86",12,"PLA",16,"Altus, OK(irri)",566,1,"125",1.04,0.48,46,210,6.7,3.4,1.06,83,24,71,7.8,5.1
"86",12,"PLA",16,"Altus, OK(irri)",566,2,"125",1.05,0.54,51,181,6.2,4,1.04,83,25,76.5,8,4.5
"86",12,"PLA",16,"Altus, OK(irri)",574,1,"127",1.14,0.57,50,195,6.3,4.8,1.19,82,28,70.5,7.6,4.6
"86",12,"PLA",16,"Altus, OK(irri)",574,2,"137",1.14,0.57,50,166,6.4,4.2,1.11,83,26,73.5,8.2,4.6
"86",12,"PLA",16,"Altus, OK(irri)",634,1,"148",1.16,0.59,50,212,6.1,3.5,1.14,84,29,72,8,4.6
"86",12,"PLA",16,"Altus, OK(irri)",634,2,"153",1.15,0.6,52,199,6,4.2,1.14,83,28,74,8.2,4.2
"86",12,"PLA",16,"Altus, OK(irri)",635,1,"124",1.05,0.53,51,188,6.1,4.7,1.02,82,24,73.5,7.2,4.2
"86",12,"PLA",16,"Altus, OK(irri)",635,2,"129",1.07,0.54,50,170,6,4.4,1.06,84,26,77.5,7.4,4.8
"86",12,"PLA",16,"Altus, OK(irri)",636,1,"118",1.11,0.51,46,197,5.6,4.1,1.09,83,26,72.5,8,4.4
"86",12,"PLA",16,"Altus, OK(irri)",636,2,"133",1.1,0.53,48,188,5.9,3.9,1.11,82,24,76,8.8,4
"86",12,"PLA",16,"Altus, OK(irri)",679,1,"169",1.17,0.58,48,229,5.5,4.2,1.18,84,31,73.5,7.4,3.9
"86",12,"PLA",16,"Altus, OK(irri)",679,2,"161",1.13,0.58,50,231,5.9,3.4,1.16,84,29,74.5,9,3.7
"86",12,"PLA",16,"Altus, OK(irri)",693,1,"138",1.08,0.55,51,194,5.9,4.8,1.09,85,28,71,8,4.9
"86",12,"PLA",16,"Altus, OK(irri)",693,2,"132",1.12,0.61,54,191,6.1,4.8,1.09,86,29,75.5,8.4,4.6
"86",12,"PLA",16,"Altus, OK(irri)",694,1,"141",1.16,0.56,49,200,6,3.6,1.13,83,26,71.5,7.6,4.1
"86",12,"PLA",16,"Altus, OK(irri)",694,2,"142",1.14,0.56,49,214,5.4,4,1.12,82,26,78,7.6,3.8
"86",12,"PLA",16,"Altus, OK(irri)",695,1,"125",1.08,0.53,49,211,6.1,4.3,1.09,83,29,71,8.4,4.1
"86",12,"PLA",16,"Altus, OK(irri)",695,2,"129",1.11,0.57,52,195,6.4,4.3,1.07,82,26,76.5,8.4,4.2
"86",12,"PLA",38,"Chickasha, OK(dry)",80,1,"119",1.12,0.55,49,196,6,5.1,1.11,82,24,76.5,7.2,5.2
"86",12,"PLA",38,"Chickasha, OK(dry)",80,2,"136",1.11,0.55,48,200,6,4.4,1.17,84,31,78.5,7.8,4.7
"86",12,"PLA",38,"Chickasha, OK(dry)",400,1,"117",1.08,0.55,50,187,5.8,5.5,1.07,85,25,72.5,8,4.8
"86",12,"PLA",38,"Chickasha, OK(dry)",400,2,"126",1.07,0.54,49,190,6.2,5.2,1.13,85,25,76,8.4,5.2
"86",12,"PLA",38,"Chickasha, OK(dry)",566,1,"115",1.04,0.53,50,203,6.1,5.1,1.05,83,25,75,8.4,5.2
"86",12,"PLA",38,"Chickasha, OK(dry)",566,2,"120",1.07,0.54,50,200,5.7,5,1.05,83,25,78,7.8,4.9
"86",12,"PLA",38,"Chickasha, OK(dry)",574,1,"128",1.09,0.54,49,197,5.1,5.2,1.12,84,24,75.5,7.2,5.3
"86",12,"PLA",38,"Chickasha, OK(dry)",574,2,"143",1.1,0.55,49,196,6,4.9,1.15,84,25,74.5,6.6,5.1
"86",12,"PLA",38,"Chickasha, OK(dry)",634,1,"153",1.14,0.58,50,258,5.2,5,1.19,85,31,75.5,8.4,4.8
"86",12,"PLA",38,"Chickasha, OK(dry)",634,2,"147",1.12,0.56,49,251,5.8,4.6,1.15,83,30,76,7.6,5
"86",12,"PLA",38,"Chickasha, OK(dry)",635,1,"122",1.11,0.58,51,203,5.3,5.2,1.06,83,26,75,7.2,4.7
"86",12,"PLA",38,"Chickasha, OK(dry)",635,2,"132",1.04,0.52,49,216,5.5,4.7,1.04,83,27,79.5,7.4,4.6
"86",12,"PLA",38,"Chickasha, OK(dry)",636,1,"139",1.09,0.53,48,195,5.6,4.6,1.11,83,24,73.5,8.4,5.3
"86",12,"PLA",38,"Chickasha, OK(dry)",636,2,"125",1.06,0.51,47,198,5.8,4.4,1.05,82,25,76,8.6,4.6
"86",12,"PLA",38,"Chickasha, OK(dry)",679,1,"175",1.15,0.59,50,268,5.3,4.6,1.18,85,32,77.5,7.6,4.5
"86",12,"PLA",38,"Chickasha, OK(dry)",679,2,"173",1.16,0.63,53,269,5.4,4,1.16,85,31,78,7.8,4.8
"86",12,"PLA",38,"Chickasha, OK(dry)",693,1,"143",1.08,0.58,52,218,5.5,5.5,1.12,84,30,77,8.4,5.5
"86",12,"PLA",38,"Chickasha, OK(dry)",693,2,"142",1.09,0.58,52,261,5.3,5,1.15,87,26,75.5,8,5.2
"86",12,"PLA",38,"Chickasha, OK(dry)",694,1,"134",1.11,0.51,45,187,5.6,4.7,1.15,83,25,76,7.6,4.8
"86",12,"PLA",38,"Chickasha, OK(dry)",694,2,"139",1.12,0.54,47,199,5.8,4.5,1.14,82,28,74.5,7.6,4.6
"86",12,"PLA",38,"Chickasha, OK(dry)",695,1,"132",1.07,0.55,50,193,5.5,4.9,1.1,86,25,74.5,7.8,5
"86",12,"PLA",38,"Chickasha, OK(dry)",695,2,"141",1.09,0.57,51,202,5.7,4.9,1.11,85,27,77,8.2,4.9
"86",20,"EAS",30,"Jackson, TN",80,1,"141",1.08,0.52,47,191,6.1,5.1,1.1,83,29,76.5,10.4,5
"86",20,"EAS",30,"Jackson, TN",80,2,"144",1.11,0.57,50,195,5.9,4.8,1.17,86,30,73,8.8,4.8
"86",20,"EAS",30,"Jackson, TN",450,1,"157",1.08,0.55,50,222,5.6,5.3,1.11,84,32,74.5,10,5.3
"86",20,"EAS",30,"Jackson, TN",450,2,"162",1.09,0.55,49,219,5.6,5.2,1.1,84,31,73,10.4,5.1
"86",20,"EAS",30,"Jackson, TN",513,1,"154",1.13,0.57,49,206,6.2,5,1.15,85,34,73.5,9,4.8
"86",20,"EAS",30,"Jackson, TN",513,2,"151",1.12,0.55,49,210,6,4.9,1.11,83,33,74.5,9.2,4.8
"86",20,"EAS",30,"Jackson, TN",570,1,"164",1.18,0.59,49,221,5.5,4.5,1.18,84,34,75,10,4.1
"86",20,"EAS",30,"Jackson, TN",570,2,"159",1.15,0.56,48,217,5.6,4.7,1.16,83,32,76.5,9.8,4.8
