"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
"60","1",1,11,"PLA",12,"Lubbock, TX",773,"acala maxxa",1,1.1,83.8,34,8.5,4.3,77,8.7,4.2,6.8,24.6,0.57,1.19,152
"60","2",1,11,"PLA",12,"Lubbock, TX",773,"acala maxxa",2,1.2,84.3,35,8.7,4.2,78,8.8,4.1,7.5,22.6,0.59,1.19,152
"60","21",1,11,"PLA",12,"Lubbock, TX",906,"southland 400",1,1.1,82,32,9,4.8,74,8.7,4.5,9,17.8,0.53,1.09,125
"60","22",1,11,"PLA",12,"Lubbock, TX",906,"southland 400",2,1.1,82.9,31,9.2,4.8,76,8.9,4.6,7.8,19.6,0.54,1.09,127
"60","23",1,11,"PLA",12,"Lubbock, TX",971,"stv 474",1,1.1,82.4,29,8.8,5.2,73,9.5,5.1,7.3,17.9,0.54,1.11,116
"60","24",1,11,"PLA",12,"Lubbock, TX",971,"stv 474",2,1.1,82.4,28,8.6,5.2,73,9.4,5.1,7,17.5,0.54,1.11,114
"60","5",1,11,"PLA",12,"Lubbock, TX",1009,"nu 33b",1,1.1,82.6,31,9.3,4.6,78,8.9,4.6,9.5,20,0.55,1.12,120
"60","6",1,11,"PLA",12,"Lubbock, TX",1009,"nu 33b",2,1.2,83,31,9.4,4.4,76,8.5,4.3,9,20.8,0.55,1.12,129
"60","25",1,11,"PLA",12,"Lubbock, TX",1018,"tamcot sphinx",1,1.1,82.2,33,8.9,5.1,72,8.7,5,7.5,18.9,0.53,1.08,131
"60","26",1,11,"PLA",12,"Lubbock, TX",1018,"tamcot sphinx",2,1.1,82.4,31,8.6,5,76,8.8,4.9,7.3,19.5,0.56,1.09,133
"60","3",1,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",1,1.1,82.7,32,9.4,5,76,8.3,4.8,8.8,22.2,0.53,1.07,136
"60","4",1,11,"PLA",12,"Lubbock, TX",1019,"all tex atlas",2,1.1,82.5,31,9.1,4.9,75,8.9,4.8,9.8,21,0.53,1.07,126
"60","7",1,11,"PLA",12,"Lubbock, TX",1104,"sg 747",1,1.1,83.5,25,9.4,5.3,75,10,5.2,9.8,18,0.54,1.11,102
"60","8",1,11,"PLA",12,"Lubbock, TX",1104,"sg 748",2,1.1,83.1,26,9.8,5.3,75,9.8,5.2,11,17.7,0.53,1.11,103
"60","9",1,11,"PLA",12,"Lubbock, TX",1131,"all tex excess",1,1.1,83,35,10,5.1,73,8.2,5.1,8.5,22.9,0.53,1.12,129
"60","10",1,11,"PLA",12,"Lubbock, TX",1131,"all tex excess",2,1.1,83.9,34,9.4,4.9,74,8.5,4.8,8.5,24,0.56,1.11,135
"60","11",1,11,"PLA",12,"Lubbock, TX",1132,"dp 2156",1,1,81.4,29,8.9,5.3,75,9.4,5.1,7,18.8,0.52,1.03,115
"60","12",1,11,"PLA",12,"Lubbock, TX",1132,"dp 2156",2,1.1,81.8,28,8.7,5.1,76,9.5,5,7.5,17.7,0.52,1.03,114
"60","13",1,11,"PLA",12,"Lubbock, TX",1133,"pm 330",1,1.1,81.8,30,9.2,5,75,8.6,4.8,9.5,22,0.52,1.04,130
"60","14",1,11,"PLA",12,"Lubbock, TX",1133,"pm 330",2,1,81.5,31,9.4,5.1,75,8.7,4.9,8,22.2,0.52,1.05,122
"60","15",1,11,"PLA",12,"Lubbock, TX",1134,"pm 2145rr",1,1.1,81.6,32,8.8,5.1,72,8.9,5,7,19.4,0.5,1.02,127
"60","16",1,11,"PLA",12,"Lubbock, TX",1134,"pm 2145rr",2,1,82.6,31,9,5.1,75,8.7,4.8,7,20.2,0.53,1.03,126
"60","17",1,11,"PLA",12,"Lubbock, TX",1135,"pm 2326rr",1,1.1,81.8,31,9.2,5.1,73,8.7,4.9,8.5,22.4,0.54,1.09,129
"60","18",1,11,"PLA",12,"Lubbock, TX",1135,"pm 2326rr",2,1.1,84,31,9.2,4.9,73,9.1,4.6,8.5,20.9,0.56,1.09,131
"60","19",1,11,"PLA",12,"Lubbock, TX",1136,"pm tejas",1,1,81.5,31,9,5,73,8.7,4.9,9.5,19.4,0.53,1.05,123
"60","20",1,11,"PLA",12,"Lubbock, TX",1136,"pm tejas",2,1.1,82.2,31,9.6,5,75,8.9,4.9,8,21,0.54,1.07,127
"60","27",1,11,"PLA",163,"Lamesa, TX(dry)",773,"acala maxxa",1,1.1,84.2,34,8.6,4,72,8.8,3.9,7.8,22.8,0.56,1.13,155
"60","28",1,11,"PLA",163,"Lamesa, TX(dry)",773,"acala maxxa",2,1.1,83.2,34,8.6,4.1,67,9.2,4,7,23.1,0.54,1.13,152
"60","47",1,11,"PLA",163,"Lamesa, TX(dry)",906,"southland 400",1,1,80.7,30,9,5,71,9.4,4.9,8.3,19.5,0.5,1.04,120
"60","48",1,11,"PLA",163,"Lamesa, TX(dry)",906,"southland 400",2,1.1,80.1,30,9,5,70,10,5.1,8.5,18.3,0.5,1.03,128
"60","49",1,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",1,1.1,81.7,28,8.8,5.3,69,9.8,5.2,8.3,17.9,0.51,1.06,114
"60","50",1,11,"PLA",163,"Lamesa, TX(dry)",971,"stv 474",2,1,80.9,28,8.5,5.2,66,10,5.1,8.3,17.8,0.49,1.05,104
"60","31",1,11,"PLA",163,"Lamesa, TX(dry)",1009,"nu 33b",1,1.1,81.6,28,9,4.2,71,8,4.2,9,18.9,0.52,1.11,120
"60","32",1,11,"PLA",163,"Lamesa, TX(dry)",1009,"nu 33b",2,1.1,81.2,28,8.7,4.8,69,9.2,4.8,8.3,17.4,0.51,1.09,111
"60","51",1,11,"PLA",163,"Lamesa, TX(dry)",1018,"tamcot sphinx",1,1,80.4,29,8.7,5.2,72,9.3,5,8,18.3,0.51,1.01,118
"60","52",1,11,"PLA",163,"Lamesa, TX(dry)",1018,"tamcot sphinx",2,1.1,78.4,28,8.4,4.7,69,10,4.7,8.3,17.7,0.51,1.01,119
"60","29",1,11,"PLA",163,"Lamesa, TX(dry)",1019,"all tex atlas",1,1,80.7,30,9.5,4.9,67,10,4.8,8.3,19.1,0.51,1.03,121
