"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
82,11,"PLA",13,"Halfway, TX(irri)",532,1,"130",0.99,0.48,47,"174",6.2,4.3,0.98,81,25,78.5,8.4,4.3
82,11,"PLA",13,"Halfway, TX(irri)",532,2,"140",0.99,0.49,48,"184",5.6,4.3,0.97,80,25,62.5,7.6,4.3
82,11,"PLA",13,"Halfway, TX(irri)",574,1,"132",0.98,0.49,48,"180",5.6,4.7,0.95,81,25,76,9,4.6
82,11,"PLA",13,"Halfway, TX(irri)",574,2,"131",1.01,0.51,49,"179",6,4.6,1.01,82,25,74.5,9.6,4.5
82,11,"PLA",13,"Halfway, TX(irri)",80,1,"114",0.99,0.49,48,"163",6.2,5,0.95,80,25,77.5,8.8,4.9
82,11,"PLA",13,"Halfway, TX(irri)",80,2,"118",0.97,0.46,46,"179",6.6,4.9,1.01,81,25,74.5,9.8,4.9
82,11,"PLA",13,"Halfway, TX(irri)",402,1,"133",1,0.5,48,"189",6.3,4.5,1,82,25,74,8.8,4.4
82,11,"PLA",13,"Halfway, TX(irri)",402,2,"138",1.05,0.52,48,"191",6.5,4.5,1.07,83,25,75.5,9.6,4.5
82,11,"PLA",13,"Halfway, TX(irri)",683,1,"127",0.96,0.46,47,"177",6.1,4.5,0.96,81,23,72.5,9.2,4.5
82,11,"PLA",13,"Halfway, TX(irri)",683,2,"126",0.94,0.44,46,"187",6.8,4.4,0.93,81,25,77,9,4.5
82,11,"PLA",13,"Halfway, TX(irri)",634,1,"142",1.05,0.54,50,"206",6.3,4.9,1.08,84,27,77.5,9,4.9
82,11,"PLA",13,"Halfway, TX(irri)",634,2,"142",1.04,0.51,48,"208",6,4.8,1.05,83,29,77.5,9,4.7
82,11,"PLA",13,"Halfway, TX(irri)",566,1,"119",0.94,0.47,49,"188",6.8,4.6,0.93,81,25,73.5,9.8,4.7
82,11,"PLA",13,"Halfway, TX(irri)",566,2,"134",0.96,0.48,48,"184",7.1,4.7,0.97,82,26,78,9.4,4.2
82,11,"PLA",13,"Halfway, TX(irri)",400,1,"119",0.99,0.49,48,"180",6.7,5,0.99,83,24,76,9.4,4.7
82,11,"PLA",13,"Halfway, TX(irri)",400,2,"120",0.98,0.46,46,"174",6.4,4.7,1.01,83,24,76.5,9.4,4.6
82,11,"PLA",13,"Halfway, TX(irri)",635,1,"124",0.95,0.47,48,"183",6.8,4.6,0.91,80,26,78,8.6,4.4
82,11,"PLA",13,"Halfway, TX(irri)",635,2,"123",0.93,0.45,47,"186",6.6,4.8,0.94,81,26,75.5,8.6,4.7
82,11,"PLA",13,"Halfway, TX(irri)",499,1,"123",0.93,0.46,47,"186",6.4,4.5,0.93,80,24,78.5,9,4.4
82,11,"PLA",13,"Halfway, TX(irri)",499,2,"120",0.98,0.47,47,"187",6.6,4.3,0.97,80,26,76.5,9.2,4.4
82,11,"PLA",13,"Halfway, TX(irri)",568,1,"145",1.01,0.5,49,"195",6.8,4.5,1,82,26,80,8.6,4.4
82,11,"PLA",13,"Halfway, TX(irri)",568,2,"129",0.97,0.48,48,"183",6.6,4.3,0.97,81,25,78,9.2,4.3
82,11,"PLA",13,"Halfway, TX(irri)",636,1,"122",0.93,0.44,46,"173",6.4,4.2,0.92,81,23,75.5,9.4,4.2
82,11,"PLA",13,"Halfway, TX(irri)",636,2,"121",0.96,0.46,46,"173",6.4,4.4,0.91,80,24,75.5,9.2,4.3
82,11,"PLA",13,"Halfway, TX(irri)",567,1,"107",0.89,0.46,50,"176",6.4,5.5,0.85,80,24,76.5,9.4,5.5
82,11,"PLA",13,"Halfway, TX(irri)",567,2,"106",0.89,0.44,48,"153",6.2,5.8,0.87,81,23,78,9.4,5.8
82,11,"PLA",13,"Halfway, TX(irri)",571,1,"130",0.99,0.47,46,"183",6.4,4,1,81,24,81,8.6,3.9
82,11,"PLA",13,"Halfway, TX(irri)",571,2,"133",1.01,0.48,46,"193",6.6,3.9,1.01,80,26,78.5,8.6,3.9
82,11,"PLA",13,"Halfway, TX(irri)",152,1,"147",0.98,0.46,46,"196",5.6,4,0.99,81,27,79.5,8.8,4
82,11,"PLA",13,"Halfway, TX(irri)",152,2,"148",1.01,0.48,46,"203",5.2,3.8,1.01,80,29,79,8.6,3.8
82,11,"PLA",13,"Halfway, TX(irri)",572,1,"124",0.98,0.47,47,"186",7.2,4.4,0.97,81,27,78.5,9.2,4.4
82,11,"PLA",13,"Halfway, TX(irri)",572,2,"125",0.96,0.44,45,"174",6.9,4.4,0.96,80,24,72.5,9.8,4.3
82,11,"PLA",13,"Halfway, TX(irri)",573,1,"135",0.96,0.46,46,"189",6.2,4.2,0.93,80,26,75,9.6,4
82,11,"PLA",13,"Halfway, TX(irri)",573,2,"126",0.93,0.44,46,"177",6.6,4.1,0.92,79,27,76.5,9.2,4.1
82,11,"PLA",163,"Lamesa, TX(dry)",498,1,"162",1.13,0.52,45,"234",6.1,4.5,1.08,83,30,76,8.6,4.3
82,11,"PLA",163,"Lamesa, TX(dry)",498,2,"174",1.14,0.52,46,"228",6.1,4.4,1.11,83,30,74,8.4,4.2
82,11,"PLA",163,"Lamesa, TX(dry)",532,1,"136",1.05,0.47,44,"176",6.4,4.3,1.03,81,25,77,8.8,4.3
82,11,"PLA",163,"Lamesa, TX(dry)",532,2,"130",0.98,0.47,47,"176",6.5,4.4,0.93,80,23,68.5,9.6,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",574,1,"137",1.04,0.47,45,"187",6.6,4.4,1.04,81,25,74.5,8.6,4.3
82,11,"PLA",163,"Lamesa, TX(dry)",574,2,"130",0.98,0.45,46,"182",6.4,4.6,0.94,80,23,75.5,9,4.6
82,11,"PLA",163,"Lamesa, TX(dry)",80,1,"121",1.04,0.48,45,"176",6.5,4.7,0.95,79,25,76,8.6,4.8
82,11,"PLA",163,"Lamesa, TX(dry)",80,2,"128",1.06,0.5,47,"182",6.6,4.9,1.02,80,27,75,9.4,4.8
82,11,"PLA",163,"Lamesa, TX(dry)",402,1,"142",1.14,0.53,46,"190",6.4,4.3,1.12,81,26,77,9.2,4.2
82,11,"PLA",163,"Lamesa, TX(dry)",402,2,"132",0.99,0.45,45,"166",6.2,4.3,0.92,79,25,71.5,9.8,4.3
82,11,"PLA",163,"Lamesa, TX(dry)",683,1,"135",0.99,0.43,43,"199",6.3,4.4,0.99,80,26,75,9.4,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",683,2,"135",0.97,0.45,46,"183",6.1,4.5,0.97,82,25,74.5,9.6,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",634,1,"150",1.07,0.51,47,"190",6.6,5.1,1.06,82,29,75.5,8.6,5
82,11,"PLA",163,"Lamesa, TX(dry)",634,2,"139",1.04,0.49,46,"198",6.6,4.9,1.06,83,30,75,9.2,4.9
82,11,"PLA",163,"Lamesa, TX(dry)",566,1,"130",1.01,0.47,46,"185",6.5,5.2,0.98,81,26,76,9,5.1
82,11,"PLA",163,"Lamesa, TX(dry)",566,2,"132",0.95,0.44,46,"180",6.7,5.1,0.89,81,23,74,9.4,4.7
82,11,"PLA",163,"Lamesa, TX(dry)",400,1,"117",1.02,0.46,45,"174",6.8,5,0.96,82,23,74.5,9,4.9
82,11,"PLA",163,"Lamesa, TX(dry)",400,2,"121",0.97,0.47,48,"192",6.7,5.1,0.96,81,24,75,9.8,5.1
82,11,"PLA",163,"Lamesa, TX(dry)",635,1,"117",1,0.47,47,"178",6,5.1,0.99,82,24,75.5,8.6,5.1
82,11,"PLA",163,"Lamesa, TX(dry)",635,2,"131",1.01,0.47,46,"183",5.6,4.9,0.97,82,25,74,9.2,4.8
82,11,"PLA",163,"Lamesa, TX(dry)",499,1,"125",0.98,0.44,45,"185",6,4.5,0.94,79,23,75.5,8.8,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",499,2,"119",0.94,0.44,46,"179",5.6,4.4,0.87,79,21,73.5,9.6,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",568,1,"136",1.03,0.48,46,"189",5.5,4.4,1.02,82,24,73.5,8.8,4.3
82,11,"PLA",163,"Lamesa, TX(dry)",568,2,"129",1.03,0.46,45,"182",5.9,4.7,1,81,25,78,8.8,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",636,1,"135",1.03,0.46,44,"178",5.7,4.3,0.97,79,24,75.5,8.4,4.2
82,11,"PLA",163,"Lamesa, TX(dry)",636,2,"125",0.99,0.45,45,"167",5.9,4.2,0.95,80,23,75,9.2,4
82,11,"PLA",163,"Lamesa, TX(dry)",567,1,"92",0.87,0.42,48,"169",6,5.6,0.86,80,22,77,9,5.6
82,11,"PLA",163,"Lamesa, TX(dry)",567,2,"106",0.92,0.45,48,"179",5.6,5.9,0.86,81,21,77,9,5.8
82,11,"PLA",163,"Lamesa, TX(dry)",571,1,"133",1.04,0.48,46,"192",5.7,4.7,0.99,81,25,77.5,8.8,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",571,2,"131",1.02,0.47,45,"186",6,4.2,0.99,81,25,77,9,4.1
82,11,"PLA",163,"Lamesa, TX(dry)",152,1,"148",1.04,0.46,43,"189",5,4.5,1.02,81,26,76.5,8.6,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",152,2,"131",1.03,0.46,44,"198",5.4,4.1,1.01,81,26,75,9.6,4
82,11,"PLA",163,"Lamesa, TX(dry)",572,1,"131",0.99,0.44,44,"190",6.3,4.4,0.99,80,24,77.5,9.2,4.6
82,11,"PLA",163,"Lamesa, TX(dry)",572,2,"127",1.05,0.47,44,"203",6.2,4.4,0.98,80,25,76.5,8.8,4.4
82,11,"PLA",163,"Lamesa, TX(dry)",573,1,"131",0.98,0.45,46,"190",5.9,4.5,0.94,82,24,77,9,4.3
82,11,"PLA",163,"Lamesa, TX(dry)",573,2,"125",0.97,0.45,46,"182",6.7,4.1,0.93,80,24,75.5,9.4,3.9
82,12,"PLA",38,"Chickasha, OK(dry)",498,1,"170",1.14,0.58,50,"266",5.5,4.9,1.14,84,32,68.5,7,5
82,12,"PLA",38,"Chickasha, OK(dry)",498,2,"186",1.15,0.57,48,"244",5.7,4.4,1.18,85,32,71,7.8,4.5
82,12,"PLA",38,"Chickasha, OK(dry)",532,1,"134",1,0.49,48,"164",4.9,4.8,1.05,83,20,61,7.4,5.3
82,12,"PLA",38,"Chickasha, OK(dry)",532,2,"135",0.97,0.48,49,"181",4.2,4.5,0.98,82,19,71.5,8,4.7
82,12,"PLA",38,"Chickasha, OK(dry)",574,1,"143",1.05,0.52,49,"195",5,5.6,1.05,83,21,64,7.4,5.8
82,12,"PLA",38,"Chickasha, OK(dry)",574,2,"150",1.06,0.51,47,"199",5.2,5.3,1.03,82,23,65,7.4,5.1
82,12,"PLA",38,"Chickasha, OK(dry)",80,1,"122",1.02,0.48,46,"188",4.9,6,1.01,82,20,60,7.8,5.8
82,12,"PLA",38,"Chickasha, OK(dry)",80,2,"127",1.03,0.49,46,"189",5.1,5.6,1.04,83,25,67.5,9,5.6
82,12,"PLA",38,"Chickasha, OK(dry)",402,1,"150",1.07,0.53,48,"202",5,5,1.19,83,26,66.5,9.2,5.1
82,12,"PLA",38,"Chickasha, OK(dry)",402,2,"142",1.05,0.51,47,"202",5.4,5.2,1.08,84,23,68,8.2,5.3
82,12,"PLA",38,"Chickasha, OK(dry)",683,1,"132",0.99,0.5,48,"206",5.8,5.6,0.99,83,24,72,8.6,5.2
82,12,"PLA",38,"Chickasha, OK(dry)",683,2,"158",1.07,0.54,49,"243",4.5,5.1,1.08,84,27,68,8.2,5.1
82,12,"PLA",38,"Chickasha, OK(dry)",634,1,"149",1.05,0.52,48,"214",4.6,6,1.14,84,29,67,8,5.3
