"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
"91",11,"PLA",12,"Lubbock, TX",400,1,94,1,0.46,179,7.3,2.8,5.3,81.5,27.6,80.5,7.8,2.7
"91",11,"PLA",12,"Lubbock, TX",400,2,87,1,0.48,173,7.3,3,4.9,81.3,24.8,80.1,7.8,3
"91",11,"PLA",12,"Lubbock, TX",576,1,96,0.99,0.46,162,7.5,3.4,4.8,81,24.6,79.4,8.8,3.4
"91",11,"PLA",12,"Lubbock, TX",576,2,91,0.99,0.47,160,6.5,3.3,5.2,81.2,25.3,80.5,8.8,3.3
"91",11,"PLA",12,"Lubbock, TX",578,1,120,1.03,0.51,195,10.5,4.5,6.5,83,25.4,78.6,8.3,4.5
"91",11,"PLA",12,"Lubbock, TX",578,2,123,1.04,0.52,209,9,4.3,6.7,83.9,25.9,79.6,7.9,4.2
"91",11,"PLA",12,"Lubbock, TX",635,1,103,0.99,0.48,184,7.5,3.6,5.3,82.6,24.9,79.7,7.2,3.7
"91",11,"PLA",12,"Lubbock, TX",635,2,110,0.99,0.49,191,7.8,3.8,5.5,83.3,23.4,79,7.5,3.9
"91",11,"PLA",12,"Lubbock, TX",689,1,97,1.01,0.47,175,8.5,3.2,5.9,81.5,24.4,81.1,8.5,3.2
"91",11,"PLA",12,"Lubbock, TX",689,2,93,1.01,0.46,161,8.8,3.1,5.6,82.7,23.9,81,8.6,3.2
"91",11,"PLA",12,"Lubbock, TX",693,1,115,1.01,0.5,203,7,4,5.9,82.3,28.4,79.5,8.2,4.1
"91",11,"PLA",12,"Lubbock, TX",693,2,114,1.01,0.5,191,7.5,4.2,5.9,83.3,26.4,79.3,8.2,4.2
"91",11,"PLA",12,"Lubbock, TX",706,1,116,1.06,0.52,175,7.3,4,5.7,82.4,24.7,80.2,8.7,3.9
"91",11,"PLA",12,"Lubbock, TX",706,2,113,1.06,0.52,170,7.8,4,5.7,82.3,24.3,79.1,8.6,3.9
"91",11,"PLA",12,"Lubbock, TX",719,1,96,0.99,0.46,159,5.6,3.1,4.7,80.9,22.7,81,8,3.1
"91",11,"PLA",12,"Lubbock, TX",719,2,103,0.99,0.46,173,7,3,4.8,81.3,24.1,81.4,8,2.9
"91",11,"PLA",12,"Lubbock, TX",731,1,136,1.09,0.51,215,7,3.4,6,82.7,31.5,78.8,8.2,3.3
"91",11,"PLA",12,"Lubbock, TX",731,2,140,1.09,0.52,220,7.3,3.2,5.9,82,31.6,79,8.7,3.2
"91",11,"PLA",12,"Lubbock, TX",812,1,117,1.01,0.47,187,7,3.3,5.3,80.7,26.7,80.5,7.9,3.3
"91",11,"PLA",12,"Lubbock, TX",812,2,106,1.01,0.48,175,7.5,3.3,5.1,81.1,25.5,81.3,7.9,3.4
"91",11,"PLA",12,"Lubbock, TX",813,1,95,0.97,0.47,165,8.3,3.2,4.9,81.6,24.7,81.6,7.8,3.2
"91",11,"PLA",12,"Lubbock, TX",813,2,104,0.96,0.47,165,7.8,3.3,4.8,82.2,23.7,82,7.9,3.3
"91",11,"PLA",163,"Lamesa, TX(dry)",400,1,93,1.01,0.48,159,8.8,3.1,5.3,80.8,24.9,74.3,10,3.2
"91",11,"PLA",163,"Lamesa, TX(dry)",400,2,96,1.01,0.47,171,8.3,3.2,5.6,80.6,26.2,72.9,9.7,3.1
"91",11,"PLA",163,"Lamesa, TX(dry)",576,1,100,1.01,0.47,166,8.5,3.1,5.1,79.3,26.8,73.9,9.8,3
"91",11,"PLA",163,"Lamesa, TX(dry)",576,2,94,1.01,0.47,161,9,2.8,5.9,80.8,29.6,75.1,9.5,2.7
"91",11,"PLA",163,"Lamesa, TX(dry)",578,1,119,1.09,0.54,201,9.8,4.3,6.7,84.5,24.9,77.3,7.9,4.2
"91",11,"PLA",163,"Lamesa, TX(dry)",578,2,118,1.08,0.53,199,9.5,4,6.4,82.9,23.9,76.3,8.3,4.1
"91",11,"PLA",163,"Lamesa, TX(dry)",635,1,108,1,0.49,193,8.3,4,6,83,24,76.5,7.9,4
