"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
"83",11,"PLA",12,"Lubbock,TX",498,1,173,1.11,0.53,46,241,6.3,4,1.13,82,35,74,8.8,4.1
"83",11,"PLA",12,"Lubbock,TX",498,2,179,1.09,0.55,49,253,6.5,4.3,1.12,83,31,76,8.8,4.2
"83",11,"PLA",12,"Lubbock,TX",532,1,140,1,0.5,48,189,6.2,4.4,0.98,79,26,77,9,4.4
"83",11,"PLA",12,"Lubbock,TX",532,2,140,1.03,0.49,46,188,6.5,4.1,0.97,80,24,77,9.2,4.1
"83",11,"PLA",12,"Lubbock,TX",574,1,147,1.04,0.48,45,200,6.3,4.3,1.02,81,26,75.5,9,4.3
"83",11,"PLA",12,"Lubbock,TX",574,2,156,1.04,0.47,44,199,6.2,4,1.06,81,27,76,9,3.8
"83",11,"PLA",12,"Lubbock,TX",80,1,140,1.07,0.49,44,192,6.6,4.2,1.1,82,25,76,9.4,4.3
"83",11,"PLA",12,"Lubbock,TX",80,2,128,1.05,0.5,46,190,6.7,4.4,1.02,80,25,71.5,10.6,4.4
"83",11,"PLA",12,"Lubbock,TX",402,1,134,1.07,0.51,47,190,6.4,4.4,1.07,80,26,74.5,9.6,4.4
"83",11,"PLA",12,"Lubbock,TX",402,2,133,1.06,0.5,46,186,6.5,4.5,1.06,80,26,74,9.6,4.5
"83",11,"PLA",12,"Lubbock,TX",683,1,140,1.03,0.49,46,199,6.4,4.3,1.02,80,26,73,9.6,4.1
"83",11,"PLA",12,"Lubbock,TX",683,2,142,1.01,0.5,48,194,6.3,4.1,0.97,80,24,75,9.4,4.3
"83",11,"PLA",12,"Lubbock,TX",634,1,147,1.06,0.51,47,212,6.1,4.8,1.08,83,28,74.5,9.8,4.7
"83",11,"PLA",12,"Lubbock,TX",634,2,154,1.08,0.5,45,221,6.2,4.2,1.09,83,28,76,9,4.3
"83",11,"PLA",12,"Lubbock,TX",566,1,132,0.97,0.47,47,194,6.2,4.5,0.96,80,26,75,9.6,4.5
"83",11,"PLA",12,"Lubbock,TX",566,2,142,0.99,0.46,45,194,6.2,4,0.99,81,25,76.5,9.2,4.2
"83",11,"PLA",12,"Lubbock,TX",400,1,135,1.04,0.5,47,182,6.7,4,1.01,81,24,76,9.6,4.2
"83",11,"PLA",12,"Lubbock,TX",400,2,123,1.01,0.48,46,183,6.2,4.2,1.02,81,24,75.5,10,4.1
"83",11,"PLA",12,"Lubbock,TX",635,1,130,0.97,0.44,44,187,6.4,4.6,0.97,82,24,76.5,9,4.5
"83",11,"PLA",12,"Lubbock,TX",635,2,138,0.95,0.46,47,198,6.3,4.6,0.95,81,24,76,9,4.6
"83",11,"PLA",12,"Lubbock,TX",499,1,139,1.02,0.45,44,186,6.1,4,1.04,80,23,77.5,9.6,4.1
"83",11,"PLA",12,"Lubbock,TX",499,2,127,1.02,0.47,45,175,6.2,4.2,1.02,80,24,73.5,9.6,4.2
"83",11,"PLA",12,"Lubbock,TX",568,1,146,1.03,0.48,46,190,6.5,4.5,1.04,81,24,75,9.2,4.5
"83",11,"PLA",12,"Lubbock,TX",568,2,132,1.03,0.49,47,192,6.4,4.3,1.01,81,23,76.5,9,4.3
"83",11,"PLA",12,"Lubbock,TX",567,1,104,0.89,0.42,46,167,5.7,5.6,0.88,81,21,76.5,9.4,5.3
"83",11,"PLA",12,"Lubbock,TX",567,2,98,0.93,0.47,49,165,6.1,5.1,0.87,80,23,77.5,9.4,5.2
"83",11,"PLA",12,"Lubbock,TX",636,1,143,1.01,0.47,46,198,6.4,3.9,0.99,79,24,77,9.2,3.8
"83",11,"PLA",12,"Lubbock,TX",636,2,136,0.99,0.45,44,182,6,4,0.98,79,23,77.5,9.6,4
"83",11,"PLA",12,"Lubbock,TX",571,1,126,1.06,0.51,47,191,7.8,3.8,1.02,79,23,78.5,9.2,4
"83",11,"PLA",12,"Lubbock,TX",571,2,124,1.03,0.49,46,194,7.8,3.6,0.99,80,23,79,9.4,3.7
"83",11,"PLA",12,"Lubbock,TX",572,1,128,1.01,0.46,45,189,6.9,4.2,1.02,81,23,75,10,4.2
"83",11,"PLA",12,"Lubbock,TX",572,2,137,1.01,0.46,44,194,7.6,3.8,1,80,22,74,10.2,4.1
"83",11,"PLA",13,"Halfway, TX(irri)",498,1,169,1.04,0.46,43,227,6.4,3,1.07,81,28,71,7.6,3.1
"83",11,"PLA",13,"Halfway, TX(irri)",498,2,160,1.02,0.45,44,223,6.2,3.8,0.99,80,29,70.5,8.4,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",532,1,120,0.95,0.43,44,169,5.9,4,0.91,78,21,69.5,9,4.1
"83",11,"PLA",13,"Halfway, TX(irri)",532,2,125,0.95,0.42,44,187,6,3.7,0.93,77,21,69,9,3.8
"83",11,"PLA",13,"Halfway, TX(irri)",574,1,123,0.99,0.45,44,203,6.4,3.6,0.96,78,24,71,8.6,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",574,2,145,1.01,0.46,45,200,6.4,3.6,1,79,24,69,8.2,3.8
"83",11,"PLA",13,"Halfway, TX(irri)",80,1,122,1.04,0.47,45,190,7.3,4,1.01,79,24,69,8.4,4
"83",11,"PLA",13,"Halfway, TX(irri)",80,2,133,1.03,0.46,44,189,6.8,3.2,0.98,77,24,70.5,8.8,3.2
"83",11,"PLA",13,"Halfway, TX(irri)",402,1,136,1.03,0.45,43,201,6.5,3.6,1,79,23,70,9,3.7
"83",11,"PLA",13,"Halfway, TX(irri)",402,2,116,0.98,0.43,43,191,6,3.9,0.97,78,25,68.5,8.8,3.9
"83",11,"PLA",13,"Halfway, TX(irri)",683,1,129,0.97,0.43,43,204,6.8,3.6,0.94,78,26,71,8.4,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",683,2,131,0.96,0.42,43,176,6.3,4.1,0.92,78,24,69,9.2,4
"83",11,"PLA",13,"Halfway, TX(irri)",634,1,143,1.03,0.45,42,215,6.1,3.6,1.02,79,28,70.5,8.6,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",634,2,148,1.04,0.45,43,214,6,3.6,1.02,79,28,69.5,9,3.7
"83",11,"PLA",13,"Halfway, TX(irri)",566,1,122,0.96,0.43,44,189,6.2,3.4,0.93,79,25,71.5,8.8,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",566,2,139,1.07,0.51,47,194,7.2,3.2,1.02,80,23,70,8.6,3.3
"83",11,"PLA",13,"Halfway, TX(irri)",400,1,124,1,0.43,42,181,6.6,3.3,1.01,77,25,69.5,9,3.3
"83",11,"PLA",13,"Halfway, TX(irri)",400,2,119,0.98,0.43,42,178,6.1,4.1,0.97,80,23,70,9,4.1
"83",11,"PLA",13,"Halfway, TX(irri)",635,1,126,0.96,0.44,45,180,6,4.3,0.92,79,23,68,9.4,4.2
"83",11,"PLA",13,"Halfway, TX(irri)",635,2,113,0.97,0.43,43,190,5.7,4,0.9,80,22,66,8.6,4
"83",11,"PLA",13,"Halfway, TX(irri)",499,1,122,0.96,0.43,44,179,5.6,4,0.92,78,25,68.5,9.4,4
"83",11,"PLA",13,"Halfway, TX(irri)",499,2,120,0.96,0.41,42,178,5.8,4,0.9,78,24,68.5,9.4,3.8
"83",11,"PLA",13,"Halfway, TX(irri)",568,1,137,0.99,0.43,43,198,6.2,3.2,0.98,78,25,70,8.4,3.2
"83",11,"PLA",13,"Halfway, TX(irri)",568,2,131,1.02,0.46,44,188,6,4.2,1.02,80,24,68,8.8,4
"83",11,"PLA",13,"Halfway, TX(irri)",567,1,113,0.94,0.42,44,174,6.6,4.1,0.93,78,24,69.5,9,4.2
"83",11,"PLA",13,"Halfway, TX(irri)",567,2,104,0.89,0.4,44,160,6.1,5.4,0.86,80,22,65,9,5.1
"83",11,"PLA",13,"Halfway, TX(irri)",636,1,115,0.97,0.44,44,175,6.2,3.6,0.95,79,23,70.5,9.6,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",636,2,133,0.92,0.4,43,181,6.8,3.6,0.91,78,24,70.5,9.4,3.7
"83",11,"PLA",13,"Halfway, TX(irri)",571,1,116,0.95,0.41,42,180,7.9,3.5,0.94,78,24,71,9.2,3.6
"83",11,"PLA",13,"Halfway, TX(irri)",571,2,129,1.02,0.47,45,190,7.5,3.2,0.96,78,24,70.5,8.6,3.3
"83",11,"PLA",13,"Halfway, TX(irri)",572,1,115,0.98,0.44,45,180,7.6,4,0.96,78,26,66.5,10,3.7
"83",11,"PLA",13,"Halfway, TX(irri)",572,2,127,0.96,0.41,42,201,7.1,3.5,0.94,78,25,68,10,3.6
"83",12,"PLA",15,"Chillicothe, TX(irri)",498,1,186,1.13,0.55,48,243,5.1,4.3,1.13,85,34,66.5,8.2,4.2
"83",12,"PLA",15,"Chillicothe, TX(irri)",498,2,184,1.12,0.56,49,249,5.4,4.1,1.13,82,30,66.5,8.6,4.1
"83",12,"PLA",15,"Chillicothe, TX(irri)",532,1,128,0.96,0.45,46,166,4.9,4.2,0.92,80,20,63.5,9.2,4.2
"83",12,"PLA",15,"Chillicothe, TX(irri)",532,2,107,0.87,0.38,43,129,4.2,3.5,0.9,79,17,65,10,3.5
"83",12,"PLA",15,"Chillicothe, TX(irri)",574,1,129,1,0.46,46,165,4.3,4.3,1.01,82,21,61,9.6,4.4
"83",12,"PLA",15,"Chillicothe, TX(irri)",574,2,122,0.94,0.41,43,161,4.5,4,0.97,80,19,59.5,10,4
"83",12,"PLA",15,"Chillicothe, TX(irri)",80,1,118,0.96,0.43,44,152,5,4.5,0.93,79,19,62,9.8,4.9
"83",12,"PLA",15,"Chillicothe, TX(irri)",80,2,116,0.95,0.45,47,168,4.6,4.7,0.96,82,21,60,9.6,4.7
"83",12,"PLA",15,"Chillicothe, TX(irri)",402,1,131,1.01,0.45,44,194,5,3.7,1.04,80,23,60,10.4,3.8
"83",12,"PLA",15,"Chillicothe, TX(irri)",402,2,134,1.08,0.5,45,198,5.4,4.2,1.07,82,23,64,9.8,4.3
"83",12,"PLA",15,"Chillicothe, TX(irri)",683,1,135,0.98,0.44,44,192,5,4,0.97,81,22,62.5,9.6,4.2
"83",12,"PLA",15,"Chillicothe, TX(irri)",683,2,133,1.02,0.47,45,187,5.2,4.3,0.99,80,21,63.5,9.6,4.4
"83",12,"PLA",15,"Chillicothe, TX(irri)",634,1,143,0.98,0.44,45,183,5.4,4.3,0.97,79,26,62,9.2,4.3
"83",12,"PLA",15,"Chillicothe, TX(irri)",634,2,140,0.96,0.43,44,191,5,4.1,0.91,78,24,64,9.2,4.2
"83",12,"PLA",15,"Chillicothe, TX(irri)",566,1,127,0.93,0.43,45,195,5,4.4,0.89,80,21,64,9.2,4.4
"83",12,"PLA",15,"Chillicothe, TX(irri)",566,2,126,0.96,0.45,46,179,5.1,4.8,0.97,81,24,66.5,9.6,4.8
"83",12,"PLA",15,"Chillicothe, TX(irri)",400,1,106,0.94,0.43,45,159,5.3,4.1,0.87,78,19,63,10.2,4.1
"83",12,"PLA",15,"Chillicothe, TX(irri)",400,2,110,0.92,0.41,44,156,4.9,3.6,0.89,78,18,62.5,10.6,3.9
"83",12,"PLA",15,"Chillicothe, TX(irri)",635,1,107,0.87,0.39,44,162,4.4,4.2,0.82,80,18,62.5,10.6,4.2
"83",12,"PLA",15,"Chillicothe, TX(irri)",635,2,122,0.95,0.44,46,195,5.4,5.1,0.92,82,21,62,9.6,5
"83",12,"PLA",15,"Chillicothe, TX(irri)",499,1,110,0.93,0.43,45,151,4.7,3.9,0.87,77,17,62.5,10.2,4.1
"83",12,"PLA",15,"Chillicothe, TX(irri)",499,2,119,0.91,0.41,44,162,4.5,4.1,0.9,79,20,64.5,10,4.3
"83",12,"PLA",15,"Chillicothe, TX(irri)",568,1,120,0.93,0.44,47,164,4.7,3.7,0.9,79,19,63.5,9.8,3.8
"83",12,"PLA",15,"Chillicothe, TX(irri)",568,2,125,0.95,0.43,45,161,5,3.8,0.9,78,20,64,10.2,3.9
"83",12,"PLA",15,"Chillicothe, TX(irri)",567,1,87,0.87,0.42,47,148,4.5,5.3,0.75,77,17,56,10.4,5.1
"83",12,"PLA",15,"Chillicothe, TX(irri)",567,2,93,0.87,0.43,48,162,4.3,6,0.82,79,19,65.5,10,5.9
"83",12,"PLA",15,"Chillicothe, TX(irri)",636,1,127,0.97,0.44,45,164,5.1,3.6,0.96,80,20,64.5,10.2,3.6
"83",12,"PLA",15,"Chillicothe, TX(irri)",636,2,116,0.94,0.44,47,165,4.7,3.8,0.86,78,17,62,10,3.5
"83",12,"PLA",15,"Chillicothe, TX(irri)",571,1,124,0.9,0.39,43,147,5.7,3.5,0.9,78,19,67,10.2,3.6
"83",12,"PLA",15,"Chillicothe, TX(irri)",571,2,131,0.99,0.45,45,181,5.9,3,0.92,79,21,67.5,9.6,3.1
"83",12,"PLA",15,"Chillicothe, TX(irri)",572,1,123,1.01,0.47,46,185,5.4,4.2,0.96,79,24,65.5,10.2,4.2
"83",12,"PLA",15,"Chillicothe, TX(irri)",572,2,120,0.94,0.4,42,166,5.5,3.9,0.93,78,22,65.5,10.2,3.8
"83",12,"PLA",16,"Altus, OK(irri)",498,1,184,1.16,0.56,47,264,5.4,4.9,1.11,84,28,66,8.4,4.7
"83",12,"PLA",16,"Altus, OK(irri)",498,2,176,1.16,0.54,46,255,5.2,4.6,1.15,82,30,63,8.2,4
"83",12,"PLA",16,"Altus, OK(irri)",574,1,151,1.13,0.53,46,218,5.3,5.1,1.15,84,25,63,8.8,5.2
